#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.610656    0.610656           0
           2    0.612175    0.611416 0.000537017
           3    0.619628    0.614153  0.00226358
           4    0.613793    0.614063  0.00169947
           5    0.613772    0.614005  0.00136058
           6    0.612243    0.613711  0.00116508
           7    0.610619    0.613269  0.00107913
           8    0.614995    0.613485  0.00096556
           9    0.612363     0.61336 0.000866293
          10    0.619131    0.613937  0.00095265
          11    0.613501    0.613898 0.000866872
          12    0.614859    0.613978 0.000798324
          13    0.610756     0.61373 0.000774427
          14    0.614818    0.613808 0.000722998
          15    0.610419    0.613582 0.000709222
          16    0.615018    0.613672 0.000670548
          17    0.611422    0.613539 0.000644028
          18    0.622013     0.61401 0.000761115
          19    0.611568    0.613881 0.000731831
          20    0.612877    0.613831 0.000696961
          21    0.616841    0.613975  0.00067835
          22     0.61167     0.61387 0.000655553
          23    0.619739    0.614125 0.000674889
          24    0.611593     0.61402 0.000654962
          25    0.612968    0.613977 0.000630114
          26    0.611755    0.613892  0.00061165
          27     0.61636    0.613983 0.000595786
          28     0.61002    0.613842 0.000591085
          29    0.619467    0.614036 0.000601691
          30    0.615897    0.614098 0.000584825
          31    0.610553    0.613983  0.00057703
          32    0.615351    0.614026 0.000560578
          33    0.607666    0.613833 0.000575773
          34    0.612283    0.613788 0.000560642
          35    0.611323    0.613717 0.000549028
          36    0.607208    0.613537 0.000562767
          37    0.616008    0.613603 0.000551505
          38    0.612196    0.613566 0.000538233
          39    0.618341    0.613689 0.000538176
          40    0.609693    0.613589 0.000533911
          41    0.615849    0.613644 0.000523725
          42    0.612666    0.613621 0.000511773
          43    0.614583    0.613643  0.00050036
          44    0.612562    0.613619 0.000489591
          45    0.613432    0.613614 0.000478729
          46    0.613321    0.613608 0.000468364
          47    0.617234    0.613685 0.000464708
          48    0.609427    0.613596 0.000463417
          49    0.622359    0.613775 0.000487245
          50    0.609033     0.61368 0.000486642
          51    0.610579     0.61362 0.000480884
          52    0.620409     0.61375 0.000489042
          53    0.614394    0.613762 0.000479966
          54    0.611526    0.613721 0.000472861
          55    0.612916    0.613706  0.00046449
          56    0.615895    0.613745 0.000457836
          57      0.6106     0.61369 0.000453118
          58    0.617018    0.613748 0.000448924
          59    0.609902    0.613682 0.000446021
          60    0.615847    0.613719 0.000440044
          61    0.616915    0.613771  0.00043594
          62    0.614159    0.613777 0.000428953
          63    0.617121     0.61383 0.000425416
          64    0.608652    0.613749 0.000426393
          65    0.614893    0.613767 0.000420196
          66    0.613521    0.613763 0.000413846
          67    0.610979    0.613722  0.00040975
          68    0.617789    0.613781 0.000408067
