#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.19447    -7.19447           0
           2    -7.19494    -7.19471 0.000167489
           3     -7.2026    -7.19734  0.00215074
           4    -7.19694    -7.19724   0.0016154
           5     -7.1981    -7.19741  0.00130145
           6    -7.19608    -7.19719  0.00110334
           7    -7.19345    -7.19665  0.00106742
           8    -7.19801    -7.19682 0.000947366
           9    -7.19572     -7.1967 0.000850046
          10    -7.20199    -7.19723 0.000914932
          11    -7.19554    -7.19708 0.000844475
          12    -7.19824    -7.19717 0.000779624
          13    -7.19444    -7.19696 0.000747495
          14    -7.19741    -7.19699 0.000694791
          15    -7.19235    -7.19668 0.000714106
          16    -7.19865    -7.19681 0.000679964
          17    -7.19321     -7.1966 0.000672123
          18    -7.20401    -7.19701 0.000750434
          19    -7.19477    -7.19689 0.000720079
          20    -7.19708     -7.1969 0.000684135
          21    -7.19984    -7.19704 0.000665767
          22    -7.19432    -7.19692 0.000646895
          23    -7.20247    -7.19716 0.000662278
          24    -7.19332      -7.197 0.000653695
          25    -7.19435    -7.19689 0.000636093
          26    -7.19384    -7.19677 0.000622352
          27    -7.19846    -7.19684 0.000602426
          28    -7.19216    -7.19667  0.00060366
          29    -7.20227    -7.19686 0.000612951
          30    -7.19872    -7.19692 0.000595654
          31    -7.19362    -7.19682  0.00058591
          32    -7.19723    -7.19683 0.000567746
          33    -7.18908     -7.1966 0.000597098
          34    -7.19348     -7.1965 0.000586531
          35    -7.19354    -7.19642 0.000575849
          36    -7.19001    -7.19624 0.000586703
          37    -7.19842     -7.1963 0.000573798
          38    -7.19642     -7.1963 0.000558707
          39    -7.20287    -7.19647 0.000569198
          40    -7.19212    -7.19636 0.000565274
          41    -7.19944    -7.19644 0.000556452
          42    -7.19579    -7.19642 0.000543415
          43    -7.19648    -7.19642 0.000530779
          44    -7.19433    -7.19638 0.000520845
          45    -7.19634    -7.19638 0.000509271
          46     -7.1957    -7.19636 0.000498415
          47    -7.20076    -7.19645  0.00049652
          48    -7.19288    -7.19638 0.000491731
          49    -7.20887    -7.19664 0.000543747
          50    -7.19244    -7.19655 0.000539304
          51    -7.19479    -7.19652  0.00052984
          52    -7.20418    -7.19666 0.000539777
          53    -7.19792    -7.19669 0.000530116
          54    -7.19437    -7.19665 0.000522041
          55    -7.19647    -7.19664 0.000512559
          56    -7.19963     -7.1967 0.000506175
          57    -7.19419    -7.19665 0.000499202
          58    -7.19978    -7.19671 0.000493496
          59    -7.19045     -7.1966 0.000496386
          60    -7.19798    -7.19662 0.000488645
          61    -7.20018    -7.19668 0.000484099
          62    -7.19706    -7.19669  0.00047633
          63    -7.20077    -7.19675 0.000473157
          64    -7.19131    -7.19667  0.00047333
          65    -7.19788    -7.19669 0.000466418
          66    -7.19593    -7.19667 0.000459491
          67    -7.19368    -7.19663 0.000454806
          68     -7.2014     -7.1967 0.000453502
