#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.447815    0.447815           0
           2    0.448928    0.448372 0.000393813
           3    0.454394    0.450379  0.00165996
           4    0.450115    0.450313  0.00124628
           5    0.450099     0.45027 0.000997756
           6    0.448978    0.450055 0.000854394
           7    0.447787    0.449731 0.000791365
           8    0.450996    0.449889 0.000708078
           9    0.449066    0.449798 0.000635281
          10    0.454029    0.450221  0.00069861
          11    0.449901    0.450192 0.000635706
          12    0.450897     0.45025 0.000585438
          13    0.447888    0.450069 0.000567913
          14    0.450866    0.450126 0.000530198
          15     0.44764     0.44996 0.000520096
          16    0.451013    0.450026 0.000491735
          17    0.448376    0.449929 0.000472288
          18    0.456143    0.450274 0.000558151
          19    0.448483     0.45018 0.000536676
          20    0.449443    0.450143 0.000511105
          21     0.45235    0.450248 0.000497457
          22    0.448558    0.450171 0.000480739
          23    0.454475    0.450358 0.000494919
          24    0.448502    0.450281 0.000480306
          25     0.44951     0.45025 0.000462084
          26     0.44862    0.450187 0.000448544
          27    0.451997    0.450254  0.00043691
          28    0.447348    0.450151 0.000433462
          29    0.454276    0.450293  0.00044124
          30    0.451658    0.450338 0.000428872
          31    0.447739    0.450255 0.000423155
          32    0.451258    0.450286 0.000411091
          33    0.445622    0.450145 0.000422233
          34    0.449007    0.450111 0.000411137
          35    0.448304    0.450059 0.000402621
          36    0.445286    0.449927 0.000412696
          37    0.451739    0.449976 0.000404437
          38    0.448944    0.449949 0.000394704
          39     0.45345    0.450038 0.000394663
          40    0.447109    0.449965 0.000391535
          41    0.451622    0.450006 0.000384065
          42    0.449289    0.449989   0.0003753
          43    0.450694    0.450005 0.000366931
          44    0.449212    0.449987 0.000359034
          45     0.44985    0.449984 0.000351068
          46    0.449769    0.449979 0.000343467
          47    0.452638    0.450036 0.000340786
          48    0.446913    0.449971 0.000339839
          49    0.456397    0.450102 0.000357313
          50    0.446624    0.450032 0.000356871
          51    0.447758    0.449988 0.000352648
          52    0.454967    0.450084 0.000358631
          53    0.450556    0.450092 0.000351975
          54    0.448452    0.450062 0.000346765
          55    0.449472    0.450051 0.000340626
          56    0.451656     0.45008 0.000335747
          57    0.447773     0.45004 0.000332286
          58     0.45248    0.450082 0.000329211
          59    0.447262    0.450034 0.000327082
          60    0.451621     0.45006 0.000322699
          61    0.452405    0.450099 0.000319689
          62    0.450384    0.450103 0.000314566
          63    0.452555    0.450142 0.000311972
          64    0.446345    0.450083 0.000312688
          65    0.450922    0.450096 0.000308144
          66    0.449915    0.450093 0.000303487
          67    0.448051    0.450063 0.000300483
          68    0.453045    0.450106 0.000299249
