#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.407104    0.407104           0
           2    0.408117     0.40761 0.000358012
           3    0.413085    0.409435  0.00150905
           4    0.409195    0.409375  0.00113298
           5    0.409181    0.409337 0.000907051
           6    0.408162    0.409141 0.000776722
           7    0.407079    0.408846 0.000719423
           8    0.409997     0.40899 0.000643707
           9    0.408242    0.408907 0.000577528
          10    0.412754    0.409292   0.0006351
          11    0.409001    0.409265 0.000577914
          12    0.409906    0.409319 0.000532216
          13    0.407171    0.409153 0.000516285
          14    0.409879    0.409205 0.000481998
          15    0.406946    0.409055 0.000472814
          16    0.410012    0.409114 0.000447032
          17    0.407615    0.409026 0.000429352
          18    0.414676     0.40934  0.00050741
          19    0.407712    0.409254 0.000487887
          20    0.408585    0.409221 0.000464641
          21    0.411227    0.409316 0.000452233
          22     0.40778    0.409247 0.000437036
          23    0.413159    0.409417 0.000449926
          24    0.407729    0.409346 0.000436642
          25    0.408645    0.409318 0.000420076
          26    0.407836    0.409261 0.000407767
          27    0.410906    0.409322 0.000397191
          28     0.40668    0.409228 0.000394056
          29    0.412978    0.409357 0.000401127
          30    0.410598    0.409399 0.000389884
          31    0.407035    0.409322 0.000384687
          32    0.410234    0.409351 0.000373719
          33    0.405111    0.409222 0.000383849
          34    0.408189    0.409192 0.000373761
          35    0.407549    0.409145 0.000366019
          36    0.404805    0.409024 0.000375178
          37    0.410672    0.409069  0.00036767
          38    0.408131    0.409044 0.000358822
          39    0.412227    0.409126 0.000358784
          40    0.406462    0.409059 0.000355941
          41    0.410566    0.409096  0.00034915
          42    0.408444    0.409081 0.000341182
          43    0.409722    0.409095 0.000333573
          44    0.408375    0.409079 0.000326394
          45    0.408955    0.409076 0.000319153
          46    0.408881    0.409072 0.000312243
          47    0.411489    0.409123 0.000309805
          48    0.406285    0.409064 0.000308944
          49    0.414906    0.409184  0.00032483
          50    0.406022     0.40912 0.000324428
          51    0.407053     0.40908 0.000320589
          52    0.413606    0.409167 0.000326028
          53    0.409596    0.409175 0.000319977
          54    0.407684    0.409147 0.000315241
          55    0.408611    0.409138  0.00030966
          56    0.410597    0.409164 0.000305224
          57    0.407067    0.409127 0.000302079
          58    0.411346    0.409165 0.000299283
          59    0.406602    0.409122 0.000297347
          60    0.410565    0.409146 0.000293362
          61    0.411277    0.409181 0.000290626
          62     0.40944    0.409185 0.000285969
          63    0.411414     0.40922  0.00028361
          64    0.405768    0.409166 0.000284262
          65    0.409929    0.409178 0.000280131
          66    0.409014    0.409175 0.000275897
          67    0.407319    0.409148 0.000273167
          68    0.411859    0.409188 0.000272044
