#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.58381    -6.58381           0
           2    -6.58277    -6.58329 0.000369528
           3    -6.58297    -6.58319 0.000261347
           4    -6.58314    -6.58317 0.000196227
           5    -6.58433    -6.58341 0.000258983
           6    -6.58383    -6.58348 0.000225497
           7    -6.58283    -6.58338 0.000211567
           8    -6.58301    -6.58334 0.000190089
           9    -6.58335    -6.58334 0.000168976
          10    -6.58286    -6.58329  0.00015877
          11    -6.58204    -6.58318 0.000180373
          12    -6.58338    -6.58319 0.000166109
          13    -6.58368    -6.58323   0.0001575
          14    -6.58259    -6.58319 0.000152709
          15    -6.58193     -6.5831 0.000163827
          16    -6.58363    -6.58314 0.000156905
          17    -6.58179    -6.58306  0.00016656
          18      -6.582      -6.583 0.000167408
          19    -6.58321    -6.58301  0.00015896
          20     -6.5842    -6.58307 0.000161775
          21      -6.583    -6.58306 0.000154101
          22    -6.58265    -6.58305 0.000148258
          23    -6.58273    -6.58303 0.000142451
          24    -6.58173    -6.58298 0.000146528
          25    -6.58138    -6.58291 0.000154004
          26    -6.58209    -6.58288 0.000151333
          27     -6.5821    -6.58285 0.000148473
          28    -6.58214    -6.58283 0.000145364
          29     -6.5828    -6.58283 0.000140354
          30    -6.58283    -6.58283 0.000135676
          31    -6.58306    -6.58283 0.000131517
          32    -6.58188     -6.5828 0.000130722
          33    -6.58142    -6.58276 0.000133336
          34     -6.5812    -6.58272 0.000137139
          35    -6.58222     -6.5827 0.000133957
          36    -6.58281    -6.58271 0.000130267
          37    -6.58241     -6.5827 0.000126983
          38    -6.58423    -6.58274 0.000129864
          39    -6.58453    -6.58278 0.000134428
          40    -6.58243    -6.58277 0.000131364
          41    -6.58359    -6.58279  0.00012967
          42    -6.58313     -6.5828 0.000126824
          43     -6.5819    -6.58278 0.000125612
          44    -6.58177    -6.58276 0.000124848
          45    -6.58291    -6.58276 0.000122119
          46    -6.58237    -6.58275 0.000119755
          47    -6.58353    -6.58277 0.000118332
          48    -6.58345    -6.58278 0.000116719
          49    -6.58651    -6.58286 0.000136878
          50    -6.58341    -6.58287 0.000134578
          51    -6.58421     -6.5829  0.00013446
          52    -6.58377    -6.58291 0.000132928
          53    -6.58353    -6.58293 0.000130928
          54    -6.58284    -6.58292 0.000128513
          55    -6.58355    -6.58294 0.000126686
          56    -6.58373    -6.58295 0.000125225
          57    -6.58359    -6.58296 0.000123528
          58    -6.58276    -6.58296 0.000121447
          59    -6.58055    -6.58292 0.000126066
          60    -6.58213     -6.5829 0.000124641
          61    -6.58326    -6.58291 0.000122737
          62    -6.58291    -6.58291 0.000120757
          63    -6.58365    -6.58292 0.000119408
          64    -6.58266    -6.58292 0.000117611
          65    -6.58299    -6.58292 0.000115807
          66    -6.58241    -6.58291 0.000114308
          67     -6.5827    -6.58291 0.000112646
          68    -6.58361    -6.58292 0.000111467
