#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.74964     1.74964           0
           2      1.7592     1.75442  0.00337879
           3     1.79852     1.76912   0.0122124
           4     1.86308     1.79261   0.0223097
           5     1.89434     1.81296     0.02549
           6      1.8686     1.82223   0.0228665
           7     1.82075     1.82202   0.0196009
           8     1.82286     1.82212    0.017151
           9     1.82669     1.82263   0.0152529
          10     1.83802     1.82417    0.013805
          11      1.8649     1.82787   0.0130372
          12     1.85129     1.82982   0.0120959
          13     1.84694     1.83114   0.0112369
          14     1.91477     1.83711   0.0119165
          15     1.95597     1.84504   0.0135018
          16     1.86677      1.8464   0.0127261
          17     1.80354     1.84387   0.0122246
          18     1.80837      1.8419   0.0117035
          19     1.80958      1.8402   0.0112105
          20     1.84108     1.84024   0.0106501
