#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.327439   -0.327439           0
           2   -0.337073   -0.332256  0.00340624
           3     -0.3764   -0.346971   0.0122272
           4   -0.441081   -0.370499   0.0223441
           5   -0.472509   -0.390901   0.0255445
           6   -0.446679   -0.400197   0.0229164
           7   -0.398793   -0.399997   0.0196435
           8   -0.400808   -0.400098   0.0171883
           9   -0.404554   -0.400593   0.0152856
          10    -0.41605   -0.402139    0.013835
          11   -0.443005   -0.405854   0.0130666
          12   -0.429347   -0.407812   0.0121235
          13   -0.424905   -0.409127    0.011262
          14   -0.492765   -0.415101   0.0119374
          15   -0.533755   -0.423011   0.0135106
          16   -0.444483   -0.424353   0.0127326
          17   -0.381404   -0.421827   0.0122317
          18    -0.38639   -0.419858   0.0117095
          19   -0.387677   -0.418164   0.0112151
          20   -0.419106   -0.418211   0.0106544
