#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.16643     1.16643           0
           2      1.1728     1.16961  0.00225253
           3     1.19901     1.17941  0.00814158
           4     1.24205     1.19507   0.0148731
           5      1.2629     1.20864   0.0169933
           6     1.24573     1.21482   0.0152444
           7     1.21383     1.21468   0.0130672
           8     1.21524     1.21475    0.011434
           9     1.21779     1.21509   0.0101686
          10     1.22535     1.21611  0.00920334
          11     1.24327     1.21858  0.00869146
          12     1.23419     1.21988  0.00806391
          13      1.2313     1.22076  0.00749125
          14     1.27651     1.22474  0.00794436
          15     1.30398     1.23002  0.00900123
          16     1.24451     1.23093  0.00848407
          17     1.20236     1.22925  0.00814977
          18     1.20558     1.22793  0.00780235
          19     1.20639      1.2268  0.00747368
          20     1.22738     1.22683  0.00710005
