#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      1.4222      1.4222           0
           2     1.42212     1.42216 2.74518e-05
           3     1.42212     1.42215  2.1675e-05
           4       1.422     1.42211  3.6494e-05
           5     1.42183     1.42206 5.73944e-05
           6     1.42192     1.42203 5.20846e-05
           7     1.42196     1.42202 4.57919e-05
           8     1.42205     1.42203 4.01878e-05
           9     1.42213     1.42204 3.74311e-05
          10     1.42197     1.42203 3.42584e-05
          11      1.4219     1.42202 3.32298e-05
          12     1.42194     1.42201 3.11324e-05
          13     1.42204     1.42201 2.88038e-05
          14       1.422     1.42201 2.67618e-05
          15     1.42221     1.42203 2.81281e-05
          16     1.42229     1.42204 3.07014e-05
          17     1.42214     1.42205 2.93819e-05
          18     1.42198     1.42204 2.79707e-05
          19      1.4219     1.42204 2.74962e-05
          20     1.42197     1.42203 2.63192e-05
