#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.62423     1.62423           0
           2     1.60232     1.61328  0.00774791
           3     1.62634     1.61763  0.00627071
           4     1.62529     1.61954  0.00498664
           5     1.65244     1.62612  0.00710997
           6      1.6058     1.62274   0.0066837
           7     1.65038     1.62669  0.00679579
           8     1.62434     1.62639  0.00595261
           9     1.64903     1.62891  0.00579838
          10     1.63443     1.62946   0.0052448
          11     1.60776     1.62749  0.00512558
          12     1.63898     1.62845  0.00478711
          13     1.63777     1.62916  0.00447229
          14     1.60861     1.62769  0.00438713
          15      1.5572       1.623  0.00611407
          16     1.60105     1.62162  0.00588381
          17     1.61157     1.62103  0.00556737
          18     1.65799     1.62308  0.00562386
          19     1.62846     1.62337  0.00533498
          20     1.63325     1.62386  0.00509107
