#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -5.0495     -5.0495           0
           2    -5.02673    -5.03811   0.0080495
           3     -5.0514    -5.04254  0.00647189
           4    -5.05125    -5.04472  0.00520732
           5    -5.07703    -5.05118  0.00712444
           6    -5.03266    -5.04809  0.00657194
           7    -5.07421    -5.05183  0.00660779
           8    -5.04833    -5.05139  0.00579624
           9    -5.07335    -5.05383  0.00564245
          10    -5.05922    -5.05437  0.00510389
          11     -5.0296    -5.05212  0.00511235
          12    -5.06211    -5.05295  0.00475364
          13    -5.06106    -5.05357  0.00442875
          14    -5.03258    -5.05207  0.00435882
          15    -4.97921    -5.04722   0.0062108
          16    -5.02634    -5.04591  0.00595813
          17    -5.03624    -5.04534  0.00563475
          18    -5.08408    -5.04749  0.00571798
          19    -5.05189    -5.04773  0.00542171
          20    -5.05756    -5.04822  0.00517285
