#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.866258    0.866258           0
           2     0.85457    0.860414  0.00413222
           3    0.867381    0.862736  0.00334438
           4     0.86682    0.863757  0.00265954
           5    0.881304    0.867267  0.00379198
           6    0.856424     0.86546  0.00356464
           7      0.8802    0.867565  0.00362442
           8    0.866317    0.867409  0.00317473
           9    0.879483    0.868751  0.00309247
          10    0.871698    0.869046  0.00279723
          11    0.857473    0.867993  0.00273364
          12    0.874124    0.868504  0.00255313
          13    0.873478    0.868887  0.00238522
          14    0.857926    0.868104   0.0023398
          15    0.830506    0.865597  0.00326084
          16    0.853892    0.864866  0.00313803
          17    0.859502     0.86455  0.00296926
          18    0.884259    0.865645  0.00299939
          19    0.868512    0.865796  0.00284532
          20    0.871068     0.86606  0.00271524
