#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.08282     1.08282           0
           2     1.06821     1.07552  0.00516527
           3     1.08423     1.07842  0.00418047
           4     1.08352      1.0797  0.00332443
           5     1.10163     1.08408  0.00473998
           6     1.07053     1.08182   0.0044558
           7     1.10025     1.08446  0.00453052
           8      1.0829     1.08426  0.00396841
           9     1.09935     1.08594  0.00386559
          10     1.08962     1.08631  0.00349654
          11     1.07184     1.08499  0.00341705
          12     1.09265     1.08563  0.00319141
          13     1.09185     1.08611  0.00298153
          14     1.07241     1.08513  0.00292475
          15     1.03813       1.082  0.00407604
          16     1.06736     1.08108  0.00392254
          17     1.07438     1.08069  0.00371158
          18     1.10532     1.08206  0.00374924
          19     1.08564     1.08225  0.00355666
          20     1.08883     1.08257  0.00339405
