#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.42526    -3.42526           0
           2    -3.42441    -3.42484 0.000301591
           3    -3.42506    -3.42491 0.000210457
           4    -3.42596    -3.42518 0.000277231
           5    -3.42458    -3.42506 0.000245712
           6    -3.42686    -3.42536 0.000342714
           7    -3.42384    -3.42514 0.000356129
           8    -3.42399      -3.425 0.000339538
           9    -3.42432    -3.42492 0.000310084
          10    -3.42479    -3.42491 0.000279366
          11    -3.42184    -3.42463 0.000367493
          12    -3.42313     -3.4245 0.000357576
          13    -3.42329    -3.42441 0.000341999
          14    -3.42397    -3.42438  0.00031901
          15    -3.42201    -3.42422 0.000334517
          16    -3.42529    -3.42429 0.000320219
          17    -3.42467    -3.42431 0.000302187
          18     -3.4261    -3.42441 0.000301253
          19    -3.42343    -3.42436 0.000289765
          20     -3.4243    -3.42436  0.00027529
