#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.21575     1.21575           0
           2     1.21745      1.2166  0.00059985
           3     1.20801     1.21374  0.00237133
           4     1.21984     1.21526  0.00221499
           5     1.21235     1.21468  0.00184685
           6     1.21839      1.2153   0.0016394
           7     1.21671      1.2155  0.00141757
           8     1.21561     1.21551  0.00124044
           9     1.21327     1.21527  0.00112731
          10     1.22183     1.21592  0.00119026
          11     1.21615     1.21594  0.00108223
          12     1.21869     1.21617  0.00101598
          13     1.21499     1.21608 0.000941855
          14      1.2175     1.21618  0.00088002
          15     1.21497      1.2161 0.000825085
          16     1.21119     1.21579 0.000828753
          17     1.21461     1.21572  0.00078292
          18     1.21745     1.21582 0.000745256
          19      1.2047     1.21523  0.00090716
          20     1.21613     1.21528   0.0008629
