#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.64985    -6.64985           0
           2    -6.65002    -6.64993  6.1294e-05
           3    -6.64143     -6.6471  0.00231521
           4    -6.65282    -6.64853  0.00213291
           5    -6.64561    -6.64794  0.00178445
           6    -6.65106    -6.64846  0.00156089
           7    -6.64938     -6.6486  0.00134342
           8    -6.64873    -6.64861   0.0011756
           9    -6.64584     -6.6483   0.0010847
          10    -6.65455    -6.64893  0.00114218
          11    -6.64926    -6.64896  0.00103874
          12    -6.65215    -6.64922 0.000985632
          13    -6.64696    -6.64905 0.000925101
          14    -6.65103    -6.64919 0.000869805
          15      -6.648    -6.64911 0.000815412
          16    -6.64379    -6.64878 0.000829438
          17    -6.64655    -6.64865 0.000790933
          18    -6.65062    -6.64876 0.000754549
          19    -6.63725    -6.64815 0.000926664
          20    -6.64892    -6.64819 0.000881129
