#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.891552    0.891552           0
           2    0.892796    0.892174  0.00043989
           3    0.885876    0.890075  0.00173897
           4    0.894547    0.891193  0.00162432
           5    0.889059    0.890766  0.00135436
           6    0.893488     0.89122  0.00120223
           7    0.892256    0.891368  0.00103955
           8    0.891447    0.891378 0.000909657
           9    0.889735    0.891195 0.000826692
          10    0.896006    0.891676 0.000872857
          11    0.891841    0.891691 0.000793634
          12    0.893706    0.891859 0.000745054
          13    0.890996    0.891793 0.000690694
          14    0.892834    0.891867 0.000645348
          15    0.890974    0.891808 0.000605062
          16    0.888202    0.891582 0.000607753
          17    0.890715    0.891531 0.000574141
          18    0.892795    0.891601 0.000546521
          19    0.883447    0.891172 0.000665251
          20    0.891827    0.891205 0.000632793
