#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.810502    0.810502           0
           2    0.811633    0.811067   0.0003999
           3    0.805342    0.809159  0.00158088
           4    0.813224    0.810175  0.00147666
           5    0.808235    0.809787  0.00123123
           6    0.812262      0.8102  0.00109293
           7    0.811142    0.810334 0.000945048
           8    0.810407    0.810343 0.000826961
           9     0.80885    0.810177 0.000751538
          10    0.814551    0.810615 0.000793506
          11    0.810764    0.810628 0.000721486
          12     0.81246    0.810781 0.000677321
          13    0.809996    0.810721 0.000627904
          14    0.811667    0.810788  0.00058668
          15    0.809977    0.810734 0.000550056
          16    0.807457    0.810529 0.000552502
          17     0.80974    0.810483 0.000521947
          18    0.811632    0.810547 0.000496837
          19    0.803134    0.810157 0.000604773
          20    0.810752    0.810186 0.000575266
