#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.43409    -5.43409           0
           2    -5.43257    -5.43333 0.000538556
           3    -5.43342    -5.43336 0.000359742
           4    -5.43298    -5.43327 0.000281892
           5    -5.43326    -5.43326  0.00022552
           6    -5.43267    -5.43316 0.000208533
           7    -5.43267    -5.43309 0.000190308
           8    -5.43312     -5.4331 0.000166552
           9    -5.43256    -5.43304 0.000158349
          10    -5.43273    -5.43301 0.000145525
          11    -5.43311    -5.43302 0.000132595
          12    -5.43346    -5.43305  0.00012659
          13    -5.43196    -5.43297 0.000141892
          14    -5.43353    -5.43301 0.000137361
          15    -5.43304    -5.43301 0.000128218
          16    -5.43261    -5.43299 0.000122646
          17    -5.43194    -5.43293 0.000129918
          18    -5.43317    -5.43294 0.000123438
          19    -5.43255    -5.43292  0.00011865
          20    -5.43279    -5.43291 0.000112878
