#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      0.0485      0.0485           0
           2      0.0485      0.0485 4.65661e-10
           3      0.0485      0.0485 7.60422e-10
           4      0.0485      0.0485 1.31709e-09
           5      0.0485      0.0485 1.95356e-09
           6      0.0485      0.0485 2.67502e-09
           7      0.0485      0.0485 3.48469e-09
           8      0.0485      0.0485 4.36208e-09
           9      0.0485      0.0485 5.29117e-09
          10   0.0485001      0.0485 6.27866e-09
          11   0.0485001      0.0485 7.31979e-09
          12   0.0485001      0.0485 8.41418e-09
          13   0.0485001      0.0485 9.55195e-09
          14   0.0485001      0.0485 1.07362e-08
          15   0.0485001   0.0485001 1.19679e-08
          16   0.0485002   0.0485001 1.32448e-08
          17   0.0485002   0.0485001 1.45626e-08
          18   0.0485002   0.0485001 1.59197e-08
          19   0.0485002   0.0485001  1.7315e-08
          20   0.0485003   0.0485001 1.87506e-08
          21   0.0485003   0.0485001 2.02223e-08
          22   0.0485003   0.0485001 2.17297e-08
          23   0.0485004   0.0485001 2.32742e-08
          24   0.0485004   0.0485001  2.4853e-08
          25   0.0485004   0.0485001 2.64646e-08
          26   0.0485005   0.0485002 2.81102e-08
          27   0.0485005   0.0485002  2.9788e-08
          28   0.0485005   0.0485002 3.14977e-08
          29   0.0485006   0.0485002 3.32387e-08
          30   0.0485006   0.0485002 3.50108e-08
          31   0.0485007   0.0485002  3.6813e-08
          32   0.0485007   0.0485002 3.86446e-08
          33   0.0485008   0.0485003 4.05052e-08
          34   0.0485008   0.0485003  4.2395e-08
          35   0.0485009   0.0485003 4.43128e-08
          36   0.0485009   0.0485003 4.62586e-08
          37    0.048501   0.0485003  4.8232e-08
          38    0.048501   0.0485003 5.02325e-08
          39   0.0485011   0.0485004 5.22596e-08
          40   0.0485011   0.0485004 5.43132e-08
          41   0.0485012   0.0485004 5.63927e-08
          42   0.0485012   0.0485004 5.84981e-08
          43   0.0485013   0.0485004 6.06288e-08
          44   0.0485014   0.0485005 6.27847e-08
          45   0.0485014   0.0485005 6.49654e-08
          46   0.0485015   0.0485005 6.71708e-08
          47   0.0485016   0.0485005 6.94003e-08
          48   0.0485016   0.0485005  7.1654e-08
          49   0.0485017   0.0485006 7.39314e-08
          50   0.0485018   0.0485006 7.62323e-08
          51   0.0485018   0.0485006 7.85565e-08
          52   0.0485019   0.0485006 8.09036e-08
          53    0.048502   0.0485007 8.32736e-08
          54   0.0485021   0.0485007 8.56662e-08
          55   0.0485021   0.0485007 8.80812e-08
          56   0.0485022   0.0485008 9.05183e-08
          57   0.0485023   0.0485008 9.29775e-08
          58   0.0485024   0.0485008 9.54584e-08
          59   0.0485025   0.0485008 9.79611e-08
          60   0.0485026   0.0485009 1.00485e-07
          61   0.0485027   0.0485009  1.0303e-07
          62   0.0485027   0.0485009 1.05596e-07
          63   0.0485028    0.048501 1.08184e-07
          64   0.0485029    0.048501 1.10792e-07
          65    0.048503    0.048501  1.1342e-07
          66   0.0485031    0.048501 1.16069e-07
          67   0.0485032   0.0485011 1.18738e-07
          68   0.0485033   0.0485011 1.21428e-07
          69   0.0485034   0.0485011 1.24137e-07
          70   0.0485035   0.0485012 1.26866e-07
          71   0.0485036   0.0485012 1.29615e-07
          72   0.0485037   0.0485012 1.32384e-07
          73   0.0485038   0.0485013 1.35172e-07
          74   0.0485039   0.0485013 1.37979e-07
          75    0.048504   0.0485014 1.40805e-07
          76   0.0485041   0.0485014 1.43651e-07
          77   0.0485043   0.0485014 1.46515e-07
          78   0.0485044   0.0485015 1.49398e-07
          79   0.0485045   0.0485015   1.523e-07
          80   0.0485046   0.0485015 1.55221e-07
          81   0.0485047   0.0485016  1.5816e-07
          82   0.0485048   0.0485016 1.61117e-07
          83    0.048505   0.0485017 1.64093e-07
          84   0.0485051   0.0485017 1.67087e-07
          85   0.0485052   0.0485017 1.70099e-07
          86   0.0485053   0.0485018 1.73129e-07
          87   0.0485054   0.0485018 1.76176e-07
          88   0.0485056   0.0485019 1.79242e-07
          89   0.0485057   0.0485019 1.82325e-07
          90   0.0485058    0.048502 1.85426e-07
          91    0.048506    0.048502 1.88544e-07
          92   0.0485061    0.048502  1.9168e-07
          93   0.0485062   0.0485021 1.94833e-07
          94   0.0485064   0.0485021 1.98003e-07
          95   0.0485065   0.0485022 2.01191e-07
          96   0.0485066   0.0485022 2.04395e-07
          97   0.0485068   0.0485023 2.07617e-07
          98   0.0485069   0.0485023 2.10855e-07
          99   0.0485071   0.0485024 2.14111e-07
         100   0.0485072   0.0485024 2.17383e-07
         101   0.0485074   0.0485025 2.20671e-07
         102   0.0485075   0.0485025 2.23977e-07
         103   0.0485077   0.0485026 2.27299e-07
         104   0.0485078   0.0485026 2.30637e-07
         105    0.048508   0.0485027 2.33992e-07
         106   0.0485081   0.0485027 2.37363e-07
         107   0.0485083   0.0485028 2.40751e-07
         108   0.0485084   0.0485028 2.44154e-07
         109   0.0485086   0.0485029 2.47574e-07
         110   0.0485087   0.0485029  2.5101e-07
         111   0.0485089    0.048503 2.54462e-07
         112   0.0485091    0.048503  2.5793e-07
