#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1        1.56        1.56           0
           2     1.55999     1.55999 4.96951e-06
           3     1.55994     1.55998 1.37818e-05
           4     1.55987     1.55995 2.45605e-05
           5     1.55978     1.55992 3.70049e-05
           6     1.55965     1.55987 5.09198e-05
           7      1.5595     1.55982 6.61685e-05
           8     1.55931     1.55975 8.26491e-05
           9      1.5591     1.55968 0.000100283
          10     1.55886      1.5596 0.000119007
          11      1.5586     1.55951 0.000138772
          12      1.5583     1.55941 0.000159536
          13     1.55798      1.5593 0.000181264
          14     1.55763     1.55918  0.00020393
          15     1.55724     1.55905 0.000227509
          16     1.55683     1.55891 0.000251983
          17     1.55639     1.55876 0.000277335
          18     1.55592     1.55861 0.000303554
          19     1.55542     1.55844 0.000330629
          20     1.55489     1.55826 0.000358553
          21     1.55433     1.55807  0.00038732
          22     1.55373     1.55788 0.000416926
          23     1.55311     1.55767 0.000447369
          24     1.55245     1.55745  0.00047865
          25     1.55176     1.55722 0.000510768
          26     1.55104     1.55699 0.000543722
          27     1.55028     1.55674 0.000577505
          28     1.54949     1.55648 0.000612123
          29     1.54867     1.55621 0.000647584
          30     1.54781     1.55593 0.000683899
          31     1.54691     1.55564 0.000721076
          32     1.54598     1.55534 0.000759117
          33     1.54501     1.55502 0.000798024
          34       1.544      1.5547 0.000837807
          35     1.54296     1.55436 0.000878478
          36     1.54187     1.55402 0.000920043
          37     1.54075     1.55366 0.000962512
          38     1.53959     1.55329   0.0010059
          39     1.53838     1.55291  0.00105024
          40     1.53713     1.55251  0.00109553
          41     1.53584      1.5521  0.00114179
          42      1.5345     1.55169  0.00118903
          43     1.53312     1.55125  0.00123728
          44     1.53169     1.55081  0.00128654
          45     1.53022     1.55035  0.00133684
          46      1.5287     1.54988  0.00138819
          47     1.52713      1.5494  0.00144061
          48      1.5255      1.5489  0.00149413
          49     1.52383     1.54839  0.00154875
          50     1.52211     1.54786  0.00160449
          51     1.52033     1.54732  0.00166139
          52     1.51849     1.54677  0.00171944
          53     1.51661      1.5462  0.00177869
          54     1.51466     1.54561  0.00183915
          55     1.51266     1.54502  0.00190083
          56     1.51059      1.5444  0.00196376
          57     1.50847     1.54377  0.00202797
          58     1.50628     1.54312  0.00209347
          59     1.50403     1.54246  0.00216029
          60     1.50172     1.54178  0.00222844
          61     1.49934     1.54109  0.00229795
          62      1.4969     1.54037  0.00236884
          63     1.49438     1.53964  0.00244113
          64      1.4918      1.5389  0.00251485
          65     1.48914     1.53813  0.00259002
          66     1.48642     1.53735  0.00266666
          67     1.48362     1.53655   0.0027448
          68     1.48074     1.53572  0.00282447
          69     1.47778     1.53488  0.00290568
          70     1.47475     1.53403  0.00298846
