#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        2.34        2.34           0
           2     2.33978     2.33989 7.71608e-05
           3     2.33913     2.33964 0.000213997
           4     2.33804     2.33924 0.000381357
           5     2.33652     2.33869 0.000574505
           6     2.33456       2.338 0.000790324
           7     2.33217     2.33717  0.00102659
           8     2.32935     2.33619  0.00128159
           9      2.3261     2.33507  0.00155399
          10     2.32243     2.33381  0.00184258
          11     2.31833      2.3324  0.00214634
          12      2.3138     2.33085  0.00246431
          13     2.30886     2.32916  0.00279567
          14      2.3035     2.32733  0.00313987
          15     2.29772     2.32535  0.00349636
          16     2.29152     2.32324  0.00386461
          17     2.28491     2.32098  0.00424425
          18     2.27789     2.31859  0.00463485
          19     2.27045     2.31606  0.00503598
          20     2.26261     2.31338  0.00544729
          21     2.25436     2.31057  0.00586844
          22      2.2457     2.30762  0.00629911
          23     2.23664     2.30454  0.00673904
          24     2.22718     2.30131  0.00718793
          25     2.21731     2.29795  0.00764557
          26     2.20704     2.29446  0.00811179
          27     2.19637     2.29082  0.00858637
          28     2.18531     2.28706  0.00906909
          29     2.17385     2.28315  0.00955969
          30     2.16199     2.27911    0.010058
          31     2.14975     2.27494   0.0105638
          32     2.13713     2.27063   0.0110768
          33     2.12411     2.26619   0.0115969
          34     2.11072     2.26162    0.012124
          35     2.09694     2.25692   0.0126577
          36     2.08278     2.25208    0.013198
          37     2.06826     2.24711   0.0137446
          38     2.05336     2.24201   0.0142973
          39     2.03811     2.23678   0.0148559
          40     2.02249     2.23143   0.0154203
          41     2.00652     2.22594   0.0159901
          42      1.9902     2.22033   0.0165653
          43     1.97354     2.21459   0.0171454
          44     1.95654     2.20872   0.0177304
          45     1.93921     2.20273   0.0183201
          46     1.92156     2.19662    0.018914
          47     1.90359     2.19039   0.0195122
          48     1.88532     2.18403   0.0201141
          49     1.86674     2.17756   0.0207198
          50     1.84787     2.17096   0.0213287
          51     1.82872     2.16425   0.0219408
          52     1.80929     2.15743   0.0225558
          53      1.7896     2.15049   0.0231733
          54     1.76966     2.14343   0.0237931
          55     1.74948     2.13627   0.0244149
          56     1.72906       2.129   0.0250384
          57     1.70843     2.12162   0.0256632
          58     1.68758     2.11414   0.0262892
          59     1.66655     2.10655    0.026916
          60     1.64533     2.09886   0.0275432
          61     1.62395     2.09108   0.0281705
          62     1.60241      2.0832   0.0287977
          63     1.58073     2.07522   0.0294243
          64     1.55893     2.06715     0.03005
          65     1.53702       2.059   0.0306746
          66     1.51503     2.05076   0.0312975
          67     1.49295     2.04243   0.0319185
          68     1.47082     2.03402   0.0325372
          69     1.44865     2.02554   0.0331532
          70     1.42646     2.01698   0.0337661
          71     1.40427     2.00835   0.0343756
          72     1.38209     1.99966   0.0349813
          73     1.35994     1.99089   0.0355829
          74     1.33785     1.98207   0.0361798
          75     1.31583     1.97318   0.0367718
          76      1.2939     1.96425   0.0373584
          77     1.27208     1.95526   0.0379393
          78      1.2504     1.94622    0.038514
