#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.85024    -7.85024           0
           2    -7.84958    -7.84991 0.000231284
           3    -7.84849    -7.84944 0.000415128
           4    -7.84697    -7.84882 0.000618264
           5    -7.84502    -7.84806 0.000841583
           6    -7.84263    -7.84715  0.00108404
           7    -7.83981    -7.84611  0.00134442
           8    -7.83656    -7.84491  0.00162163
           9    -7.83256    -7.84354  0.00193709
          10    -7.82813      -7.842  0.00227491
          11    -7.82231    -7.84021  0.00268108
          12     -7.8164    -7.83823  0.00310626
          13    -7.81039    -7.83608  0.00352888
          14    -7.80299    -7.83372  0.00399069
          15     -7.7955    -7.83117   0.0044646
          16    -7.78824    -7.82849  0.00492632
          17    -7.77863    -7.82556  0.00544006
          18    -7.76925    -7.82243  0.00596983
          19    -7.75946    -7.81911  0.00651077
          20     -7.7483    -7.81557  0.00708291
          21    -7.73737    -7.81185  0.00766222
          22    -7.72572    -7.80793  0.00825365
          23    -7.71335    -7.80382  0.00886032
          24    -7.70186    -7.79957  0.00945492
          25    -7.69062    -7.79522   0.0100309
          26    -7.67801    -7.79071   0.0106098
          27    -7.66338    -7.78599    0.011216
          28    -7.64998    -7.78113   0.0118207
          29    -7.63651    -7.77615   0.0124206
          30    -7.62103    -7.77098   0.0130385
          31    -7.60614    -7.76566   0.0136592
          32    -7.59215    -7.76024   0.0142679
          33    -7.57811    -7.75472   0.0148647
          34    -7.56368     -7.7491    0.015453
          35    -7.54759    -7.74334   0.0160482
          36    -7.53274    -7.73749   0.0166346
          37    -7.51622    -7.73151   0.0172265
          38    -7.50032    -7.72543   0.0178151
          39    -7.48341    -7.71922   0.0184075
          40    -7.46614     -7.7129   0.0190035
          41    -7.44918    -7.70646   0.0195984
          42    -7.43251    -7.69994    0.020188
          43     -7.4139    -7.69329   0.0207856
          44     -7.3956    -7.68652    0.021386
          45    -7.37697    -7.67964   0.0219893
          46    -7.35836    -7.67266   0.0225933
          47    -7.33976    -7.66558   0.0231963
          48    -7.31988    -7.65837   0.0238049
          49    -7.29972    -7.65105   0.0244184
          50    -7.28024    -7.64364   0.0250309
          51    -7.26049    -7.63613   0.0256428
          52    -7.24015    -7.62851    0.026256
          53    -7.21859    -7.62078   0.0268756
          54    -7.19744    -7.61294   0.0274975
          55    -7.17637      -7.605   0.0281199
          56    -7.15444    -7.59695   0.0287457
          57     -7.1323     -7.5888   0.0293745
          58    -7.11094    -7.58056   0.0300013
          59    -7.08973    -7.57224   0.0306245
          60    -7.06802    -7.56384   0.0312459
          61    -7.04648    -7.55536    0.031864
          62     -7.0248     -7.5468   0.0324788
          63    -7.00268    -7.53816   0.0330917
          64    -6.98044    -7.52945   0.0337026
          65    -6.95844    -7.52067   0.0343099
          66     -6.9354     -7.5118   0.0349172
          67    -6.91327    -7.50286   0.0355204
          68    -6.89077    -7.49386   0.0361206
          69    -6.86729    -7.48478   0.0367208
          70    -6.84444    -7.47563   0.0373183
          71    -6.82194    -7.46643   0.0379114
          72    -6.79914    -7.45716    0.038501
          73     -6.7764    -7.44783   0.0390866
          74    -6.75438    -7.43846   0.0396659
