#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1       1.716       1.716           0
           2     1.71584     1.71592 5.65846e-05
           3     1.71536     1.71573 0.000156931
           4     1.71456     1.71544 0.000279661
           5     1.71344     1.71504 0.000421303
           6     1.71201     1.71454 0.000579571
           7     1.71026     1.71393  0.00075283
           8     1.70819     1.71321 0.000939834
           9     1.70581     1.71239  0.00113959
          10     1.70311     1.71146  0.00135122
          11     1.70011     1.71043  0.00157398
          12     1.69679     1.70929  0.00180716
          13     1.69316     1.70805  0.00205016
          14     1.68923     1.70671  0.00230257
          15     1.68499     1.70526  0.00256399
          16     1.68045     1.70371  0.00283404
          17      1.6756     1.70205  0.00311245
          18     1.67045      1.7003  0.00339889
          19       1.665     1.69844  0.00369305
          20     1.65925     1.69648  0.00399468
          21     1.65319     1.69442  0.00430352
          22     1.64685     1.69226  0.00461935
          23      1.6402     1.68999  0.00494196
          24     1.63326     1.68763  0.00527115
          25     1.62603     1.68517  0.00560675
          26      1.6185      1.6826  0.00594864
          27     1.61067     1.67994  0.00629667
          28     1.60256     1.67717  0.00665066
          29     1.59415     1.67431  0.00701044
          30     1.58546     1.67135  0.00737586
          31     1.57649     1.66829  0.00774676
          32     1.56723     1.66513    0.008123
          33     1.55768     1.66188  0.00850442
          34     1.54786     1.65852   0.0088909
          35     1.53775     1.65507  0.00928231
          36     1.52738     1.65152  0.00967851
          37     1.51672     1.64788   0.0100793
          38      1.5058     1.64414   0.0104847
          39     1.49461     1.64031   0.0108944
          40     1.48316     1.63638   0.0113082
          41     1.47145     1.63236   0.0117261
          42     1.45948     1.62824   0.0121479
          43     1.44726     1.62403   0.0125733
          44      1.4348     1.61973   0.0130023
          45     1.42209     1.61534   0.0134347
          46     1.40914     1.61086   0.0138703
          47     1.39597     1.60628   0.0143089
          48     1.38257     1.60162   0.0147504
          49     1.36894     1.59687   0.0151945
          50     1.35511     1.59204   0.0156411
          51     1.34106     1.58712     0.01609
          52     1.32682     1.58211   0.0165409
          53     1.31238     1.57702   0.0169937
          54     1.29775     1.57185   0.0174483
          55     1.28295      1.5666   0.0179042
          56     1.26798     1.56127   0.0183615
          57     1.25285     1.55586   0.0188197
          58     1.23756     1.55037   0.0192788
          59     1.22214      1.5448   0.0197384
          60     1.20658     1.53917   0.0201983
          61     1.19089     1.53346   0.0206584
          62      1.1751     1.52768   0.0211183
          63      1.1592     1.52183   0.0215778
          64     1.14322     1.51591   0.0220367
          65     1.12715     1.50993   0.0224947
          66     1.11102     1.50389   0.0229515
          67     1.09483     1.49778   0.0234069
          68      1.0786     1.49162   0.0238606
          69     1.06235      1.4854   0.0243123
          70     1.04607     1.47912   0.0247618
          71      1.0298     1.47279   0.0252088
          72     1.01353     1.46641    0.025653
          73    0.997291     1.45999   0.0260941
          74     0.98109     1.45352   0.0265318
          75    0.964942       1.447    0.026966
          76    0.948861     1.44045   0.0273961
          77    0.932862     1.43386   0.0278221
          78    0.916958     1.42723   0.0282436
          79    0.901165     1.42057   0.0286604
          80    0.885497     1.41388   0.0290721
          81    0.869968     1.40717   0.0294785
          82    0.854592     1.40043   0.0298793
          83    0.839385     1.39367   0.0302742
          84    0.824359     1.38689   0.0306631
          85    0.809529      1.3801   0.0310455
          86     0.79491     1.37329   0.0314214
          87    0.780513     1.36648   0.0317904
          88    0.766353     1.35966   0.0321523
          89    0.752441     1.35284   0.0325069
          90     0.73879     1.34601   0.0328539
          91    0.725412     1.33919   0.0331931
          92    0.712317     1.33238   0.0335244
          93    0.699516     1.32558   0.0338475
          94    0.687021     1.31878   0.0341623
          95    0.674839       1.312   0.0344686
          96    0.662982     1.30524   0.0347663
          97    0.651457      1.2985   0.0350551
          98    0.640272     1.29179    0.035335
          99    0.629435      1.2851   0.0356059
         100    0.618953     1.27844   0.0358675
         101    0.608832     1.27181   0.0361199
         102    0.599077     1.26521    0.036363
         103    0.589693     1.25865   0.0365966
         104    0.580685     1.25213   0.0368207
         105    0.572055     1.24566   0.0370353
         106    0.563807     1.23922   0.0372404
         107    0.555942     1.23284   0.0374358
         108    0.548462      1.2265   0.0376217
         109    0.541367     1.22021    0.037798
         110    0.534657     1.21398   0.0379647
         111    0.528332     1.20781   0.0381219
         112    0.522391     1.20169   0.0382696
         113    0.516833     1.19563   0.0384078
         114    0.511654     1.18963   0.0385367
         115    0.506852     1.18369   0.0386562
         116    0.502424     1.17782   0.0387665
         117    0.498365     1.17201   0.0388677
         118    0.494671     1.16627   0.0389599
         119    0.491337      1.1606   0.0390432
         120    0.488357     1.15499   0.0391176
         121    0.485727     1.14946   0.0391834
         122    0.483438       1.144   0.0392407
         123    0.481486     1.13862   0.0392896
         124    0.479862      1.1333   0.0393303
         125    0.478559     1.12807   0.0393629
         126     0.47757      1.1229   0.0393876
         127    0.476887     1.11782   0.0394046
         128      0.4765     1.11281    0.039414
         129    0.476402     1.10787    0.039416
         130    0.476583     1.10302   0.0394108
         131    0.477035     1.09824   0.0393985
         132    0.477748     1.09354   0.0393795
         133    0.478714     1.08892   0.0393538
         134    0.479923     1.08437   0.0393217
         135    0.481366      1.0799   0.0392833
         136    0.483032     1.07552   0.0392388
