#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.56        1.56           0
           2     1.55985     1.55993 5.14405e-05
           3     1.55942     1.55976 0.000142665
           4     1.55869     1.55949 0.000254238
           5     1.55768     1.55913 0.000383003
           6     1.55637     1.55867 0.000526882
           7     1.55478     1.55811 0.000684391
           8      1.5529     1.55746 0.000854394
           9     1.55074     1.55671  0.00103599
          10     1.54829     1.55587  0.00122839
          11     1.54555     1.55493  0.00143089
          12     1.54253      1.5539  0.00164287
          13     1.53924     1.55277  0.00186378
          14     1.53567     1.55155  0.00209325
          15     1.53181     1.55023   0.0023309
          16     1.52768     1.54883   0.0025764
          17     1.52327     1.54732   0.0028295
          18     1.51859     1.54573   0.0030899
          19     1.51363     1.54404  0.00335732
          20     1.50841     1.54226  0.00363153
          21      1.5029     1.54038   0.0039123
          22     1.49713     1.53842  0.00419941
          23     1.49109     1.53636  0.00449269
          24     1.48478     1.53421  0.00479195
          25     1.47821     1.53197  0.00509705
          26     1.47136     1.52964  0.00540786
          27     1.46425     1.52722  0.00572425
          28     1.45687      1.5247  0.00604606
          29     1.44923      1.5221  0.00637313
          30     1.44133     1.51941  0.00670533
          31     1.43317     1.51663  0.00704251
          32     1.42475     1.51376  0.00738454
          33     1.41608      1.5108  0.00773129
          34     1.40714     1.50775  0.00808263
          35     1.39796     1.50461  0.00843846
          36     1.38852     1.50139  0.00879865
          37     1.37884     1.49807  0.00916304
          38     1.36891     1.49467  0.00953153
          39     1.35874     1.49119  0.00990396
          40     1.34833     1.48762   0.0102802
          41     1.33768     1.48396   0.0106601
          42      1.3268     1.48022   0.0110435
          43     1.31569     1.47639   0.0114303
          44     1.30436     1.47248   0.0118203
          45     1.29281     1.46849   0.0122134
          46     1.28104     1.46441   0.0126094
          47     1.26906     1.46026   0.0130081
          48     1.25688     1.45602   0.0134094
          49     1.24449      1.4517   0.0138132
          50     1.23191     1.44731   0.0142192
          51     1.21915     1.44283   0.0146272
          52      1.2062     1.43828   0.0150372
          53     1.19307     1.43366   0.0154489
          54     1.17977     1.42896   0.0158621
          55     1.16632     1.42418   0.0162766
          56     1.15271     1.41933   0.0166922
          57     1.13895     1.41441   0.0171088
          58     1.12506     1.40942   0.0175261
          59     1.11103     1.40437    0.017944
          60     1.09689     1.39924   0.0183621
          61     1.08263     1.39405   0.0187804
          62     1.06827      1.3888   0.0191985
          63     1.05382     1.38348   0.0196162
          64     1.03929      1.3781   0.0200334
          65     1.02468     1.37267   0.0204497
          66     1.01002     1.36717    0.020865
          67    0.995302     1.36162    0.021279
          68    0.980549     1.35602   0.0216914
          69    0.965769     1.35036   0.0221021
          70    0.950974     1.34466   0.0225107
          71    0.936178      1.3389   0.0229171
          72    0.921392      1.3331   0.0233209
          73    0.906628     1.32726   0.0237219
          74      0.8919     1.32138   0.0241199
          75     0.87722     1.31546   0.0245145
          76    0.862601      1.3095   0.0249056
          77    0.848056      1.3035   0.0252928
          78    0.833598     1.29748    0.025676
          79    0.819241     1.29143   0.0260549
          80    0.804997     1.28535   0.0264292
          81     0.79088     1.27924   0.0267986
          82    0.776902     1.27312    0.027163
          83    0.763077     1.26697    0.027522
          84    0.749417     1.26081   0.0278755
          85    0.735936     1.25463   0.0282232
          86    0.722645     1.24845   0.0285649
          87    0.709557     1.24225   0.0289004
          88    0.696684     1.23605   0.0292294
          89    0.684037     1.22985   0.0295517
          90    0.671628     1.22365   0.0298671
          91    0.659465     1.21745   0.0301756
          92    0.647561     1.21126   0.0304767
          93    0.635924     1.20507   0.0307705
          94    0.624564     1.19889   0.0310567
          95     0.61349     1.19273   0.0313351
          96    0.602711     1.18659   0.0316057
          97    0.592233     1.18046   0.0318683
          98    0.582065     1.17435   0.0321228
          99    0.572214     1.16827    0.032369
         100    0.562684     1.16221   0.0326068
         101    0.553483     1.15619   0.0328363
         102    0.544616     1.15019   0.0330573
         103    0.536085     1.14423   0.0332696
         104    0.527895      1.1383   0.0334734
         105     0.52005     1.13241   0.0336685
         106    0.512552     1.12657   0.0338549
         107    0.505402     1.12076   0.0340326
         108    0.498602       1.115   0.0342016
         109    0.492152     1.10929   0.0343618
         110    0.486052     1.10362   0.0345134
         111    0.480302       1.098   0.0346563
         112    0.474901     1.09244   0.0347905
         113    0.469848     1.08693   0.0349162
         114     0.46514     1.08148   0.0350333
         115    0.460775     1.07608    0.035142
         116    0.456749     1.07074   0.0352423
         117    0.453059     1.06546   0.0353343
         118    0.449701     1.06024   0.0354181
         119     0.44667     1.05509   0.0354938
         120    0.443961     1.04999   0.0355615
         121     0.44157     1.04497   0.0356213
         122    0.439489        1.04   0.0356734
         123    0.437715     1.03511   0.0357178
         124    0.436238     1.03028   0.0357548
         125    0.435054     1.02552   0.0357845
         126    0.434155     1.02082   0.0358069
         127    0.433533      1.0162   0.0358223
         128    0.433182     1.01164   0.0358309
         129    0.433093     1.00716   0.0358327
         130    0.433257     1.00274    0.035828
         131    0.433668    0.998399   0.0358169
         132    0.434316    0.994126   0.0357995
         133    0.435195    0.989923   0.0357762
         134    0.436294    0.985792    0.035747
         135    0.437605    0.981731   0.0357121
         136     0.43912    0.977741   0.0356716
         137    0.440829    0.973822   0.0356259
         138    0.442724    0.969974    0.035575
         139    0.444797    0.966196   0.0355191
         140    0.447037    0.962487   0.0354585
         141    0.449437    0.958849   0.0353932
         142    0.451988    0.955279   0.0353235
         143    0.454681    0.951779   0.0352495
         144    0.457507    0.948346   0.0351714
         145    0.460457    0.944981   0.0350895
         146    0.463524    0.941684   0.0350037
         147    0.466697    0.938453   0.0349144
         148    0.469969    0.935287   0.0348217
         149    0.473333    0.932187   0.0347258
         150    0.476778    0.929151   0.0346267
         151    0.480299    0.926178   0.0345248
         152    0.483886    0.923268     0.03442
         153    0.487534     0.92042   0.0343127
         154    0.491233    0.917633   0.0342029
         155    0.494977    0.914907   0.0340907
         156    0.498758    0.912239   0.0339764
         157    0.502571     0.90963     0.03386
         158    0.506408    0.907078   0.0337418
         159    0.510262    0.904582   0.0336217
         160    0.514127    0.902142      0.0335
         161    0.517998    0.899756   0.0333768
         162    0.521868    0.897423   0.0332522
         163    0.525732    0.895143   0.0331263
         164    0.529586    0.892914   0.0329992
         165    0.533423    0.890735   0.0328711
         166     0.53724    0.888605    0.032742
         167    0.541031    0.886524    0.032612
         168    0.544791     0.88449   0.0324812
         169    0.548517    0.882502   0.0323498
         170    0.552204    0.880559   0.0322178
         171    0.555849     0.87866   0.0320853
         172    0.559448    0.876804   0.0319524
         173    0.562998     0.87499   0.0318192
         174    0.566497    0.873217   0.0316856
         175     0.56994    0.871484   0.0315519
         176    0.573325     0.86979   0.0314181
         177     0.57665    0.868134   0.0312842
         178    0.579913    0.866515   0.0311504
         179    0.583112    0.864932   0.0310165
         180    0.586245    0.863383   0.0308828
         181    0.589311    0.861869   0.0307493
         182    0.592307    0.860388    0.030616
         183    0.595234    0.858939    0.030483
         184     0.59809    0.857522   0.0303503
         185    0.600874    0.856134   0.0302179
         186    0.603586    0.854777   0.0300859
         187    0.606226    0.853447   0.0299544
         188    0.608793    0.852146   0.0298233
         189    0.611287    0.850872   0.0296927
         190    0.613708    0.849623   0.0295627
         191    0.616056    0.848401   0.0294332
         192    0.618331    0.847202   0.0293043
         193    0.620535    0.846028    0.029176
         194    0.622667    0.844876   0.0290483
         195    0.624729    0.843748   0.0289212
         196    0.626721     0.84264   0.0287949
         197    0.628645    0.841554   0.0286692
         198    0.630501    0.840488   0.0285442
         199    0.632291    0.839442   0.0284199
         200    0.634017    0.838415   0.0282964
         201    0.635679    0.837406   0.0281736
         202    0.637279    0.836415   0.0280515
         203    0.638819    0.835442   0.0279302
         204      0.6403    0.834485   0.0278097
         205    0.641723    0.833545   0.0276899
         206    0.643091    0.832621   0.0275709
         207    0.644404    0.831711   0.0274527
         208    0.645667    0.830817   0.0273353
         209    0.646879    0.829937   0.0272187
         210    0.648044    0.829071   0.0271028
         211    0.649163    0.828218   0.0269878
         212    0.650239    0.827378   0.0268736
         213    0.651273    0.826552   0.0267601
         214    0.652267    0.825737   0.0266474
         215    0.653224    0.824935   0.0265356
         216    0.654146    0.824144   0.0264245
         217    0.655034    0.823365   0.0263142
         218     0.65589    0.822597   0.0262047
         219    0.656717    0.821839    0.026096
         220    0.657517    0.821092   0.0259881
         221    0.658293    0.820356   0.0258809
         222    0.659046    0.819629   0.0257745
         223    0.659777    0.818912   0.0256689
         224    0.660488    0.818205   0.0255641
         225    0.661183    0.817507     0.02546
         226    0.661861    0.816818   0.0253566
         227    0.662525    0.816139    0.025254
         228    0.663177    0.815468   0.0251522
         229    0.663818    0.814805   0.0250511
         230    0.664451    0.814152   0.0249507
         231    0.665077    0.813506    0.024851
         232    0.665696    0.812869   0.0247521
         233    0.666312     0.81224   0.0246538
         234    0.666926    0.811619   0.0245563
         235    0.667538    0.811006   0.0244594
         236     0.66815    0.810401   0.0243633
         237    0.668764    0.809803   0.0242678
         238    0.669381    0.809213    0.024173
         239    0.670001    0.808631   0.0240789
         240    0.670627    0.808056   0.0239854
         241     0.67126    0.807488   0.0238926
         242    0.671901    0.806928   0.0238005
         243     0.67255    0.806375   0.0237089
         244    0.673211    0.805829   0.0236181
         245    0.673883    0.805291   0.0235278
         246    0.674566    0.804759   0.0234382
         247    0.675263    0.804235   0.0233491
         248    0.675973    0.803718   0.0232607
         249    0.676698    0.803208   0.0231729
         250    0.677439    0.802704   0.0230857
         251    0.678196    0.802208    0.022999
         252     0.67897    0.801719   0.0229129
         253    0.679763    0.801237   0.0228274
         254    0.680574    0.800762   0.0227425
         255    0.681404    0.800294   0.0226581
         256    0.682254    0.799833   0.0225743
         257    0.683125    0.799379   0.0224911
         258    0.684017    0.798932   0.0224083
         259    0.684932    0.798492   0.0223261
         260    0.685868    0.798059   0.0222445
         261    0.686827    0.797632   0.0221633
         262     0.68781    0.797213   0.0220827
         263    0.688816    0.796801   0.0220026
         264    0.689848    0.796396    0.021923
         265    0.690904    0.795998   0.0218438
         266    0.691987    0.795607   0.0217652
         267    0.693094    0.795223   0.0216871
         268    0.694226    0.794846   0.0216094
         269    0.695384    0.794476   0.0215323
         270    0.696567    0.794114   0.0214556
         271    0.697776    0.793758   0.0213794
         272     0.69901     0.79341   0.0213036
         273     0.70027    0.793069   0.0212283
         274    0.701556    0.792735   0.0211534
         275    0.702867    0.792408    0.021079
         276    0.704204    0.792088   0.0210051
         277    0.705566    0.791776   0.0209316
         278    0.706954    0.791471   0.0208585
         279    0.708367    0.791173   0.0207859
         280    0.709804    0.790882   0.0207137
         281    0.711266    0.790599   0.0206419
         282    0.712751    0.790323   0.0205705
         283     0.71426    0.790054   0.0204996
         284     0.71579    0.789793   0.0204291
         285    0.717342    0.789539    0.020359
         286    0.718915    0.789292   0.0202893
         287    0.720508    0.789052     0.02022
         288     0.72212     0.78882   0.0201512
         289    0.723752    0.788594   0.0200827
         290    0.725403    0.788376   0.0200146
         291    0.727073    0.788166   0.0199469
         292    0.728759    0.787962   0.0198797
         293     0.73046    0.787766   0.0198128
         294    0.732176    0.787577   0.0197463
         295    0.733906    0.787395   0.0196802
         296    0.735649     0.78722   0.0196145
         297    0.737405    0.787053   0.0195492
         298    0.739171    0.786892   0.0194842
         299    0.740946    0.786738   0.0194197
         300    0.742729    0.786591   0.0193555
         301     0.74452    0.786452   0.0192917
         302    0.746316    0.786319   0.0192283
         303    0.748119    0.786193   0.0191652
         304    0.749926    0.786073   0.0191026
         305    0.751735    0.785961   0.0190403
         306    0.753547    0.785855   0.0189783
         307    0.755359    0.785756   0.0189168
         308    0.757171    0.785663   0.0188556
         309    0.758983    0.785576   0.0187948
         310    0.760792    0.785496   0.0187343
         311    0.762597    0.785423   0.0186742
         312    0.764396    0.785355   0.0186145
         313    0.766189    0.785294   0.0185551
