#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.51024    -5.51024           0
           2     -5.5098    -5.51002 0.000154124
           3    -5.50937     -5.5098 0.000205274
           4    -5.50893    -5.50958 0.000243157
           5     -5.5085    -5.50937 0.000274796
           6    -5.50807    -5.50915 0.000302594
           7    -5.50764    -5.50893 0.000327705
           8    -5.50721    -5.50872 0.000350784
           9    -5.50646    -5.50847 0.000391721
          10    -5.50571    -5.50819 0.000439154
          11    -5.50399    -5.50781 0.000540418
          12     -5.5026    -5.50737 0.000646757
          13    -5.50153    -5.50693 0.000736826
          14    -5.49949    -5.50639 0.000854248
          15    -5.49778    -5.50582 0.000971273
          16    -5.49672    -5.50525  0.00106421
          17    -5.49372    -5.50457  0.00119856
          18    -5.49136    -5.50384   0.0013379
          19    -5.48901    -5.50306  0.00147764
          20    -5.48569    -5.50219  0.00163921
          21    -5.48302    -5.50128  0.00179751
          22    -5.48002    -5.50031  0.00195827
          23    -5.47671    -5.49928  0.00212508
          24    -5.47469    -5.49826  0.00227026
          25    -5.47331    -5.49726  0.00238872
          26    -5.47097    -5.49625  0.00250177
          27    -5.46701    -5.49517   0.0026331
          28    -5.46467    -5.49408  0.00275508
          29    -5.46266      -5.493  0.00286516
          30    -5.45904    -5.49186  0.00298491
          31    -5.45638    -5.49072  0.00310028
          32    -5.45503     -5.4896  0.00319774
          33      -5.454    -5.48852  0.00327783
          34    -5.45297    -5.48748  0.00334409
          35    -5.45065    -5.48643  0.00341009
          36    -5.44995    -5.48541   0.0034626
          37    -5.44797     -5.4844  0.00351382
          38    -5.44695    -5.48342  0.00355685
          39     -5.4453    -5.48244  0.00359741
          40    -5.44365    -5.48147  0.00363582
          41    -5.44266    -5.48052  0.00366831
          42    -5.44231    -5.47961  0.00369206
          43    -5.44036     -5.4787  0.00371736
          44    -5.43905     -5.4778  0.00374048
          45    -5.43776    -5.47691   0.0037617
          46    -5.43679    -5.47604  0.00377965
          47    -5.43616    -5.47519  0.00379325
          48    -5.43457    -5.47434  0.00380746
          49    -5.43298     -5.4735  0.00382219
          50    -5.43237    -5.47268  0.00383322
          51    -5.43177    -5.47187  0.00384104
          52    -5.43086    -5.47108   0.0038473
          53    -5.42899    -5.47029  0.00385582
          54    -5.42778     -5.4695  0.00386396
          55     -5.4269    -5.46873  0.00387059
          56    -5.42538    -5.46795   0.0038781
          57    -5.42388    -5.46718  0.00388639
          58    -5.42336    -5.46643  0.00389213
          59    -5.42318    -5.46569  0.00389458
          60    -5.42269    -5.46498  0.00389507
          61    -5.42253    -5.46428  0.00389287
          62    -5.42239     -5.4636  0.00388827
          63    -5.42194    -5.46294  0.00388238
          64    -5.42151     -5.4623  0.00387531
          65    -5.42142    -5.46167  0.00386638
          66    -5.42037    -5.46104  0.00385809
          67    -5.42031    -5.46043  0.00384809
          68    -5.41995    -5.45984  0.00383728
          69    -5.41863    -5.45924  0.00382785
          70    -5.41798    -5.45865  0.00381828
          71    -5.41767    -5.45807  0.00380788
          72    -5.41706     -5.4575  0.00379737
          73    -5.41646    -5.45694  0.00378675
          74    -5.41653     -5.4564  0.00377474
          75    -5.41662    -5.45587  0.00376148
          76    -5.41673    -5.45535  0.00374707
          77    -5.41621    -5.45484  0.00373272
          78    -5.41636    -5.45435  0.00371732
          79    -5.41621    -5.45387  0.00370148
          80     -5.4164     -5.4534  0.00368473
          81    -5.41628    -5.45294  0.00366762
          82    -5.41651     -5.4525   0.0036497
          83    -5.41676    -5.45207  0.00363104
          84    -5.41702    -5.45165   0.0036117
          85    -5.41698    -5.45124  0.00359216
          86    -5.41761    -5.45085  0.00357161
          87    -5.41793    -5.45047  0.00355054
          88    -5.41795     -5.4501  0.00352938
          89     -5.4183    -5.44974  0.00350776
          90    -5.41835    -5.44939  0.00348609
          91    -5.41808    -5.44905  0.00346472
          92    -5.41816    -5.44872  0.00344329
          93    -5.41858    -5.44839  0.00342148
          94      -5.419    -5.44808  0.00339933
          95    -5.41945    -5.44778  0.00337689
          96    -5.41925    -5.44748  0.00335476
          97    -5.41971    -5.44719  0.00333236
          98    -5.42019    -5.44692  0.00330973
          99    -5.42002    -5.44665  0.00328743
         100    -5.42019    -5.44638  0.00326519
         101    -5.42037    -5.44612    0.003243
         102    -5.42087    -5.44588  0.00322064
         103    -5.42138    -5.44564  0.00319814
         104    -5.42158    -5.44541  0.00317575
         105     -5.4221    -5.44519  0.00315325
         106     -5.4223    -5.44497  0.00313089
         107    -5.42282    -5.44476  0.00310846
         108    -5.42302    -5.44456  0.00308619
         109    -5.42355    -5.44437  0.00306389
         110    -5.42407    -5.44418  0.00304159
         111    -5.42492    -5.44401  0.00301914
         112    -5.42577    -5.44385  0.00299657
         113    -5.42661    -5.44369  0.00297393
         114     -5.4268    -5.44355  0.00295154
         115    -5.42698     -5.4434  0.00292938
         116    -5.42749    -5.44327  0.00290734
         117    -5.42831    -5.44314   0.0028853
         118    -5.42848    -5.44301  0.00286352
         119    -5.42864    -5.44289  0.00284201
         120    -5.42879    -5.44278  0.00282075
         121    -5.42958    -5.44267  0.00279955
         122    -5.42939    -5.44256  0.00277871
         123    -5.43016    -5.44246  0.00275795
         124     -5.4306    -5.44236  0.00273736
         125    -5.43136    -5.44227  0.00271688
         126    -5.43145    -5.44219  0.00269668
         127    -5.43185    -5.44211  0.00267667
         128    -5.43225    -5.44203  0.00265686
         129    -5.43263    -5.44196  0.00263727
         130    -5.43332    -5.44189  0.00261782
         131    -5.43336    -5.44182  0.00259864
         132    -5.43338    -5.44176  0.00257974
         133    -5.43404     -5.4417    0.002561
         134    -5.43468    -5.44165  0.00254243
         135    -5.43498     -5.4416  0.00252407
         136    -5.43528    -5.44155  0.00250594
         137    -5.43523    -5.44151  0.00248807
         138     -5.4355    -5.44146  0.00247043
         139    -5.43575    -5.44142  0.00245299
         140    -5.43599    -5.44138  0.00243578
         141    -5.43557    -5.44134  0.00241885
         142    -5.43579     -5.4413  0.00240214
         143    -5.43599    -5.44127  0.00238563
         144     -5.4365    -5.44123  0.00236929
         145    -5.43635     -5.4412  0.00235319
         146    -5.43651    -5.44117  0.00233729
         147    -5.43633    -5.44113  0.00232162
         148    -5.43615     -5.4411  0.00230618
