# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
      0   1.74118              0         0.5112
      1   1.60412       0.137061         0.4772
      2    1.5171       0.117618         0.4656
      3   1.52385      0.0834417         0.4704
      4    1.5106      0.0659775         0.4804
      5   1.50981      0.0538763          0.478
      6     1.502      0.0461979         0.4708
      7   1.50277       0.040016         0.4892
      8   1.50874      0.0357914         0.4848
      9   1.50305      0.0325148         0.4888
     10   1.51128      0.0305411         0.5004
     11   1.51571      0.0282296         0.4748
     12   1.51638      0.0259761         0.4792
     13   1.50981      0.0249303         0.4592
     14   1.50573      0.0235635         0.4956
     15   1.50202      0.0223525         0.4656
     16   1.50777      0.0217692          0.492
     17   1.50578      0.0206201         0.4952
     18   1.50739      0.0195708         0.4844
     19   1.51004      0.0187554         0.4992
     20   1.51113      0.0178733         0.4656
     21   1.51083      0.0170442         0.4664
     22     1.506      0.0169881         0.4696
     23   1.50097      0.0170232         0.4812
     24   1.49844      0.0165232         0.5056
     25   1.49513      0.0162175          0.462
     26   1.49232       0.015855         0.4768
     27   1.49394      0.0153639         0.4864
     28   1.49649      0.0150421         0.4856
     29    1.4936       0.014818         0.4644
     30   1.49214      0.0144062         0.4924
     31   1.48975      0.0141511         0.4816
     32   1.49066      0.0137455         0.4892
     33   1.49424      0.0138081          0.486
     34   1.49403      0.0134093          0.492
     35   1.49437      0.0130357         0.4892
     36   1.49944      0.0136572         0.5136
     37   1.50144      0.0134426         0.5004
     38   1.50232      0.0131228         0.4968
     39   1.49897      0.0132233         0.4764
     40   1.49766      0.0129631         0.4616
     41   1.49752      0.0126514           0.49
     42   1.50058      0.0127266         0.4692
     43   1.49862      0.0125876         0.4636
     44   1.49889      0.0123077         0.4672
     45   1.50165      0.0123489         0.4892
     46   1.50005      0.0121883          0.464
     47   1.49965      0.0119386         0.4936
     48    1.5002      0.0117055         0.4996
     49    1.5034      0.0119077         0.4992
     50   1.50004      0.0121475         0.4768
     51   1.49949       0.011924         0.4712
     52   1.49938      0.0116973         0.4792
     53   1.49779      0.0115887         0.4696
     54   1.49754      0.0113787         0.4856
     55   1.49813      0.0111888          0.502
     56   1.49982      0.0111204         0.5124
     57    1.4998       0.010927         0.4848
     58   1.50082      0.0107887         0.4752
     59   1.50081      0.0106074           0.48
     60   1.50102      0.0104342         0.4884
     61   1.50098      0.0102646         0.4912
     62   1.50069      0.0101045         0.4876
     63   1.50156     0.00998345         0.4944
     64   1.50035     0.00990248          0.468
     65   1.50051     0.00975254         0.4992
     66   1.50192     0.00970939         0.4988
     67   1.50064     0.00965073         0.4692
     68   1.50018     0.00952121         0.4832
     69    1.4993     0.00942491         0.4732
     70   1.49832     0.00934267         0.4976
     71   1.49877     0.00922279         0.4768
     72   1.49829     0.00910808           0.47
     73   1.49803     0.00898801         0.4972
     74   1.49982     0.00904579         0.4888
     75    1.4992     0.00894761         0.4788
     76    1.5015     0.00912683         0.5008
     77   1.50251     0.00906546         0.4988
     78   1.50106     0.00906624         0.4672
     79   1.50035      0.0089805         0.4928
     80   1.49947     0.00891228         0.4972
     81   1.49797     0.00892989         0.4692
     82   1.49901     0.00888254          0.494
     83   1.49988     0.00881927         0.4824
     84   1.49989      0.0087149         0.4888
     85   1.49993     0.00861308         0.4844
     86   1.49878     0.00859047         0.4828
     87   1.49796     0.00853206         0.4796
     88   1.49756     0.00844535         0.4788
     89   1.49593     0.00850823         0.4648
     90    1.4952     0.00844596         0.4808
     91   1.49579     0.00837458         0.4868
     92   1.49682     0.00834851          0.488
     93   1.49612     0.00828937           0.47
     94   1.49723     0.00827709         0.4852
     95   1.49718      0.0081906         0.4872
     96   1.49743     0.00810966         0.4764
     97   1.49781     0.00803542         0.4824
     98   1.49678     0.00802023         0.4712
     99   1.49701     0.00794299         0.4688
    100   1.49617     0.00790833          0.458
    101   1.49673     0.00784986         0.4832
    102   1.49599     0.00780789         0.4644
    103   1.49779     0.00793923          0.506
    104   1.49832     0.00788128          0.476
    105   1.49895      0.0078316         0.4924
    106   1.49983      0.0078073         0.4872
    107   1.49879     0.00780342         0.4632
    108   1.49887     0.00773186         0.4592
    109   1.49923     0.00766997          0.484
    110   1.49872     0.00761806         0.4896
    111   1.49929     0.00757147          0.496
    112   1.49855      0.0075409         0.4764
    113   1.49948     0.00753283         0.4824
    114   1.49903     0.00748057         0.4676
    115   1.49943     0.00742644         0.4928
    116   1.50063     0.00746047         0.4976
    117   1.50049      0.0073983          0.484
    118    1.5003     0.00733831         0.4736
    119   1.49978     0.00729571         0.4796
    120   1.49992      0.0072365         0.4916
