# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
      0   10.5107              0         0.5228
      1   5.99271        4.51795         0.4668
      2   4.52097        2.99499         0.4812
      3   3.77128        2.24656          0.456
      4    3.3205        1.79761         0.4692
      5   3.00622        1.50101         0.4932
      6   2.79873        1.28545         0.4816
      7   2.63693        1.12493          0.464
      8   2.53672       0.997139         0.5152
      9    2.4317       0.898031         0.4836
     10    2.3683        0.81477         0.5116
     11   2.29145       0.747739         0.4892
     12   2.22343       0.691176         0.4628
     13   2.16105       0.642938          0.466
     14   2.11484       0.600323         0.4652
     15   2.07544       0.562931         0.4796
     16   2.03987       0.529977         0.4492
     17   2.01916       0.500096         0.4884
     18   1.99273       0.473781         0.4772
     19   1.96921       0.450083         0.4736
     20   1.94715       0.428682          0.488
     21   1.92813       0.409175         0.4796
     22   1.91438       0.391222         0.4984
     23   1.89929        0.37487         0.4808
     24   1.87905       0.360132         0.4636
     25   1.86271       0.346389         0.4708
     26   1.84809       0.333634         0.4608
     27   1.83302       0.321851          0.462
     28   1.81948       0.310849         0.4704
     29   1.81178       0.300408         0.4796
     30   1.80378       0.290666         0.4828
     31   1.79713       0.281514         0.4796
     32   1.78618        0.27307         0.4532
     33   1.77506        0.26515          0.464
     34   1.76564       0.257635          0.484
     35   1.75802       0.250492          0.472
     36   1.75157       0.243713         0.4664
     37   1.74317       0.237362         0.4756
     38   1.73529        0.23133           0.47
     39   1.72976        0.22554         0.4756
     40   1.72604       0.220002         0.4772
     41   1.72141        0.21475         0.4712
     42   1.71529       0.209786         0.4648
     43   1.70756       0.205108         0.4752
     44   1.69986       0.200646         0.4376
     45   1.69433       0.196314         0.4848
     46   1.69116       0.192117         0.4852
     47   1.68726       0.188113         0.4892
     48   1.68333       0.184276         0.4844
     49   1.67954       0.180592         0.4624
     50   1.67498       0.177075         0.4772
     51   1.67141       0.173673         0.4648
     52    1.6662       0.170444         0.4752
     53   1.66358       0.167278         0.5024
     54   1.65998       0.164248         0.4612
     55   1.65566       0.161346         0.4932
     56   1.65186       0.158536          0.472
     57   1.64933       0.155799         0.4552
     58   1.64606       0.153171         0.4872
     59   1.64437       0.150606         0.4764
     60   1.64133       0.148147         0.4816
     61   1.63905       0.145756         0.4668
     62   1.63561       0.143465         0.4744
     63   1.63301       0.141229         0.4792
     64   1.63167       0.139046         0.4888
     65    1.6279       0.136975         0.4656
     66   1.62679        0.13492         0.4996
     67   1.62379       0.132955         0.4688
     68   1.62234       0.131022          0.484
     69   1.62012       0.129156         0.4676
     70    1.6173       0.127355         0.4688
     71   1.61668       0.125575         0.4792
     72   1.61408        0.12387         0.4724
     73   1.61224       0.122199         0.4608
     74   1.60939       0.120592         0.4624
     75    1.6091       0.118995         0.5028
     76   1.60732       0.117453         0.4716
     77   1.60666       0.115939          0.472
     78   1.60643       0.114462         0.4668
     79   1.60379       0.113053         0.4764
     80   1.60311       0.111651         0.4904
     81   1.60179       0.110289         0.4676
     82   1.60089       0.108956         0.4844
     83   1.59892       0.107669         0.4712
     84   1.59804       0.106398         0.4852
     85   1.59898       0.105158          0.494
     86   1.59821       0.103945         0.4992
     87   1.59737        0.10276         0.4684
     88    1.5956       0.101615         0.4668
     89   1.59342       0.100503         0.4688
     90   1.59246       0.099397         0.4888
     91   1.59029      0.0983347         0.4636
     92   1.58926       0.097277         0.4812
     93   1.58857       0.096239           0.47
     94   1.58923      0.0952229          0.506
     95   1.58825      0.0942309         0.4664
     96   1.58565      0.0932906          0.446
     97   1.58482      0.0923375         0.4872
     98   1.58427      0.0914017          0.488
     99   1.58383      0.0904842         0.4812
    100   1.58482      0.0895893            0.5
    101   1.58494      0.0887067         0.4864
    102   1.58368      0.0878502         0.4792
    103   1.58171      0.0870237         0.4512
    104   1.58053       0.086199         0.4672
    105   1.57922       0.085392         0.4752
    106   1.57907      0.0845903         0.4632
    107   1.57849      0.0838054          0.496
    108   1.57791       0.083035         0.4856
    109   1.57686      0.0822834         0.4684
    110   1.57614      0.0815419          0.494
    111   1.57629      0.0808107         0.4732
    112   1.57571      0.0800945         0.4568
    113   1.57488      0.0793931         0.4632
    114   1.57475      0.0786998         0.4904
    115   1.57459      0.0780186         0.4912
    116   1.57309      0.0773634         0.4604
    117   1.57229      0.0767091          0.478
    118   1.57118      0.0760698         0.4664
    119   1.56998      0.0754429         0.4672
    120   1.56999      0.0748168         0.4712
    121   1.56852      0.0742156         0.4776
    122   1.56745      0.0736175          0.478
    123   1.56748      0.0730214         0.4776
    124    1.5669      0.0724372         0.4832
    125   1.56841      0.0718757         0.4952
    126   1.56752       0.071313           0.46
    127   1.56751      0.0707537         0.4732
    128   1.56781      0.0702037          0.482
    129   1.56708      0.0696654         0.4856
    130   1.56733       0.069132           0.47
    131   1.56641      0.0686125         0.4972
    132   1.56548       0.068101          0.472
    133   1.56454      0.0675973         0.4792
    134   1.56394      0.0670974          0.476
    135   1.56411      0.0666024          0.492
    136   1.56273      0.0661289         0.4696
