# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
      0   5.49228              0         0.5244
      1   5.18284       0.309431          0.508
      2   5.12746       0.187038         0.5172
      3   5.05699       0.149861         0.4976
      4   5.01251        0.12431         0.5112
      5   4.99691       0.102691         0.5076
      6    5.0096      0.0877126          0.516
      7   5.02725      0.0779843         0.5232
      8   5.04556      0.0711705          0.512
      9    5.0328      0.0649224         0.5224
     10   5.02099      0.0599009         0.5152
     11   5.02452      0.0547954         0.5116
     12   5.04715       0.055252          0.528
     13   5.04661      0.0511562         0.5024
     14   5.05485      0.0483308         0.5328
     15   5.04032      0.0474859         0.5024
     16   5.04877      0.0453978         0.5084
     17   5.04824      0.0428047         0.5392
     18   5.05868      0.0418126         0.5156
     19   5.06392       0.040012          0.536
     20   5.05095      0.0402086         0.5136
     21   5.05197      0.0383509         0.5168
     22   5.05237      0.0366478         0.5208
     23   5.06676      0.0379243          0.532
     24   5.05929      0.0371348         0.5364
     25   5.05053      0.0367385         0.4944
     26   5.04758      0.0354742          0.514
     27   5.04947      0.0342358         0.5136
     28   5.05977      0.0346016          0.526
     29   5.05428      0.0338749         0.5056
     30   5.04422      0.0342744         0.5236
     31   5.03672      0.0340223         0.4808
     32   5.03188      0.0333299         0.5084
     33   5.03222      0.0323365         0.5096
     34   5.02466      0.0322945         0.5184
     35   5.03421      0.0328045         0.5404
     36   5.03353      0.0319129         0.5216
     37   5.03116      0.0311522         0.5096
     38   5.02925      0.0304025         0.5196
     39     5.021      0.0307593         0.5044
     40     5.013      0.0310504          0.494
     41   5.00893       0.030573         0.5028
     42   5.01752      0.0310635         0.5268
     43   5.00974      0.0313312           0.49
     44   5.01237      0.0307399         0.5036
     45   5.01346      0.0300841         0.5096
     46   5.00962      0.0296864         0.5112
     47   5.00626      0.0292549         0.5292
     48   5.00875      0.0287595          0.534
     49   5.01865      0.0298661         0.5376
     50   5.01054      0.0303773          0.512
     51   5.01221      0.0298342         0.5092
     52   5.00805      0.0295607         0.4824
     53    5.0096      0.0290496         0.5092
     54   5.00453      0.0289641         0.5124
     55   5.00436      0.0284427         0.5304
     56   5.00154       0.028081          0.522
     57   4.99966      0.0276566         0.5132
     58   4.99837      0.0272147         0.5116
     59   5.00316      0.0271829         0.5372
     60   5.00216      0.0267524         0.5176
     61   4.99881      0.0265295         0.5244
     62   4.99412      0.0265227            0.5
     63   4.99273      0.0261418         0.5076
     64   4.99003      0.0258784          0.498
     65   4.98813      0.0255536         0.5124
     66     4.993      0.0256363         0.5196
     67   4.99281      0.0252572         0.5092
     68    4.9937      0.0249044         0.5304
     69   4.99178      0.0246212         0.5136
     70   4.98835      0.0245135          0.532
     71   4.98893      0.0241776         0.5076
     72   4.99373      0.0243229         0.5332
     73   4.99719      0.0242406         0.5244
     74   5.00201      0.0243956         0.5128
     75   5.00328      0.0241057         0.5152
     76   5.00556      0.0238998         0.5164
     77   5.00697      0.0236333          0.522
     78   5.00568      0.0233678          0.514
     79   5.00302      0.0232263         0.5124
     80   5.00051      0.0230745         0.5124
     81   5.00165      0.0228199         0.5192
     82   5.00393      0.0226584         0.5188
     83    5.0052      0.0224227         0.5108
     84   5.00868      0.0224284         0.5236
     85   5.00901      0.0221686         0.5168
     86   5.00708      0.0219971         0.5184
     87   5.00475      0.0218696         0.5056
     88   5.00171      0.0218359         0.5036
     89    5.0014      0.0215941          0.514
     90   4.99859      0.0215404          0.516
     91   4.99902      0.0213093         0.5112
     92   5.00145      0.0212184           0.51
     93   4.99856      0.0211885         0.5164
     94   4.99936      0.0209794          0.522
     95   4.99971      0.0207627         0.5116
     96   4.99991      0.0205485         0.5032
     97   5.00015      0.0203391         0.5208
     98   4.99541      0.0206813         0.5012
     99   4.99246      0.0206853         0.4836
    100   4.99002      0.0206251         0.5064
    101   4.99172       0.020493          0.526
    102   4.99191      0.0202939         0.5132
    103   4.99204      0.0200983         0.5204
    104   4.99305      0.0199314         0.5144
    105    4.9913      0.0198199         0.5156
    106   4.98979      0.0196918         0.5032
    107   4.99149      0.0195826         0.5108
    108   4.99179      0.0194045          0.522
    109   4.99408       0.019363         0.4992
    110   4.99139      0.0193755           0.52
    111   4.98869      0.0193905         0.4996
    112   4.98714      0.0192807         0.5128
    113   4.98924      0.0192258         0.5132
    114   4.98874      0.0190645         0.5152
    115   4.98657      0.0190232         0.5056
    116   4.98811      0.0189222         0.5328
    117   4.98953      0.0188154         0.5308
    118   4.99036       0.018675          0.512
    119   4.98873      0.0185908         0.5132
    120   4.98808      0.0184478         0.5096
    121   4.98949      0.0183498         0.5176
    122    4.9894      0.0182002          0.506
    123   4.98846      0.0180774         0.5028
    124   4.98722      0.0179748         0.5028
    125   4.98895      0.0179157         0.5336
    126   4.99016      0.0178152         0.5212
    127   4.98952       0.017687         0.5168
    128   4.99039      0.0175706         0.5256
    129   4.99162      0.0174781         0.5076
    130   4.99165      0.0173442         0.5132
    131   4.99411      0.0173865         0.5144
    132    4.9954      0.0173037         0.5028
