# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
      0   8.69898              0         0.5044
      1   6.85973        1.83925          0.496
      2   6.30749        1.19691         0.4844
      3   6.11601        0.86773         0.4812
      4   5.86433       0.717717          0.492
      5   5.70486       0.607324         0.5112
      6   5.58019       0.528205         0.4824
      7   5.50381       0.463772         0.4964
      8   5.49005        0.40924         0.5072
      9   5.44084       0.369329         0.5032
     10   5.44054        0.33407         0.5188
     11   5.40715       0.306786          0.494
     12   5.37112       0.284492         0.4972
     13   5.31858       0.268579         0.5028
     14   5.29844       0.250843         0.4892
     15   5.28537       0.235006         0.5064
     16   5.28371       0.220756         0.4944
     17   5.26328       0.209131          0.496
     18   5.24813       0.198397         0.5084
     19   5.22887       0.189199         0.4908
     20   5.22209       0.180092         0.5052
     21   5.21666       0.171796         0.5064
     22   5.21115        0.16425         0.5096
     23   5.20447       0.157399         0.5036
     24   5.18408       0.152342         0.4988
     25   5.17404        0.14671          0.496
     26   5.16346       0.141567         0.4884
     27    5.1478       0.137314         0.4884
     28   5.15062       0.132524         0.5104
     29   5.15819       0.128254         0.5116
     30   5.15637       0.124061         0.5032
     31    5.1599       0.120174         0.5228
     32    5.1572       0.116507         0.5008
     33   5.14509       0.113674         0.5072
     34    5.1408       0.110462         0.5136
     35   5.14136       0.107351          0.492
     36   5.14272       0.104419           0.48
     37   5.13551       0.101889         0.5016
     38   5.13066      0.0993603         0.4908
     39   5.12599      0.0969571         0.4912
     40   5.12384      0.0945873         0.4932
     41   5.12754       0.092382         0.5016
     42   5.12362      0.0902931         0.5092
     43   5.12006       0.088289         0.5128
     44   5.11606      0.0863975         0.5044
     45   5.10865      0.0848221         0.4888
     46   5.10559      0.0830544         0.4968
     47   5.10892      0.0813739         0.5192
     48    5.1007      0.0801183         0.4896
     49   5.10044         0.0785         0.5024
     50   5.09518      0.0771246         0.4888
     51   5.08738      0.0760286         0.4704
     52   5.08535      0.0746078         0.5124
     53   5.08729      0.0732388          0.508
     54   5.08771       0.071896         0.4992
     55   5.08247      0.0707946         0.5044
     56   5.08109      0.0695551         0.4976
     57   5.08203      0.0683518         0.4924
     58   5.07511       0.067539         0.5004
     59   5.07958      0.0665543          0.502
     60   5.07561      0.0655749         0.4924
     61   5.07514      0.0645103          0.482
     62   5.07141      0.0635874            0.5
     63   5.07397      0.0626382         0.5072
     64   5.07448      0.0616692          0.502
     65   5.07081      0.0608385         0.4932
     66   5.06968      0.0599342         0.5132
     67   5.06643      0.0591358         0.4828
     68   5.06341      0.0583508         0.5024
     69   5.06053      0.0575833         0.4772
     70   5.05718      0.0568647         0.4932
     71   5.05649      0.0560737         0.5052
     72   5.05089      0.0555829         0.4936
     73   5.04714      0.0549546         0.4828
     74   5.04585      0.0542323         0.4996
     75   5.05099      0.0537603         0.5144
     76   5.05023      0.0530629         0.5072
     77   5.04927      0.0523871          0.488
     78   5.05312      0.0518631         0.4944
     79   5.05193      0.0512246          0.492
     80   5.05145      0.0505905          0.494
     81   5.05292      0.0499916         0.4984
     82   5.05402      0.0493978         0.4968
     83    5.0509      0.0489058         0.4956
     84    5.0533      0.0483862         0.5124
     85   5.05327      0.0478203          0.492
     86    5.0563      0.0473648         0.5124
     87   5.05844      0.0468722           0.49
     88   5.05643       0.046386         0.4892
     89    5.0531      0.0459884          0.488
     90   5.05292      0.0454806          0.486
     91    5.0534      0.0449861         0.4988
     92   5.05494      0.0445262         0.5152
     93   5.05421       0.044056         0.4812
     94   5.05287      0.0436105          0.514
     95   5.05419      0.0431742          0.486
     96   5.05161      0.0428046         0.4788
     97   5.05465      0.0424744         0.4896
     98   5.05402       0.042048         0.5092
     99   5.05144      0.0417051         0.4928
    100   5.05369      0.0413517         0.5072
    101   5.05379      0.0409444         0.4968
    102   5.05357      0.0405455         0.5124
    103   5.05642      0.0402549         0.5068
    104   5.05503      0.0398939         0.5004
    105   5.05309      0.0395634          0.506
    106   5.05467      0.0392236         0.5132
    107    5.0522      0.0389372         0.5148
    108   5.05207      0.0385785         0.4944
    109   5.05029      0.0382675         0.4948
    110   5.04841      0.0379676         0.5112
    111   5.05034      0.0376761          0.496
    112   5.05464       0.037589         0.5124
    113   5.05455      0.0372579          0.508
    114   5.05722       0.037029         0.5108
    115   5.05801      0.0367169         0.5208
    116   5.05893      0.0364134         0.5068
    117    5.0591      0.0361039         0.4892
    118   5.05675      0.0358761         0.4832
    119   5.05719      0.0355786         0.5028
    120   5.05828      0.0353003         0.4856
    121   5.05614       0.035075         0.4936
    122    5.0563      0.0347891          0.496
    123   5.05762      0.0345323         0.4952
    124   5.05503      0.0343521         0.4876
    125   5.05708      0.0341399         0.4972
    126   5.05831      0.0338923         0.4964
    127   5.05667      0.0336665         0.4828
    128   5.05645      0.0334053         0.5044
    129   5.05435      0.0332133         0.4996
    130    5.0544      0.0329588          0.498
    131   5.05216      0.0327846         0.5028
