#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.88784     0.88784           0
           2    0.887052    0.887446   0.0002786
           3    0.931444    0.902112   0.0119762
           4    0.924572    0.907727    0.010214
           5    0.945184    0.915218   0.0105672
           6    0.953008    0.921517   0.0105167
           7    0.905476    0.919225  0.00926064
           8    0.974564    0.926143   0.0103696
           9     0.88942    0.922062  0.00998796
          10     0.89898    0.919754  0.00925203
          11    0.936348    0.921263  0.00853304
          12    0.795812    0.910808    0.012703
          13    0.969476    0.915321   0.0125018
          14    0.932308    0.916535   0.0116675
          15    0.914608    0.916406   0.0108904
          16    0.553156    0.893703   0.0242375
          17    0.927668    0.895701    0.022894
          18    0.924144    0.897281   0.0216766
          19      0.9297    0.898987   0.0206027
          20    0.924724    0.900274   0.0196127
          21    0.864228    0.898558   0.0187538
          22    0.933696    0.900155   0.0179692
          23     0.94118    0.901939   0.0172762
          24     0.95828    0.904286   0.0167151
          25    0.952608    0.906219   0.0161579
          26    0.934512    0.907307    0.015573
          27    0.918412    0.907719   0.0150017
          28    0.961448    0.909637   0.0145881
          29    0.934596    0.910498   0.0141104
          30    0.796688    0.906704   0.0141409
