#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     61.7961     61.7961           0
           2     69.8232     65.8097       2.838
           3     70.8611     67.4935     2.33876
           4      70.802     68.3206      1.8947
           5     74.5502     69.5665     1.88133
           6     69.0408     69.4789     1.56981
           7     78.9945     70.8383     1.84239
           8     75.0813     71.3686     1.68671
           9     64.5379     70.6097      1.6613
          10     72.8707     70.8358     1.51048
          11     68.1021     70.5873     1.39346
          12     82.9211     71.6151     1.61244
          13     82.5399     72.4554      1.6933
          14       76.07     72.7136     1.59191
          15     79.5862     73.1718     1.55031
          16     88.9457     74.1577     1.73886
          17     83.8092     74.7254     1.72677
          18     67.1719     74.3058     1.68105
          19     83.5432      74.792      1.6614
          20     77.4488     74.9248     1.58363
          21     75.0954     74.9329     1.50824
          22     79.8717     75.1574     1.45629
          23     76.3451      75.209     1.39389
          24     78.3542     75.3401     1.34196
          25     78.2482     75.4564     1.29331
          26      81.652     75.6947     1.26533
          27     71.2979     75.5319      1.2289
          28     80.8004       75.72     1.19933
          29     86.6654     76.0975     1.21591
          30     72.2212     75.9682     1.18223
