#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.473125    0.473125           0
           2    0.429552    0.451339   0.0154056
           3    0.388427    0.430368   0.0199664
           4    0.440881    0.432996   0.0151467
           5    0.462772    0.438951   0.0132364
           6    0.471385    0.444357   0.0120838
           7    0.467011    0.447593   0.0107822
           8    0.425744    0.444862  0.00977423
           9    0.422552    0.442383  0.00899707
          10    0.431597    0.441304  0.00816176
          11    0.447055    0.441827   0.0074365
          12    0.432809    0.441076  0.00685467
          13    0.428255    0.440089  0.00639794
          14    0.407661    0.437773   0.0063464
          15    0.445746    0.438305  0.00594552
          16    0.423904    0.437405  0.00564164
          17    0.471261    0.439396  0.00565036
          18    0.436703    0.439247  0.00533843
          19    0.427026    0.438603  0.00509606
          20    0.423844    0.437865   0.0048944
          21    0.417692    0.436905  0.00475468
          22    0.452696    0.437623  0.00459241
          23    0.444198    0.437908  0.00440163
          24    0.441347    0.438052  0.00422056
          25    0.415009     0.43713  0.00415116
          26    0.433202    0.436979  0.00399425
          27    0.416011    0.436202  0.00392108
          28    0.432909    0.436085  0.00378281
          29     0.43273    0.435969  0.00365413
          30    0.475293     0.43728  0.00376009
