#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.61408    -0.61408           0
           2    -0.61592      -0.615 0.000650538
           3   -0.612808   -0.614269 0.000737567
           4    -0.61344   -0.614062 0.000581587
           5    -0.61336   -0.613922 0.000481918
           6   -0.614504   -0.614019 0.000411258
           7   -0.614616   -0.614104 0.000361251
           8   -0.615232   -0.614245 0.000342508
           9   -0.616088    -0.61445 0.000360507
          10   -0.615184   -0.614523 0.000331849
          11   -0.614728   -0.614542 0.000302203
          12     -0.6144    -0.61453  0.00027725
          13   -0.616376   -0.614672 0.000290017
          14   -0.613312   -0.614575 0.000285107
          15   -0.611192   -0.614349 0.000343917
          16   -0.614712   -0.614372 0.000323169
          17   -0.612688   -0.614273  0.00031898
          18    -0.61148   -0.614118  0.00033689
          19     -0.6144   -0.614133 0.000319486
          20   -0.611568   -0.614004 0.000328239
          21   -0.617376   -0.614165 0.000349676
          22   -0.613792   -0.614148 0.000334193
          23   -0.615768   -0.614218 0.000327001
          24    -0.61548   -0.614271 0.000317572
          25   -0.613016   -0.614221 0.000308812
          26    -0.61428   -0.614223 0.000296943
          27   -0.610496   -0.614085 0.000316408
          28   -0.608768   -0.613895 0.000357579
          29   -0.611336   -0.613807 0.000355971
          30   -0.612552   -0.613765 0.000346554
