#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.931968    0.931968           0
           2    0.912268    0.922118    0.006965
           3    0.922592    0.922276  0.00464513
           4    0.906488    0.918329   0.0048807
           5     0.87414    0.909491  0.00881652
           6     0.77078    0.886373   0.0223466
           7    0.775288    0.870503     0.02414
           8    0.937424    0.878869   0.0225253
           9    0.776652    0.867511   0.0227059
          10    0.892504     0.87001   0.0205724
          11     0.95172    0.877439   0.0199983
          12    0.757012    0.867403   0.0206972
          13    0.813048    0.863222   0.0195229
          14    0.907852     0.86641   0.0183868
          15    0.836284    0.864401   0.0172704
          16    0.956612    0.870165   0.0171256
          17    0.957884    0.875324   0.0168776
          18    0.886912    0.875968   0.0159523
          19     0.92364    0.878477   0.0153087
          20    0.883064    0.878707    0.014545
          21     0.91022    0.880207   0.0139296
          22    0.886224    0.880481   0.0132991
          23    0.925112    0.882421   0.0128617
          24    0.930972    0.884444   0.0124838
          25    0.902968    0.885185   0.0120065
          26     0.89958    0.885739   0.0115574
          27    0.957808    0.888408   0.0114335
          28    0.919156    0.889506   0.0110777
          29    0.794136    0.886218   0.0111732
          30      0.9511     0.88838   0.0110081
