#   N_BLOCK:  ACCEPTANCE:
           1    0.283986
           2    0.279677
           3    0.278217
           4    0.278353
           5     0.27873
           6    0.278624
           7    0.278912
           8     0.27883
           9    0.278932
          10    0.278812
          11     0.27908
          12    0.279113
          13    0.279109
          14    0.279064
          15    0.279197
          16    0.279374
          17    0.279538
          18    0.279599
          19    0.279607
          20    0.279585
          21    0.279538
          22    0.279525
          23    0.279448
          24    0.279479
          25    0.279301
          26    0.279286
          27    0.279411
          28    0.279361
          29    0.279244
          30    0.279293
