#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.389331    0.389331           0
           2    0.407181    0.398256  0.00631089
           3    0.376973    0.391162  0.00715924
           4     0.41161    0.396274  0.00695911
           5    0.402851    0.397589  0.00569024
           6    0.395086    0.397172  0.00475713
           7    0.400974    0.397715  0.00410843
           8    0.384534    0.396068  0.00391132
           9    0.392442    0.395665  0.00349742
          10    0.392957    0.395394  0.00315814
          11    0.408306    0.396568  0.00308148
          12     0.39911     0.39678  0.00283196
          13    0.382219     0.39566  0.00282695
          14    0.405805    0.396384  0.00271631
          15    0.399842    0.396615  0.00254499
          16    0.388303    0.396095  0.00243836
          17    0.411497    0.397001  0.00245747
          18    0.386469    0.396416  0.00238959
          19    0.396218    0.396406  0.00226385
          20    0.383372    0.395754  0.00224249
          21    0.395902    0.395761  0.00213572
          22    0.398095    0.395867  0.00204127
          23    0.403782    0.396211  0.00198131
          24    0.395372    0.396176  0.00189907
          25    0.399804    0.396321  0.00182864
          26    0.395879    0.396304  0.00175839
          27    0.393952    0.396217  0.00169542
          28    0.394421    0.396153  0.00163608
          29    0.397292    0.396192  0.00158014
          30    0.390557    0.396005  0.00153859
