#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.682392   -0.682392           0
           2   -0.687336   -0.684864  0.00174797
           3    -0.68396   -0.684563    0.001191
           4   -0.677816   -0.682876  0.00171217
           5   -0.681056   -0.682512   0.0014079
           6   -0.683008   -0.682595  0.00117567
           7   -0.683304   -0.682696  0.00101208
           8    -0.68324   -0.682764 0.000887849
           9   -0.682912    -0.68278 0.000789351
          10    -0.68324   -0.682826 0.000711753
          11   -0.682664   -0.682812 0.000647201
          12   -0.679992   -0.682577 0.000634489
          13   -0.682104    -0.68254 0.000586723
          14   -0.684456   -0.682677 0.000560544
          15   -0.681904   -0.682626 0.000525538
          16   -0.684856   -0.682765 0.000510846
          17   -0.680688   -0.682643 0.000495191
          18   -0.680528   -0.682525 0.000481416
          19   -0.684728   -0.682641  0.00046983
          20   -0.684512   -0.682735 0.000455554
          21      -0.684   -0.682795 0.000437827
          22    -0.68264   -0.682788 0.000417982
          23   -0.683848   -0.682834 0.000402342
          24    -0.68348   -0.682861 0.000386477
          25   -0.684456   -0.682925 0.000376247
          26   -0.684208   -0.682974 0.000364999
          27   -0.676848   -0.682747 0.000416068
          28   -0.683768   -0.682784 0.000402803
          29   -0.685736   -0.682886 0.000401571
          30   -0.683296   -0.682899 0.000388419
