#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.54007     1.54007           0
           2     1.49406     1.51707   0.0162649
           3     1.46724     1.50046   0.0173624
           4     1.46253     1.49098   0.0153947
           5      1.4886      1.4905   0.0123231
           6     1.51661     1.49485   0.0110105
           7     1.59761     1.50953   0.0165465
           8      1.4846     1.50642   0.0147688
           9     1.53383     1.50946   0.0134383
          10     1.50163     1.50868   0.0121173
          11     1.46527     1.50473   0.0116406
          12      1.4504      1.5002   0.0115173
          13     1.56757     1.50539   0.0117395
          14     1.48311      1.5038   0.0110083
          15     1.51013     1.50422   0.0102825
          16     1.51058     1.50462  0.00964754
          17     1.53076     1.50615  0.00920179
          18     1.54166     1.50813  0.00889954
          19     1.51591     1.50854  0.00844057
          20     1.46896     1.50656  0.00824723
          21     1.53434     1.50788  0.00795992
          22     1.47343     1.50631  0.00775063
          23     1.52122     1.50696  0.00744069
          24     1.53996     1.50834  0.00725657
          25     1.57956     1.51119  0.00750471
          26     1.52052     1.51154  0.00722465
          27     1.58282     1.51418  0.00742372
          28      1.5272     1.51465  0.00717311
          29     1.45789     1.51269  0.00718786
          30     1.48719     1.51184  0.00699834
