#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1         1.3         1.3           0
           2         1.7         1.5    0.141421
           3         4.5         2.5    0.821922
           4        3.06        2.64    0.628252
           5        4.58       3.028    0.610773
           6        5.78     3.48667    0.659068
           7         2.9     3.40286    0.570219
           8        3.38         3.4    0.498949
           9         2.9     3.34444    0.446592
          10        3.38       3.348    0.401947
          11        3.06     3.32182    0.366258
          12        3.38     3.32667    0.335769
          13        3.46     3.33692    0.310097
          14        1.62     3.21429    0.311254
          15        1.06     3.07067    0.321938
          16         0.9       2.935    0.329163
          17        3.46     2.96588    0.311246
          18        3.46     2.99333    0.295163
          19        2.02     2.94211    0.284039
          20        3.94       2.992    0.274184
          21         2.5     2.96857    0.262127
          22         4.5     3.03818     0.25929
          23         2.5     3.01478     0.24907
          24        3.46     3.03333    0.239382
          25         2.5       3.012    0.230755
          26         1.3     2.94615    0.231084
          27        1.62     2.89704    0.227685
          28        2.02     2.86571    0.221698
          29         2.5      2.8531    0.214411
          30        2.02     2.82533    0.209055
          31         2.5     2.81484    0.202574
          32        1.46      2.7725     0.20062
          33        0.98     2.71818     0.20176
          34        3.38     2.73765    0.196762
          35        3.06     2.74686    0.191356
          36        3.94        2.78    0.188889
          37         2.9     2.78324    0.183812
          38        3.94     2.81368    0.181478
          39        3.94     2.84256    0.179108
          40        3.94        2.87    0.176719
          41        2.18     2.85317    0.173208
          42        5.78     2.92286    0.182565
          43         2.9     2.92233     0.17832
          44        2.18     2.90545    0.175064
          45         2.9     2.90533    0.171173
          46        3.06      2.9087    0.167485
          47        3.38     2.91872    0.164222
          48         2.9     2.91833    0.160801
          49         4.5     2.95061    0.160726
          50        3.46      2.9608    0.157834
          51        2.18     2.94549     0.15548
          52        3.94     2.96462    0.153662
          53        3.38     2.97245    0.150962
          54        3.38        2.98    0.148355
          55        3.38     2.98727    0.145836
          56         1.3     2.95714    0.146311
          57        1.06     2.92386    0.147482
          58        2.02     2.90828     0.14576
          59        2.42         2.9    0.143524
          60        3.14       2.904    0.141188
          61         2.9     2.90393    0.138873
          62         1.7     2.88452    0.137984
          63        0.74     2.85048     0.13993
          64        1.06      2.8225    0.140512
          65         1.7     2.80523    0.139408
          66         2.5     2.80061    0.137372
          67        2.02     2.78896    0.135815
          68         2.9     2.79059    0.133827
          69         2.5     2.78638    0.131954
          70        2.18     2.77771    0.130353
          71        3.06     2.78169    0.128578
          72         4.5     2.80556    0.128988
          73         3.7     2.81781    0.127801
          74         2.9     2.81892    0.126079
