#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1         0.5         0.5           0
           2        1.06        0.78     0.19799
           3        0.82    0.793333    0.132441
           4         1.3        0.92    0.147986
           5        0.16       0.768    0.180275
           6         2.9     1.12333    0.357473
           7        0.58     1.04571     0.31472
           8           0       0.915    0.301304
           9         1.7     1.00222    0.280167
          10         2.5       1.152     0.28943
          11        2.72     1.29455    0.296147
          12        0.82       1.255    0.274096
          13         0.4     1.18923    0.260783
          14        0.74     1.15714    0.244122
          15        0.74     1.12933    0.229425
          16           1     1.12125    0.215229
          17         0.8     1.10235    0.203396
          18        0.26     1.05556    0.197406
          19        0.04     1.00211    0.194118
          20        1.28       1.016    0.184909
          21        1.22     1.02571    0.176358
          22           1     1.02455    0.168346
          23        0.34    0.994783    0.163636
          24         0.1      0.9575    0.161009
          25        0.02        0.92    0.158876
          26        0.36    0.898462    0.154218
          27        0.82    0.895556    0.148534
          28        0.52    0.882143    0.143834
          29        0.16    0.857241    0.141013
          30        1.22    0.869333     0.13683
          31         1.7    0.896129    0.135014
          32         0.2    0.874375    0.132536
          33        1.46    0.892121    0.129702
          34         0.5    0.880588    0.126399
          35        0.08    0.857714    0.124841
          36        0.08    0.836111    0.123228
          37         0.1    0.816216    0.121493
          38        0.34    0.803684     0.11894
          39        0.34    0.791795    0.116483
          40         0.8       0.792    0.113571
          41        2.88    0.842927    0.121685
          42        3.86    0.914762    0.138376
          43        0.82    0.912558    0.135175
          44        1.04    0.915455    0.132134
          45        0.08    0.896889    0.130496
          46        0.26    0.883043    0.128391
          47         0.2    0.868511    0.126479
          48        0.58      0.8625    0.123987
          49         0.2     0.84898    0.122192
          50         0.2       0.836    0.120435
          51           0    0.819608    0.119184
          52        0.04    0.804615    0.117831
          53        0.82    0.804906    0.115608
          54         0.2    0.793704    0.114009
          55         0.9    0.795636    0.111952
          56         2.9    0.833214    0.116089
          57         0.9    0.834386    0.114058
          58         1.7     0.84931    0.113064
          59         3.2    0.889153    0.117959
          60        3.14    0.926667    0.121812
          61        1.44    0.935082    0.120105
          62        1.48    0.943871    0.118489
          63        0.98    0.944444     0.11661
          64        0.16    0.932187     0.11543
          65         0.4       0.924    0.113944
          66         0.9    0.923636    0.112219
          67        1.06    0.925672    0.110562
          68         0.8    0.923824    0.108952
          69         0.5    0.917681    0.107546
          70         0.5    0.911714    0.106175
          71         0.9    0.911549    0.104679
          72        1.22    0.915833    0.103313
          73        0.82    0.914521    0.101906
          74         0.2    0.904865    0.100986
          75        0.26    0.896267    0.100004
          76         0.2    0.887105   0.0991073
          77        0.34        0.88   0.0980746
          78         0.4    0.873846   0.0970101
          79        0.34    0.867089   0.0960172
          80         0.4     0.86125   0.0949943
          81         0.2    0.853086   0.0941717
          82         0.9    0.853659    0.093025
          83        0.18    0.845542   0.0922576
          84         0.1    0.836667   0.0915852
          85        0.32    0.830588   0.0907092
          86         0.2    0.823256   0.0899503
          87         0.1    0.814943   0.0892997
          88        0.64    0.812955   0.0883071
          89        0.34     0.80764   0.0874746
          90        0.16    0.800444   0.0867982
          91        0.52    0.797363    0.085899
          92         0.5     0.79413   0.0850261
          93        3.14    0.819355   0.0877738
          94        2.26    0.834681   0.0881679
          95        0.18    0.827789   0.0875087
          96        0.04    0.819583   0.0869811
          97        0.26    0.813814   0.0862755
          98         0.8    0.813673   0.0853952
          99        0.64    0.811919   0.0845507
         100        0.36      0.8074   0.0838258
         101        0.26     0.80198   0.0831709
         102         0.5     0.79902   0.0824082
         103         0.1    0.792233   0.0818871
         104        0.74    0.791731   0.0811012
         105        0.36    0.787619    0.080433
         106        0.02    0.780377   0.0799995
         107        2.12    0.792897   0.0802256
         108         0.2    0.787407   0.0796704
         109           4    0.816881   0.0842149
         110        1.94    0.827091   0.0840659
         111         0.2    0.821441   0.0834982
         112         0.5    0.818571    0.082802
         113           1    0.820177   0.0820848
         114        0.26    0.815263   0.0815117
         115         0.5    0.812522    0.080849
         116         2.5    0.827069   0.0814502
         117        1.22    0.830427   0.0808233
         118        1.48    0.835932   0.0803256
         119        0.08     0.82958   0.0799014
         120        1.22    0.832833   0.0793017
         121        0.26    0.828099   0.0787875
         122        2.12    0.838689   0.0788502
         123        0.36    0.834797   0.0783051
         124        2.98    0.852097   0.0795617
         125        2.02     0.86144   0.0794719
         126         0.2     0.85619   0.0790144
         127        0.02    0.849606   0.0786661
         128         0.5    0.846875   0.0780989
         129         0.1    0.841085   0.0777078
         130        0.08    0.835231   0.0773302
         131        0.34     0.83145   0.0768323
         132        1.78    0.838636   0.0765855
         133        1.94    0.846917   0.0764561
         134         0.2     0.84209   0.0760378
         135        0.02       0.836    0.075718
         136        0.08    0.830441    0.075365
         137         0.9    0.830949   0.0748166
         138        0.26    0.826812   0.0743888
         139        0.58    0.825036   0.0738748
         140        1.78    0.831857   0.0736614
         141        4.16    0.855461   0.0768277
