#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.32       -0.32           0
           2       -0.36       -0.34   0.0141421
           3        -0.6   -0.426667   0.0713883
           4       -0.48       -0.44   0.0547723
           5        -0.6      -0.472   0.0523374
           6       -0.68   -0.506667    0.053886
           7       -0.48   -0.502857   0.0463225
           8       -0.52      -0.505   0.0405817
           9       -0.48   -0.502222   0.0361676
          10       -0.52      -0.504   0.0325945
          11       -0.48   -0.501818   0.0297043
          12       -0.52   -0.503333   0.0272675
          13       -0.52   -0.504615   0.0252002
          14       -0.36   -0.494286   0.0254293
          15       -0.28       -0.48    0.027455
          16       -0.24      -0.465    0.029554
          17       -0.52   -0.468235    0.027992
          18       -0.52   -0.471111   0.0265842
          19        -0.4   -0.467368   0.0254472
          20       -0.56      -0.472   0.0245927
          21       -0.44   -0.470476   0.0234688
          22        -0.6   -0.476364   0.0231287
          23       -0.44   -0.474783   0.0221771
          24       -0.52   -0.476667   0.0213329
          25       -0.44     -0.4752   0.0205299
          26       -0.32   -0.469231   0.0205898
          27       -0.36   -0.465185   0.0202208
          28        -0.4   -0.462857   0.0196322
          29       -0.44   -0.462069    0.018971
          30        -0.4       -0.46   0.0184511
          31       -0.44   -0.459355   0.0178672
          32       -0.32      -0.455   0.0178317
          33       -0.28   -0.449697   0.0180627
          34       -0.52   -0.451765   0.0176494
          35       -0.48   -0.452571   0.0171635
          36       -0.56   -0.455556   0.0169442
          37       -0.48   -0.456216   0.0164991
          38       -0.56   -0.458947   0.0162894
          39       -0.56   -0.461538   0.0160765
          40       -0.56      -0.464   0.0158619
          41        -0.4   -0.462439   0.0155516
          42       -0.68   -0.467619   0.0160209
          43       -0.48   -0.467907   0.0156509
          44        -0.4   -0.466364   0.0153711
          45       -0.48   -0.466667   0.0150325
          46       -0.48   -0.466957   0.0147085
          47       -0.52   -0.468085   0.0144388
          48       -0.48   -0.468333   0.0141401
          49        -0.6    -0.47102   0.0141045
          50       -0.52      -0.472   0.0138564
          51        -0.4   -0.470588   0.0136564
          52       -0.56   -0.472308   0.0135016
          53       -0.52   -0.473208   0.0132768
          54       -0.52   -0.474074   0.0130592
          55       -0.52   -0.474909   0.0128484
          56       -0.32   -0.472143   0.0129134
          57       -0.28   -0.468772   0.0131194
