#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1        2.02        2.02           0
           2         2.9        2.46    0.311127
           3        5.86     3.59333    0.948324
           4        3.06        3.46    0.720555
           5        2.42       3.252    0.605722
           6         2.9     3.19333    0.507601
           7        5.86     3.57429    0.560083
           8        3.46        3.56    0.490255
           9        0.98     3.27333     0.51279
          10         1.3       3.076    0.498035
          11        3.94     3.15455    0.458911
          12         1.7     3.03333    0.436382
          13        2.02     2.95538    0.409717
          14         2.5     2.92286    0.381741
          15         2.5     2.89467    0.357331
          16        0.74        2.76    0.359479
          17         1.7     2.69765    0.343698
          18         4.5     2.79778    0.338876
          19        1.62     2.73579    0.326661
          20        3.94       2.796    0.315828
          21         2.5      2.7819    0.301103
          22         2.5     2.76909    0.287689
          23        2.18     2.74348    0.276318
          24         2.5     2.73333    0.264991
          25         2.9        2.74    0.254475
          26        3.06     2.75231    0.244985
          27        1.46     2.70444    0.240542
          28        3.38     2.72857    0.233158
          29        0.58     2.65448    0.236597
          30        2.02     2.63333    0.229654
          31        3.38     2.65742    0.223505
          32        2.02      2.6375    0.217406
          33        0.34     2.56788    0.221686
          34        2.42     2.56353    0.215208
          35        3.46     2.58914    0.210578
          36        3.94     2.62667    0.208045
          37        2.18     2.61459    0.202772
          38         2.9     2.62211    0.197575
          39        3.46     2.64359    0.193674
          40        3.46       2.664    0.189904
          41         2.5        2.66    0.185314
          42        1.62     2.63524    0.182549
          43        3.06     2.64512    0.178571
          44         1.3     2.61455     0.17711
          45        3.46     2.63333    0.174168
          46         1.3     2.60435    0.172777
          47        2.42     2.60043    0.169145
          48        3.06        2.61    0.165892
          49        3.46     2.62735    0.163411
          50         2.5      2.6248    0.160162
          51        3.38     2.63961    0.157705
          52         4.5     2.67538    0.158679
          53         2.9     2.67962    0.155741
          54        3.46     2.69407    0.153526
          55         2.9     2.69782     0.15078
          56         1.7        2.68    0.149137
          57         2.9     2.68386     0.14657
          58        2.02     2.67241     0.14449
          59         2.9     2.67627    0.142092
          60         1.3     2.65333    0.141563
          61         1.3     2.63115     0.14097
          62        2.02     2.62129    0.139041
          63         2.5     2.61937    0.136847
          64        2.18      2.6125    0.134881
          65         1.3     2.59231    0.134309
          66        3.06     2.59939    0.132461
          67        3.46     2.61224    0.131105
          68         2.9     2.61647    0.129245
          69         2.9     2.62058    0.127437
          70         2.9     2.62457    0.125679
          71        3.94      2.6431    0.125267
          72         2.9     2.64667    0.123578
          73        2.42     2.64356    0.121924
          74        4.58     2.66973    0.123053
          75         4.5     2.69413    0.123808
          76        3.94     2.71053     0.12326
          77         2.5     2.70779    0.121689
          78         2.5     2.70513    0.120158
          79         2.9     2.70759    0.118663
          80         0.9       2.685    0.119311
          81        2.18     2.67877    0.118001
          82         2.9     2.68146    0.116593
          83        2.42     2.67831    0.115231
          84        3.06     2.68286    0.113948
          85        5.14     2.71176    0.116217
          86        4.58     2.73349    0.116878
          87        2.02     2.72529    0.115822
          88        3.46     2.73364    0.114806
          89        2.42     2.73011    0.113571
          90        5.14     2.75689    0.115422
          91        2.02     2.74879    0.114437
          92         1.3     2.73304    0.114272
          93         4.5     2.75204    0.114612
          94        4.58     2.77149     0.11503
          95        3.46     2.77874    0.114048
          96        3.46     2.78583     0.11308
          97        2.02     2.77794     0.11219
          98        3.46      2.7849    0.111261
          99        3.38     2.79091    0.110299
         100         1.7        2.78    0.109734
         101        1.06     2.76297    0.109961
         102         1.7     2.75255    0.109376
         103        2.02     2.74544    0.108545
         104        2.02     2.73846    0.107725
         105        3.38     2.74457    0.106872
         106        2.02     2.73774    0.106082
         107         2.9     2.73925    0.105102
         108        1.62     2.72889    0.104638
         109         2.9     2.73046     0.10369
         110        1.46     2.71891    0.103389
         111         0.9     2.70252    0.103748
         112        1.62     2.69286    0.103271
         113        0.98      2.6777    0.103463
         114        2.42     2.67544     0.10258
         115        3.46     2.68226    0.101915
         116         2.9     2.68414    0.101054
         117        2.18     2.67983    0.100282
         118        3.94     2.69051   0.0999991
         119        2.02     2.68487   0.0993173
         120        2.02     2.67933   0.0986441
         121        4.42     2.69372   0.0988723
         122        3.06     2.69672   0.0981074
         123        2.02     2.69122   0.0974639
         124        3.94     2.70129   0.0971969
         125        3.94      2.7112   0.0969231
         126        3.94     2.72095   0.0966433
         127         1.3     2.70976   0.0965278
         128        2.02     2.70437    0.095924
         129         2.5     2.70279   0.0951935
         130        2.42     2.70062   0.0944861
         131         2.5     2.69908   0.0937772
         132        3.38     2.70424   0.0932086
         133         2.5     2.70271   0.0925204
         134         4.5     2.71612   0.0927971
         135        4.58     2.72993   0.0931311
         136         3.7     2.73706    0.092719
         137        2.18     2.73299   0.0921314
         138         1.7     2.72551   0.0917673
         139        1.62     2.71755   0.0914512
         140         2.9     2.71886   0.0908072
         141         4.1     2.72865     0.09069
         142        2.02     2.72366   0.0901885
         143        0.74     2.70979   0.0906183
         144        2.18     2.70611   0.0900637
         145        4.58     2.71903    0.090365
         146        3.46     2.72411   0.0898885
         147         1.7     2.71714   0.0895466
         148        2.02     2.71243   0.0890653
         149        0.98     2.70081   0.0892233
         150        0.74     2.68773   0.0895809
         151        3.38     2.69232   0.0891049
         152         4.1     2.70158   0.0889986
         153        3.46     2.70654   0.0885549
         154         1.3      2.6974   0.0884496
         155        2.42     2.69561   0.0878971
         156        2.02     2.69128   0.0874403
         157        2.74     2.69159   0.0868839
         158         2.9     2.69291    0.086344
         159         2.5      2.6917   0.0858095
         160        3.94      2.6995   0.0856271
         161         2.9     2.70075   0.0851043
         162         2.9     2.70198   0.0845879
         163        3.38     2.70613   0.0841711
         164        2.42     2.70439    0.083676
         165        3.06     2.70655   0.0831966
         166        5.14      2.7212    0.083977
         167        2.42      2.7194   0.0834935
         168        3.94     2.72667    0.083312
         169        2.42     2.72485   0.0828388
         170         2.5     2.72353   0.0823621
         171         4.1     2.73158   0.0822728
         172        2.74     2.73163   0.0817945
         173         1.7     2.72566   0.0815388
         174        1.06     2.71609   0.0816302
         175        2.02     2.71211   0.0812606
         176         2.9     2.71318   0.0808059
         177        2.18     2.71017   0.0804055
         178         2.5     2.70899   0.0799624
         179        3.46     2.71318   0.0796257
         180         2.5       2.712   0.0791922
         181         2.9     2.71304   0.0787614
         182        2.18     2.71011   0.0783831
         183        1.46     2.70328   0.0782519
         184        3.38     2.70696    0.077913
         185        3.38     2.71059   0.0775767
         186        2.74     2.71075   0.0771598
         187        2.02     2.70706   0.0768356
         188        3.94     2.71362   0.0767062
         189         3.7     2.71884   0.0764777
