#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1        0.08        0.08           0
           2        4.64        2.36      1.6122
           3        6.34     3.68667     1.52596
           4        6.56       4.405     1.30262
           5        0.68        3.66     1.23693
           6        1.22     3.25333     1.09558
           7        0.36        2.84     1.01405
           8        2.34      2.7775    0.889216
           9        1.36        2.62    0.804242
          10         1.6       2.518    0.730257
          11        2.34     2.50182    0.664049
          12        1.78     2.44167     0.61143
          13        0.04     2.25692    0.591649
          14        0.04     2.09857    0.570186
          15        0.18     1.97067    0.546331
          16        0.02     1.84875    0.525613
          17         0.8     1.78706    0.498301
          18        0.16     1.69667    0.478746
          19        0.08     1.61158    0.461049
          20        0.26       1.544    0.442921
          21        0.16      1.4781    0.426705
          22        1.36     1.47273    0.407343
          23        1.22     1.46174     0.38978
          24         0.1       1.405    0.377647
          25        2.96      1.4672    0.367627
          26         0.1     1.41462    0.357229
          27        0.82     1.39259    0.344676
          28         0.8     1.37143    0.333016
          29         0.5     1.34138    0.322885
          30        0.08     1.29933    0.314848
          31        0.34     1.26839    0.306209
          32        0.08     1.23125    0.298883
          33        0.72     1.21576    0.290227
          34        0.52     1.19529    0.282412
          35         0.1       1.164    0.276071
          36        5.38     1.28111    0.292188
          37        4.36     1.36432    0.295903
          38        1.04     1.35579     0.28824
          39         3.2     1.40308    0.284701
          40        2.44       1.429    0.278762
          41         1.6     1.43317    0.271994
          42        0.18     1.40333    0.267149
          43        0.36     1.37907    0.262036
          44         0.8     1.36591    0.256411
          45         0.8     1.35333    0.251021
          46         0.5     1.33478    0.246249
          47        2.72     1.36426    0.242767
          48        4.42     1.42792    0.245914
          49         2.5      1.4498    0.241867
          50        0.16       1.424    0.238401
          51         1.3     1.42157    0.233739
          52        0.82        1.41     0.22953
          53        1.48     1.41132    0.225203
          54         0.1     1.38704    0.222338
          55        0.74     1.37527    0.218607
          56        0.58     1.36107    0.215164
          57           2     1.37228    0.211681
          58         1.8     1.37966     0.20816
          59        0.02     1.35661    0.205903
          60        0.18       1.337    0.203403
          61         0.2     1.31836    0.200921
          62        1.48     1.32097    0.197697
          63        0.64     1.31016    0.194854
          64         1.3        1.31     0.19181
          65         0.9     1.30369    0.188963
          66        1.22     1.30242    0.186104
          67        0.08     1.28418    0.184218
          68         1.3     1.28441    0.181509
          69         0.2      1.2687    0.179558
          70        0.26     1.25429     0.17757
          71        0.18     1.23915    0.175713
          72        0.18     1.22444    0.173887
          73         0.2     1.21041     0.17207
          74         0.1     1.19541    0.170398
          75        0.26     1.18293    0.168582
          76         0.5     1.17395    0.166603
          77        0.74     1.16831    0.164534
          78        2.98     1.19154    0.164056
          79        4.42     1.23241    0.166992
          80         1.7     1.23825    0.165007
          81        2.32      1.2516    0.163509
          82        1.78     1.25805    0.161642
          83        0.34     1.24699    0.160073
          84         0.1     1.23333    0.158748
          85        2.72     1.25082    0.157841
          86         0.1     1.23744    0.156572
          87        0.26     1.22621    0.155175
          88        2.32     1.23864    0.153909
          89         0.5     1.23034    0.152403
          90        0.52     1.22244    0.150914
          91        0.18     1.21099     0.14969
          92        0.82     1.20674    0.148123
          93        0.18      1.1957    0.146941
          94        1.96     1.20383    0.145603
          95        1.44     1.20632    0.144091
          96        1.16     1.20583    0.142591
          97        0.82     1.20186    0.141176
          98        3.28     1.22306     0.14132
          99         2.6     1.23697    0.140575
         100           1      1.2346    0.139189
         101        0.16     1.22396    0.138217
         102        0.26     1.21451    0.137185
         103        0.58     1.20835    0.135991
         104        0.16     1.19827    0.135056
         105         0.5     1.19162    0.133934
         106        0.74     1.18736    0.132738
         107        0.58     1.18168    0.131619
         108        0.32      1.1737    0.130642
         109        1.46     1.17633     0.12947
         110        0.04       1.166    0.128704
         111        0.34     1.15856    0.127759
         112         0.1     1.14911    0.126968
         113        0.02     1.13912    0.126237
         114        1.78     1.14474    0.125255
         115        1.16     1.14487    0.124166
         116         0.2     1.13672    0.123362
         117         0.1     1.12786    0.122625
         118           0     1.11831    0.121958
         119        0.02     1.10908    0.121282
         120        0.04     1.10017    0.120598
         121        6.12     1.14165    0.126536
         122         3.7     1.16262    0.127225
         123         0.2      1.1548    0.126431
         124        1.16     1.15484    0.125411
         125           1      1.1536    0.124414
         126           5     1.18413    0.127117
         127        2.34     1.19323    0.126441
         128        1.78     1.19781    0.125536
         129        2.08     1.20465    0.124749
         130           5     1.23385     0.12716
         131        3.38     1.25023     0.12724
         132        1.78     1.25424     0.12634
         133        0.08     1.24541    0.125698
         134         0.5     1.23985    0.124883
         135         0.1     1.23141    0.124243
         136        5.86     1.26544    0.127906
         137           2      1.2708    0.127085
         138        0.74     1.26696    0.126222
         139         1.7     1.27007    0.125352
         140         0.9     1.26743    0.124485
         141        2.26     1.27447    0.123801
         142         0.4     1.26831    0.123082
         143         0.5     1.26294    0.122339
         144           0     1.25417    0.121803
         145        0.68     1.25021    0.121027
         146         1.3     1.25055    0.120199
         147         3.4     1.26517    0.120267
         148        0.02     1.25676    0.119748
         149        1.96     1.26148    0.119038
         150        0.26      1.2548    0.118431
         151        0.08     1.24702    0.117902
         152        0.68     1.24329    0.117186
         153        0.18     1.23634    0.116626
         154        0.16     1.22935    0.116077
         155        0.74     1.22619    0.115372
         156        0.82     1.22359    0.114661
         157         0.5     1.21898    0.114024
         158        0.36     1.21354    0.113431
         159        0.02     1.20604    0.112966
         160         0.8      1.2035    0.112289
         161        0.52     1.19925    0.111671
         162        1.16     1.19901    0.110982
         163         1.6     1.20147    0.110329
         164        0.58     1.19768    0.109721
         165        1.46     1.19927    0.109068
         166        4.84      1.2212    0.110594
         167         0.2     1.21509      0.1101
         168         0.1     1.20845    0.109645
         169        0.26     1.20284     0.10914
         170         0.5     1.19871    0.108576
         171         2.9     1.20865    0.108396
         172           4     1.22488    0.108974
         173        4.04     1.24116    0.109552
         174        0.34     1.23598    0.109045
         175        0.34     1.23086    0.108542
         176        2.34     1.23716    0.108108
         177        1.16     1.23672    0.107498
         178         1.7     1.23933    0.106926
         179        1.04     1.23821    0.106334
         180        0.82     1.23589    0.105769
         181        0.34     1.23094      0.1053
         182         0.1     1.22473    0.104905
         183        2.08      1.2294    0.104435
         184        2.98     1.23891      0.1043
         185        2.26     1.24443    0.103882
         186        0.68      1.2414    0.103368
         187        1.16     1.24096    0.102816
         188        0.04     1.23457    0.102468
         189        2.44     1.24095    0.102124
         190         1.7     1.24337    0.101615
         191           2     1.24733     0.10116
         192        0.52     1.24354    0.100704
         193        2.18     1.24839    0.100299
         194        5.38     1.26969    0.102018
         195        1.22     1.26944    0.101495
         196         0.1     1.26347    0.101153
         197        0.26     1.25838    0.100767
         198        1.78     1.26101    0.100293
         199         4.5     1.27729    0.101101
         200        0.34      1.2726    0.100704
         201         1.3     1.27274    0.100203
         202         1.6     1.27436   0.0997203
         203        2.08     1.27833    0.099308
         204        4.42     1.29373    0.100008
         205        0.52     1.28995   0.0995915
         206        1.46     1.29078   0.0991115
         207         1.7     1.29275   0.0986524
         208         0.1     1.28702   0.0983446
         209        0.04     1.28105   0.0980549
         210        0.02     1.27505   0.0977717
         211        0.04     1.26919   0.0974834
         212        0.08     1.26358   0.0971848
         213         0.5        1.26   0.0967946
         214        0.18     1.25495   0.0964738
         215        0.82     1.25293   0.0960463
         216        0.26     1.24833   0.0957116
         217        2.44     1.25382   0.0954279
         218        8.42      1.2867    0.100493
         219        6.66     1.31123    0.102985
         220         0.1     1.30573    0.102664
         221        0.64     1.30271    0.102244
         222         0.5      1.2991    0.101847
         223         1.7      1.3009    0.101407
         224        0.34     1.29661    0.101045
         225         0.9     1.29484    0.100611
         226        1.22     1.29451    0.100166
         227        2.12     1.29815   0.0997909
         228        1.36     1.29842   0.0993536
         229        0.04     1.29293   0.0990716
         230         0.5     1.28948   0.0987008
         231        0.64     1.28667   0.0983136
         232         1.7     1.28845   0.0979059
         233         3.2     1.29665   0.0978289
         234        2.12     1.30017   0.0974741
         235        1.22     1.29983   0.0970599
         236        1.22     1.29949   0.0966492
         237        2.98     1.30658   0.0965011
         238         1.3     1.30655   0.0960957
         239        0.26     1.30218   0.0957933
         240        0.26     1.29783   0.0954926
         241        0.18      1.2932   0.0952089
         242           1     1.29198   0.0948232
         243        0.04     1.28683   0.0945728
         244        0.32     1.28287   0.0942682
