#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1        -0.4        -0.4           0
           2       -0.48       -0.44   0.0282843
           3       -0.68       -0.52   0.0679869
           4       -0.48       -0.51   0.0517204
           5       -0.44      -0.496   0.0432296
           6       -0.48   -0.493333   0.0361068
           7       -0.68       -0.52   0.0395897
           8       -0.52       -0.52    0.034641
           9       -0.28   -0.493333   0.0397523
          10       -0.32      -0.476   0.0393751
          11       -0.56   -0.483636   0.0365286
          12       -0.36   -0.473333   0.0349073
          13        -0.4   -0.467692   0.0326747
          14       -0.44   -0.465714   0.0304006
          15       -0.44      -0.464   0.0284222
          16       -0.24       -0.45   0.0298957
          17       -0.36   -0.444706    0.028602
          18        -0.6   -0.453333   0.0282843
          19       -0.36   -0.448421   0.0272189
          20       -0.56      -0.454   0.0264235
          21       -0.44   -0.453333   0.0251736
          22       -0.44   -0.452727   0.0240367
          23        -0.4   -0.450435   0.0231007
          24       -0.44       -0.45   0.0221422
          25       -0.48     -0.4512    0.021289
          26       -0.48   -0.452308    0.020499
          27       -0.32   -0.447407   0.0203171
          28       -0.52       -0.45   0.0197562
          29        -0.2   -0.441379   0.0208712
          30        -0.4       -0.44    0.020221
          31       -0.52   -0.442581   0.0197327
          32        -0.4    -0.44125   0.0191609
          33       -0.16   -0.432727   0.0203878
          34       -0.44   -0.432941   0.0197892
          35       -0.52   -0.435429   0.0193795
          36       -0.56   -0.438889   0.0191476
          37        -0.4   -0.437838    0.018659
          38       -0.48   -0.438947   0.0182009
          39       -0.52   -0.441026   0.0178525
          40       -0.52      -0.443    0.017515
          41       -0.44   -0.442927    0.017088
          42       -0.36   -0.440952   0.0167948
          43       -0.48    -0.44186   0.0164287
          44       -0.32   -0.439091   0.0162871
          45       -0.52   -0.440889   0.0160241
          46       -0.32   -0.438261   0.0158898
          47       -0.44   -0.438298   0.0155518
          48       -0.48   -0.439167    0.015252
          49       -0.52   -0.440816   0.0150297
          50       -0.44     -0.4408   0.0147291
          51       -0.48   -0.441569   0.0144604
          52        -0.6   -0.444615   0.0144997
          53       -0.48   -0.445283   0.0142415
          54       -0.52   -0.446667   0.0140448
          55       -0.48   -0.447273   0.0138025
          56       -0.36   -0.445714   0.0136437
          57       -0.48   -0.446316   0.0134176
          58        -0.4   -0.445517     0.01321
          59       -0.48   -0.446102   0.0129991
          60       -0.32      -0.444   0.0129512
          61       -0.32   -0.441967   0.0128974
          62        -0.4    -0.44129   0.0127071
          63       -0.44    -0.44127   0.0125055
          64        -0.4   -0.440625   0.0123267
          65       -0.32   -0.438769   0.0122759
          66       -0.48   -0.439394   0.0121058
          67       -0.52   -0.440597   0.0119848
          68       -0.48   -0.441176   0.0118225
          69       -0.48   -0.441739   0.0116646
          70       -0.48   -0.442286   0.0115107
          71       -0.56   -0.443944   0.0114674
          72       -0.48   -0.444444    0.011319
          73       -0.44   -0.444384   0.0111642
          74        -0.6   -0.446486   0.0112096
          75        -0.6   -0.448533   0.0112455
          76       -0.56       -0.45   0.0111927
          77       -0.44    -0.44987   0.0110481
          78       -0.44   -0.449744   0.0109072
          79       -0.48   -0.450127   0.0107759
          80       -0.24     -0.4475   0.0109566
          81        -0.4   -0.446914    0.010837
          82       -0.48   -0.447317   0.0107124
          83       -0.44   -0.447229   0.0105837
          84       -0.48   -0.447619   0.0104648
          85       -0.64   -0.449882   0.0105837
          86        -0.6   -0.451628   0.0106036
          87        -0.4   -0.451034   0.0104983
          88       -0.52   -0.451818   0.0104082
          89       -0.44   -0.451685   0.0102921
          90       -0.64   -0.453778   0.0103882
          91        -0.4   -0.453187   0.0102909
          92       -0.32   -0.451739   0.0102803
          93        -0.6   -0.453333   0.0102927
          94        -0.6   -0.454894   0.0103008
          95       -0.52   -0.455579   0.0102151
          96       -0.52    -0.45625   0.0101307
          97        -0.4    -0.45567   0.0100429
          98       -0.52   -0.456327  0.00996181
          99       -0.48   -0.456566  0.00986405
         100       -0.36     -0.4556  0.00981256
         101       -0.28   -0.453861  0.00986823
         102       -0.36   -0.452941   0.0098143
         103        -0.4   -0.452427  0.00973246
         104        -0.4   -0.451923  0.00965193
         105       -0.52   -0.452571  0.00958176
         106        -0.4   -0.452075  0.00950419
         107       -0.48   -0.452336  0.00941895
         108       -0.36   -0.451481  0.00937046
         109       -0.48   -0.451743  0.00928814
         110       -0.32   -0.450545   0.0092806
         111       -0.24   -0.448649  0.00938883
         112       -0.36   -0.447857   0.0093383
         113       -0.28   -0.446372  0.00937307
         114       -0.44   -0.446316  0.00929101
         115       -0.52   -0.446957  0.00923229
         116       -0.48   -0.447241  0.00915709
         117        -0.4   -0.446838  0.00908772
         118       -0.56   -0.447797  0.00906117
         119        -0.4   -0.447395  0.00899392
         120        -0.4      -0.447  0.00892764
         121       -0.56   -0.447934  0.00890257
         122       -0.48   -0.448197  0.00883348
         123        -0.4   -0.447805  0.00877035
         124       -0.56    -0.44871  0.00874617
         125       -0.56     -0.4496  0.00872139
         126       -0.56   -0.450476  0.00869608
         127       -0.32   -0.449449  0.00868808
         128        -0.4   -0.449062  0.00862879
         129       -0.44   -0.448992  0.00856219
         130       -0.44   -0.448923   0.0084966
         131       -0.44   -0.448855  0.00843202
         132       -0.52   -0.449394  0.00838535
         133       -0.44   -0.449323   0.0083226
         134        -0.6   -0.450448   0.0083361
         135        -0.6   -0.451556  0.00834764
         136       -0.52   -0.452059  0.00830141
         137        -0.4   -0.451679  0.00824951
         138       -0.36   -0.451014  0.00821644
         139       -0.36    -0.45036  0.00818338
         140       -0.48   -0.450571  0.00812766
         141       -0.56   -0.451348  0.00810699
         142        -0.4   -0.450986  0.00805796
         143       -0.24    -0.44951  0.00813556
         144        -0.4   -0.449167  0.00808633
         145        -0.6   -0.450207  0.00809719
         146       -0.52   -0.450685  0.00805583
         147       -0.36   -0.450068  0.00802461
         148        -0.4    -0.44973  0.00797752
         149       -0.28   -0.448591   0.0080049
         150       -0.24     -0.4472  0.00807141
         151       -0.52   -0.447682  0.00803235
         152       -0.56   -0.448421  0.00801342
         153       -0.52   -0.448889  0.00797469
         154       -0.32   -0.448052   0.0079667
         155       -0.44      -0.448  0.00791547
         156        -0.4   -0.447692  0.00787071
         157       -0.44   -0.447643  0.00782073
         158       -0.48   -0.447848  0.00777392
         159       -0.44   -0.447799  0.00772518
         160       -0.56     -0.4485  0.00770866
         161       -0.48   -0.448696  0.00766326
         162       -0.48   -0.448889  0.00761839
         163       -0.52   -0.449325  0.00758414
         164       -0.44   -0.449268  0.00753811
         165       -0.48   -0.449455  0.00749472
         166       -0.64   -0.450602  0.00753696
         167       -0.44   -0.450539   0.0074921
         168       -0.56    -0.45119  0.00747578
         169       -0.44   -0.451124  0.00743184
         170       -0.44   -0.451059  0.00738841
         171       -0.56   -0.451696  0.00737262
         172       -0.44   -0.451628  0.00733007
         173       -0.36   -0.451098   0.0073068
         174       -0.28   -0.450115  0.00733068
         175        -0.4   -0.449829  0.00729438
         176       -0.48       -0.45  0.00725495
         177        -0.4   -0.449718  0.00721946
         178       -0.44   -0.449663  0.00717911
         179       -0.52   -0.450056  0.00714975
         180       -0.44       -0.45  0.00711024
         181       -0.48   -0.450166  0.00707289
         182        -0.4    -0.44989   0.0070394
         183       -0.32    -0.44918  0.00703662
         184       -0.52   -0.449565   0.0070089
         185       -0.52   -0.449946  0.00698135
         186       -0.44   -0.449892  0.00694402
         187        -0.4   -0.449626  0.00691201
         188       -0.56   -0.450213  0.00690013
         189       -0.52   -0.450582  0.00687349
         190       -0.48   -0.450737  0.00683906
