# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.064633           0           0
0.129266           0           0
0.193899           0           0
0.258532           0           0
0.323165           0           0
0.387798           0           0
0.452431           0           0
0.517064           0           0
0.581697           0           0
0.64633           0           0
0.710963           0           0
0.775596           0           0
0.84023  0.00115845 0.000343647
0.904863    0.149224   0.0051989
0.969496     1.04501   0.0171275
1.03413      2.0625   0.0273926
1.09876     2.34457   0.0399502
1.16339     2.16328   0.0395507
1.22803      1.8866   0.0286549
1.29266     1.65297    0.024884
1.35729     1.47092   0.0220147
1.42193     1.32239   0.0217154
1.48656     1.24047   0.0194359
1.55119     1.19943   0.0177849
1.61583     1.15917   0.0162445
1.68046     1.13093   0.0142781
1.74509     1.11085   0.0121812
1.80973     1.10067   0.0118102
1.87436     1.06485   0.0114394
1.93899      1.0529   0.0120605
2.00362     1.06195   0.0116705
2.06826      1.0699   0.0117959
2.13289     1.06639   0.0114754
2.19752     1.05631   0.0106657
2.26216     1.06324   0.0105853
2.32679     1.04996   0.0106053
2.39142     1.05169  0.00918491
2.45606      1.0296  0.00925556
2.52069     1.03002  0.00897289
2.58532     1.03312  0.00933299
2.64995     1.03006   0.0101911
2.71459     1.02974   0.0098087
2.77922     1.03339  0.00954675
2.84385     1.02811  0.00872538
2.90849     1.02389  0.00837535
2.97312      1.0158  0.00841694
3.03775     1.01571  0.00873782
3.10239     1.01392  0.00914541
3.16702     1.01817  0.00727994
3.23165     1.00727  0.00748209
3.29629     1.00017  0.00749063
3.36092    0.997969  0.00762541
3.42555     1.00685  0.00738274
3.49018    0.999341  0.00734208
3.55482    0.998185  0.00754635
3.61945    0.999398  0.00724489
3.68408    0.997511  0.00674925
3.74872    0.998309  0.00623105
3.81335    0.998094  0.00611435
3.87798     1.00175   0.0055568
3.94262     1.00016  0.00599233
4.00725    0.993366   0.0059807
4.07188    0.993039  0.00603539
4.13651    0.993498  0.00542214
4.20115    0.992599  0.00544828
4.26578    0.990586  0.00494628
4.33041    0.996682  0.00548386
4.39505    0.987892  0.00529927
4.45968    0.991098  0.00586276
4.52431     0.98861  0.00502854
4.58895    0.984666  0.00521079
4.65358    0.992077  0.00492503
4.71821    0.986536  0.00509102
4.78285    0.989076  0.00484881
4.84748     0.98884  0.00454435
4.91211    0.999361  0.00475081
4.97674     0.99018  0.00479745
5.04138    0.991094  0.00506109
5.10601    0.988021  0.00478465
5.17064    0.981499   0.0043167
5.23528    0.977833  0.00405139
5.29991    0.982034  0.00407504
5.36454    0.981187  0.00380068
5.42918    0.983307  0.00367007
5.49381    0.981331  0.00377534
5.55844    0.985356  0.00419736
5.62307    0.990104  0.00379634
5.68771    0.986347  0.00383889
5.75234    0.989084  0.00334528
5.81697    0.985234  0.00377141
5.88161    0.989455  0.00348528
5.94624    0.984144  0.00353053
6.01087    0.986074  0.00384833
6.07551    0.983409  0.00398665
6.14014    0.982008  0.00334948
6.20477    0.985695  0.00363178
6.2694     0.98448   0.0036435
6.33404    0.980782  0.00383613
6.39867    0.981408  0.00380733
