# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.0256496           0           0
0.0512993           0           0
0.0769489           0           0
0.102599           0           0
0.128248           0           0
0.153898           0           0
0.179547           0           0
0.205197           0           0
0.230847           0           0
0.256496           0           0
0.282146           0           0
0.307796           0           0
0.333445           0           0
0.359095           0           0
0.384745           0           0
0.410394           0           0
0.436044           0           0
0.461694           0           0
0.487343           0           0
0.512993           0           0
0.538642           0           0
0.564292           0           0
0.589942           0           0
0.615591           0           0
0.641241           0           0
0.666891           0           0
0.69254           0           0
0.71819           0           0
0.74384           0           0
0.769489           0           0
0.795139           0           0
0.820788           0           0
0.846438 2.48017e-05 1.53089e-05
0.872088   0.0013013 0.000124724
0.897737   0.0220024 0.000565913
0.923387    0.157839  0.00157232
0.949037    0.555771   0.0025085
0.974686      1.1988  0.00464892
1.00034     1.86256   0.0058815
1.02599     2.34354  0.00760899
1.05164     2.55113  0.00647687
1.07728     2.56375   0.0065672
1.10293     2.42426  0.00634317
1.12858     2.21528  0.00619717
1.15423     1.97809  0.00622547
1.17988     1.75534  0.00501619
1.20553     1.55809  0.00513874
1.23118     1.38675  0.00541043
1.25683     1.24146  0.00524927
1.28248      1.1225  0.00454557
1.30813     1.02436  0.00371051
1.33378    0.940123  0.00391215
1.35943    0.869863   0.0036953
1.38508    0.810362  0.00291768
1.41073    0.765207  0.00331214
1.43638    0.733092  0.00305816
1.46203    0.710235  0.00293016
1.48768    0.684746  0.00296951
1.51333    0.674325  0.00328275
1.53898    0.669964  0.00286368
1.56463    0.670463  0.00309748
1.59028    0.674633  0.00287807
1.61593    0.689158  0.00255048
1.64158    0.704228  0.00292145
1.66723    0.719426  0.00304314
1.69288    0.749626  0.00280012
1.71853    0.782078  0.00267248
1.74418    0.814763  0.00278439
1.76983    0.856062  0.00320811
1.79547    0.892723   0.0028491
1.82112    0.932824  0.00277843
1.84677    0.977569  0.00307701
1.87242     1.01948  0.00280474
1.89807      1.0587  0.00316369
1.92372     1.10113  0.00326722
1.94937     1.12797  0.00342644
1.97502     1.16564  0.00308666
2.00067     1.18906  0.00244753
2.02632     1.20683   0.0028701
2.05197     1.21992  0.00265015
2.07762     1.22002  0.00297253
2.10327     1.21354  0.00296442
2.12892     1.19608  0.00254173
2.15457     1.17554   0.0025701
2.18022     1.15136   0.0023639
2.20587       1.122  0.00257042
2.23152     1.09363  0.00246932
2.25717     1.06431  0.00262977
2.28282     1.03351  0.00246117
2.30847      1.0073  0.00235849
2.33412    0.983903  0.00206567
2.35977    0.962922  0.00223624
2.38542    0.942002  0.00234092
2.41107    0.925485  0.00208559
2.43672    0.911702  0.00203511
2.46237     0.89891  0.00205749
2.48802     0.89212  0.00206719
2.51366    0.891196  0.00204324
2.53931    0.889574   0.0023504
