# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.0230664           0           0
0.0461329           0           0
0.0691993           0           0
0.0922657           0           0
0.115332           0           0
0.138399           0           0
0.161465           0           0
0.184531           0           0
0.207598           0           0
0.230664           0           0
0.253731           0           0
0.276797           0           0
0.299864           0           0
0.32293           0           0
0.345996           0           0
0.369063           0           0
0.392129           0           0
0.415196           0           0
0.438262           0           0
0.461329           0           0
0.484395           0           0
0.507461           0           0
0.530528           0           0
0.553594           0           0
0.576661           0           0
0.599727           0           0
0.622794           0           0
0.64586           0           0
0.668926           0           0
0.691993           0           0
0.715059           0           0
0.738126           0           0
0.761192           0           0
0.784259           0           0
0.807325           0           0
0.830391           0           0
0.853458           0           0
0.876524 6.29626e-05 2.26455e-05
0.899591  0.00374702 0.000218275
0.922657   0.0531943 0.000761984
0.945724    0.316403  0.00155153
0.96879     1.05832  0.00314777
0.991856      2.3032  0.00535446
1.01492     3.64733  0.00551277
1.03799     4.57649  0.00653931
1.06106     4.80574  0.00706545
1.08412     4.41568  0.00673336
1.10719     3.60568  0.00624978
1.13026     2.68449  0.00550368
1.15332     1.83177  0.00447785
1.17639     1.15721  0.00294707
1.19945     0.68142  0.00260916
1.22252    0.369835  0.00204824
1.24559    0.191412  0.00159899
1.26865   0.0954651  0.00118724
1.29172   0.0529831 0.000940765
1.31479   0.0438954 0.000969891
1.33785   0.0641755  0.00130117
1.36092    0.109587  0.00144366
1.38399    0.187847  0.00155714
1.40705    0.305074  0.00177678
1.43012    0.456782  0.00211081
1.45319    0.628149  0.00195465
1.47625    0.789094  0.00234272
1.49932    0.913279  0.00329977
1.52238    0.961873  0.00353173
1.54545    0.920341  0.00358756
1.56852    0.803262  0.00292197
1.59158    0.642684  0.00167822
1.61465     0.46591  0.00156744
1.63772    0.322317  0.00161373
1.66078    0.227421  0.00184323
1.68385    0.200204  0.00196411
1.70692     0.26871  0.00218993
1.72998    0.452125  0.00244668
1.75305    0.769092  0.00273807
1.77612      1.2159  0.00264844
1.79918     1.72874  0.00268797
1.82225      2.2205  0.00331691
1.84531     2.56615   0.0040107
1.86838     2.67842  0.00512432
1.89145     2.52027  0.00543756
1.91451     2.15714  0.00381055
1.93758     1.68899   0.0026184
1.96065     1.21542  0.00240012
1.98371    0.821561  0.00267507
2.00678    0.563171  0.00272382
2.02985    0.453017  0.00247037
2.05291    0.478407  0.00213615
2.07598    0.597047   0.0018405
2.09905    0.760073  0.00149405
2.12211    0.906662  0.00185029
2.14518    0.993348   0.0019196
2.16824    0.993475   0.0021768
2.19131    0.911746  0.00197823
2.21438    0.789496  0.00150343
2.23744    0.664368  0.00193704
2.26051    0.584222  0.00250138
2.28358    0.587747  0.00299106
