#   N_BLOCK:  ACCEPTANCE:
           1    0.613639
           2    0.614727
           3    0.614465
           4    0.615207
           5    0.615067
           6    0.614647
           7    0.614529
           8    0.614503
           9    0.614471
          10    0.614678
          11    0.614503
          12      0.6145
          13    0.614567
          14    0.614384
          15    0.614384
          16    0.614439
          17    0.614287
          18    0.614227
          19    0.614158
          20    0.614152
          21    0.614142
          22    0.614102
          23    0.614022
          24    0.613998
          25    0.614008
          26    0.613934
          27    0.614024
          28    0.614109
          29    0.614096
          30    0.614124
          31    0.614109
          32    0.614077
          33    0.614054
          34    0.614013
          35    0.614027
          36    0.613998
          37    0.613986
          38    0.613967
          39    0.614016
          40    0.614033
          41    0.614004
          42     0.61401
          43    0.614011
          44    0.613985
          45     0.61405
          46    0.614042
          47    0.614017
          48    0.614058
          49    0.614044
          50    0.613995
          51    0.613999
          52    0.613995
          53    0.613972
          54    0.614005
          55    0.614007
          56    0.613978
          57    0.613984
          58    0.613992
          59    0.614017
          60     0.61402
          61     0.61406
          62    0.614054
          63    0.614022
          64    0.614007
          65    0.614023
          66    0.614017
          67    0.614014
          68    0.614037
          69    0.614055
          70    0.614078
          71    0.614073
          72    0.614058
          73    0.614059
          74    0.614042
          75    0.614051
          76    0.614068
          77    0.614075
          78    0.614054
          79    0.614046
          80    0.614048
          81    0.614011
          82    0.614027
          83    0.614029
          84    0.614049
          85    0.614013
          86     0.61399
          87    0.613998
          88    0.613994
          89    0.614028
          90    0.614019
          91    0.614065
          92    0.614061
          93    0.614083
          94    0.614091
          95    0.614096
          96    0.614094
          97    0.614092
          98    0.614093
          99    0.614108
         100    0.614075
