# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.064633           0           0
0.129266           0           0
0.193899           0           0
0.258532           0           0
0.323165           0           0
0.387798           0           0
0.452431           0           0
0.517064           0           0
0.581697           0           0
0.64633           0           0
0.710963           0           0
0.775596           0           0
0.84023 0.000912991 6.02227e-05
0.904863    0.147176  0.00076357
0.969496     1.06716  0.00226545
1.03413     2.04031   0.0038525
1.09876     2.26391   0.0037624
1.16339      2.0824  0.00340823
1.22803     1.83245  0.00271807
1.29266     1.61698  0.00227692
1.35729     1.45424  0.00213008
1.42193      1.3359  0.00179791
1.48656     1.25211  0.00156048
1.55119     1.19133  0.00166584
1.61583     1.14566  0.00161275
1.68046     1.11322   0.0014673
1.74509       1.091  0.00128125
1.80973     1.07654  0.00113673
1.87436     1.06592  0.00117811
1.93899     1.06098  0.00110557
2.00362     1.05728  0.00114259
2.06826     1.05569  0.00092252
2.13289     1.05367 0.000945355
2.19752     1.04842 0.000940764
2.26216     1.04357 0.000925939
2.32679     1.03845   0.0010136
2.39142     1.03285 0.000838532
2.45606     1.02629 0.000820363
2.52069      1.0214 0.000915582
2.58532     1.01709  0.00080633
2.64995     1.01361 0.000790428
2.71459     1.01093 0.000674476
2.77922      1.0068 0.000799076
2.84385     1.00466 0.000721487
2.90849     1.00383 0.000668112
2.97312     1.00148 0.000644377
3.03775    0.999358 0.000710298
3.10239    0.999095 0.000593816
3.16702    0.997327 0.000726541
3.23165    0.996463 0.000659505
3.29629    0.995436 0.000625153
3.36092     0.99484 0.000547954
3.42555    0.993573 0.000572725
3.49018    0.992716 0.000583813
3.55482    0.992645 0.000550684
3.61945    0.991559  0.00046706
3.68408    0.990524 0.000550558
3.74872    0.991245 0.000560101
3.81335    0.991304  0.00052913
3.87798    0.990095 0.000548544
3.94262    0.989378 0.000493776
4.00725    0.989037 0.000426997
4.07188    0.988525 0.000528964
4.13651    0.988457 0.000479017
4.20115    0.987529  0.00047686
4.26578    0.987399 0.000487735
4.33041    0.988249 0.000445967
4.39505    0.987535 0.000489176
4.45968    0.987389 0.000533806
4.52431    0.986857 0.000442141
4.58895    0.986629 0.000484732
4.65358    0.987708 0.000533667
4.71821    0.987261 0.000422606
4.78285    0.985961 0.000478739
4.84748    0.987217 0.000401193
4.91211     0.98679 0.000457966
4.97674     0.98643 0.000387827
5.04138    0.986736 0.000420765
5.10601     0.98688 0.000416645
5.17064    0.986835 0.000383967
5.23528    0.986893 0.000338028
5.29991    0.986743 0.000345289
5.36454     0.98592 0.000379777
5.42918    0.985963 0.000373953
5.49381    0.985747 0.000422328
5.55844    0.986355 0.000348686
5.62307    0.986319 0.000378747
5.68771    0.986047 0.000344442
5.75234    0.985554 0.000348026
5.81697    0.986378 0.000326878
5.88161    0.986625 0.000357313
5.94624    0.986322 0.000383807
6.01087    0.986453  0.00031875
6.07551     0.98555 0.000338152
6.14014    0.985475 0.000342359
6.20477    0.985627 0.000331881
6.2694    0.985712 0.000306896
6.33404    0.986245 0.000309739
6.39867    0.985476 0.000357578
