#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.414591   -0.414591           0
           2   -0.414845   -0.414718 8.99528e-05
           3   -0.416023   -0.415153  0.00036034
           4   -0.412153   -0.414403 0.000703508
           5   -0.414869   -0.414496 0.000568949
           6   -0.416603   -0.414847  0.00057234
           7   -0.417247    -0.41519 0.000584259
           8   -0.414669   -0.415125 0.000514846
           9   -0.412594   -0.414844 0.000528889
          10   -0.411885   -0.414548 0.000552594
          11   -0.412267    -0.41434 0.000539865
          12   -0.414193   -0.414328 0.000495017
          13   -0.413456   -0.414261 0.000461464
          14    -0.41775    -0.41451  0.00049119
          15   -0.410945   -0.414273 0.000512747
          16   -0.411677    -0.41411 0.000505704
          17   -0.418293   -0.414356 0.000532466
          18   -0.415068   -0.414396 0.000504351
          19   -0.416991   -0.414533 0.000495954
          20   -0.411666   -0.414389 0.000491428
          21   -0.411807   -0.414266 0.000483165
          22   -0.415761   -0.414334 0.000465956
          23   -0.414065   -0.414322 0.000445844
          24   -0.413502   -0.414288 0.000428577
          25   -0.413642   -0.414262 0.000412211
          26   -0.413921   -0.414249 0.000396566
          27   -0.412159   -0.414172 0.000389363
          28   -0.411372   -0.414072 0.000388083
          29   -0.416101   -0.414142 0.000380958
          30   -0.415808   -0.414197 0.000372287
          31   -0.415044   -0.414225 0.000361278
          32   -0.413431     -0.4142 0.000350839
          33   -0.413357   -0.414174 0.000341137
          34   -0.412845   -0.414135 0.000333338
          35   -0.414155   -0.414136 0.000323815
          36   -0.416852   -0.414211 0.000323489
          37   -0.413617   -0.414195 0.000315145
          38   -0.416474   -0.414255 0.000312505
          39   -0.411436   -0.414183 0.000312739
          40   -0.415217   -0.414209 0.000305987
          41   -0.415257   -0.414234 0.000299591
          42   -0.414904    -0.41425 0.000292882
          43   -0.413935   -0.414243 0.000286163
          44   -0.419017   -0.414351 0.000299526
          45   -0.410744   -0.414271 0.000303409
          46   -0.413718   -0.414259 0.000297052
          47   -0.414111   -0.414256 0.000290749
          48   -0.411119   -0.414191 0.000291943
          49   -0.413739   -0.414182 0.000286131
          50   -0.419755   -0.414293  0.00030134
          51   -0.415657    -0.41432 0.000296615
          52   -0.416039   -0.414353 0.000292747
          53   -0.417536   -0.414413 0.000293318
          54   -0.410062   -0.414332  0.00029875
          55   -0.413935   -0.414325 0.000293405
          56     -0.4147   -0.414332 0.000288242
          57   -0.413741   -0.414321 0.000283371
          58   -0.411701   -0.414276 0.000282064
          59   -0.412317   -0.414243 0.000279231
          60   -0.414742   -0.414251   0.0002747
          61   -0.412376   -0.414221 0.000271913
          62   -0.415393   -0.414239 0.000268184
          63   -0.415975   -0.414267 0.000265339
          64   -0.415148   -0.414281 0.000261549
          65   -0.414848    -0.41429 0.000257671
          66   -0.415106   -0.414302 0.000254064
          67   -0.417605   -0.414351 0.000255011
          68   -0.413875   -0.414344 0.000251357
          69   -0.414848   -0.414351  0.00024782
          70   -0.415138   -0.414363 0.000244535
          71   -0.411895   -0.414328 0.000243548
          72    -0.41557   -0.414345 0.000240775
          73   -0.412601   -0.414321 0.000238659
          74   -0.416844   -0.414355 0.000237856
          75   -0.413686   -0.414347 0.000234852
          76   -0.414989   -0.414355 0.000231914
          77    -0.41338   -0.414342 0.000229248
          78   -0.414835   -0.414349 0.000226396
          79     -0.4152   -0.414359 0.000223786
          80   -0.412501   -0.414336 0.000222191
          81   -0.416593   -0.414364 0.000221189
          82   -0.413347   -0.414352 0.000218838
          83   -0.414643   -0.414355  0.00021623
          84   -0.412051   -0.414328 0.000215388
          85   -0.414429   -0.414329 0.000212858
          86   -0.415964   -0.414348  0.00021123
          87   -0.415069   -0.414356 0.000208965
          88   -0.412515   -0.414335 0.000207635
          89   -0.411558   -0.414304 0.000207634
          90   -0.415628   -0.414319 0.000205848
          91    -0.41144   -0.414287 0.000206002
          92   -0.413808   -0.414282 0.000203829
          93   -0.412812   -0.414266 0.000202249
          94   -0.412304   -0.414245 0.000201172
          95   -0.413766    -0.41424 0.000199117
          96   -0.417719   -0.414276 0.000200313
          97   -0.414445   -0.414278 0.000198255
          98   -0.413828   -0.414274 0.000196285
          99    -0.41174   -0.414248 0.000195964
         100   -0.419493     -0.4143 0.000200902
