#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1  -0.0309406  -0.0309406           0
           2  -0.0310019  -0.0309713 2.17017e-05
           3  -0.0308152  -0.0309192 4.48592e-05
           4  -0.0305584   -0.030829 8.50667e-05
           5  -0.0305926  -0.0307817 8.01251e-05
           6  -0.0307452  -0.0307757 6.70016e-05
           7  -0.0309212  -0.0307965 6.05714e-05
           8  -0.0306569   -0.030779 5.54555e-05
           9  -0.0308365  -0.0307854 4.96601e-05
          10  -0.0309939  -0.0308062 4.88743e-05
          11  -0.0307422  -0.0308004 4.47765e-05
          12  -0.0307187  -0.0307936 4.15599e-05
          13   -0.031212  -0.0308258 4.92742e-05
          14  -0.0310168  -0.0308394 4.76069e-05
          15   -0.031022  -0.0308516 4.59623e-05
          16  -0.0312961  -0.0308794  5.0797e-05
          17  -0.0307104  -0.0308695 4.87717e-05
          18   -0.030621  -0.0308557  4.7975e-05
          19  -0.0306712  -0.0308459 4.64215e-05
          20  -0.0306325  -0.0308353 4.53102e-05
          21  -0.0309277  -0.0308397 4.33659e-05
          22  -0.0306853  -0.0308327 4.19587e-05
          23  -0.0310514  -0.0308422 4.11985e-05
          24  -0.0308722  -0.0308434  3.9501e-05
          25  -0.0306298  -0.0308349 3.88341e-05
          26  -0.0306575  -0.0308281 3.79352e-05
          27  -0.0305641  -0.0308183 3.77684e-05
          28   -0.030851  -0.0308195 3.64376e-05
          29  -0.0306435  -0.0308134  3.5683e-05
          30  -0.0311929   -0.030826  3.6668e-05
          31  -0.0306118  -0.0308191 3.61306e-05
          32  -0.0305037  -0.0308093 3.63213e-05
          33  -0.0305221  -0.0308006  3.6248e-05
          34  -0.0304425    -0.03079 3.66795e-05
          35  -0.0310713  -0.0307981 3.65014e-05
          36   -0.030862  -0.0307998 3.55306e-05
          37  -0.0306243  -0.0307951 3.48856e-05
          38   -0.031191  -0.0308055 3.54891e-05
          39  -0.0308499  -0.0308067 3.45973e-05
          40  -0.0305361  -0.0307999 3.43873e-05
          41  -0.0309148  -0.0308027 3.36626e-05
          42  -0.0302784  -0.0307902 3.50998e-05
          43  -0.0307044  -0.0307882 3.43402e-05
          44  -0.0307935  -0.0307883 3.35599e-05
          45  -0.0309634  -0.0307922 3.30389e-05
          46   -0.030697  -0.0307902 3.23855e-05
          47  -0.0308602  -0.0307916 3.17308e-05
          48  -0.0304419  -0.0307844 3.18952e-05
          49  -0.0308395  -0.0307855 3.12641e-05
          50  -0.0311985  -0.0307937 3.17111e-05
          51  -0.0308058   -0.030794 3.10902e-05
          52  -0.0305962  -0.0307902  3.0724e-05
          53  -0.0308591  -0.0307915 3.01719e-05
          54  -0.0305396  -0.0307868 2.99716e-05
          55  -0.0306566  -0.0307844   2.952e-05
          56  -0.0304347  -0.0307782 2.96462e-05
          57  -0.0308274  -0.0307791 2.91387e-05
          58  -0.0307939  -0.0307793 2.86374e-05
          59  -0.0310585  -0.0307841 2.85403e-05
          60  -0.0308891  -0.0307858 2.81183e-05
          61   -0.030821  -0.0307864 2.76633e-05
          62  -0.0304557   -0.030781 2.77265e-05
          63  -0.0304295  -0.0307755 2.78421e-05
          64  -0.0307697  -0.0307754 2.74072e-05
          65  -0.0306883   -0.030774 2.70183e-05
          66   -0.030478  -0.0307696 2.69787e-05
          67  -0.0308631  -0.0307709 2.66121e-05
          68  -0.0307091    -0.03077 2.62363e-05
          69  -0.0311654  -0.0307758 2.64743e-05
          70  -0.0307123  -0.0307749 2.61117e-05
          71  -0.0309959   -0.030778 2.59288e-05
          72  -0.0306015  -0.0307755 2.56843e-05
          73  -0.0307791  -0.0307756 2.53325e-05
          74   -0.030821  -0.0307762 2.49976e-05
          75  -0.0302125  -0.0307687 2.57694e-05
          76  -0.0310237   -0.030772 2.56479e-05
          77  -0.0307953  -0.0307723 2.53166e-05
          78  -0.0308056  -0.0307728 2.49956e-05
          79   -0.030817  -0.0307733 2.46855e-05
          80  -0.0302621  -0.0307669 2.51905e-05
          81  -0.0307818  -0.0307671 2.48802e-05
          82  -0.0303372  -0.0307619 2.51232e-05
          83  -0.0306157  -0.0307601 2.48822e-05
          84   -0.030854  -0.0307612 2.46111e-05
          85  -0.0302483  -0.0307552 2.50504e-05
          86  -0.0304002  -0.0307511  2.5097e-05
          87  -0.0312028  -0.0307562 2.53399e-05
          88  -0.0303828   -0.030752 2.54047e-05
          89  -0.0310852  -0.0307557 2.53936e-05
          90  -0.0308778  -0.0307571 2.51477e-05
          91   -0.030729  -0.0307568 2.48732e-05
          92  -0.0309202  -0.0307586 2.46662e-05
          93  -0.0305372  -0.0307562 2.45155e-05
          94  -0.0311247  -0.0307601 2.45662e-05
          95  -0.0310469  -0.0307631 2.44924e-05
          96   -0.030681  -0.0307623 2.42522e-05
          97  -0.0307765  -0.0307624 2.40026e-05
          98  -0.0307897  -0.0307627 2.37593e-05
          99  -0.0311644  -0.0307668 2.38632e-05
         100  -0.0305299  -0.0307644 2.37419e-05
