#   N_BLOCK:  ACCEPTANCE:
           1    0.437384
           2    0.437391
           3     0.43742
           4    0.437412
           5    0.437217
           6    0.436822
           7    0.437366
           8    0.437397
           9    0.437759
          10    0.437888
          11    0.437794
          12    0.437876
          13    0.437954
          14     0.43802
          15    0.437988
          16    0.437833
          17    0.437799
          18    0.437682
          19    0.437526
          20    0.437533
          21    0.437608
          22    0.437627
          23    0.437461
          24    0.437564
          25    0.437678
          26    0.437645
          27    0.437749
          28    0.437773
          29    0.437814
          30    0.437735
          31    0.437753
          32    0.437784
          33    0.437726
          34    0.437669
          35    0.437668
          36    0.437714
          37     0.43773
          38    0.437739
          39    0.437788
          40    0.437865
          41    0.437891
          42    0.437892
          43    0.437848
          44    0.437799
          45    0.437846
          46    0.437836
          47    0.437836
          48    0.437857
          49    0.437821
          50    0.437799
          51    0.437749
          52    0.437775
          53    0.437753
          54    0.437767
          55    0.437748
          56    0.437754
          57    0.437732
          58    0.437669
          59    0.437638
          60     0.43766
          61    0.437656
          62    0.437662
          63    0.437666
          64    0.437702
          65    0.437713
          66    0.437727
          67    0.437696
          68    0.437711
          69    0.437762
          70    0.437745
          71    0.437759
          72    0.437771
          73    0.437788
          74    0.437841
          75    0.437848
          76    0.437871
          77    0.437884
          78    0.437839
          79    0.437897
          80    0.437913
          81    0.437901
          82    0.437913
          83     0.43797
          84    0.437937
          85    0.437926
          86    0.437956
          87    0.437948
          88     0.43792
          89    0.437906
          90    0.437899
          91    0.437904
          92    0.437895
          93    0.437827
          94    0.437852
          95    0.437848
          96    0.437843
          97    0.437836
          98    0.437856
          99    0.437843
         100    0.437851
