# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.0256496           0           0
0.0512993           0           0
0.0769489           0           0
0.102599           0           0
0.128248           0           0
0.153898           0           0
0.179547           0           0
0.205197           0           0
0.230847           0           0
0.256496           0           0
0.282146           0           0
0.307796           0           0
0.333445           0           0
0.359095           0           0
0.384745           0           0
0.410394           0           0
0.436044           0           0
0.461694           0           0
0.487343           0           0
0.512993           0           0
0.538642           0           0
0.564292           0           0
0.589942           0           0
0.615591           0           0
0.641241           0           0
0.666891           0           0
0.69254           0           0
0.71819           0           0
0.74384           0           0
0.769489           0           0
0.795139           0           0
0.820788           0           0
0.846438 8.75353e-06 2.94848e-06
0.872088  0.00125636 4.13488e-05
0.897737   0.0242288  0.00016766
0.923387    0.164038 0.000594311
0.949037    0.563602   0.0011232
0.974686     1.19795  0.00192182
1.00034     1.86137  0.00191582
1.02599     2.33665   0.0018437
1.05164     2.55039  0.00155122
1.07728     2.54926  0.00155004
1.10293     2.40885  0.00142927
1.12858     2.20058  0.00145049
1.15423     1.97239  0.00146364
1.17988     1.75658  0.00151366
1.20553     1.56166  0.00124669
1.23118     1.38991  0.00117292
1.25683     1.24674   0.0011419
1.28248     1.12709  0.00116233
1.30813     1.02425 0.000911522
1.33378    0.941569  0.00081123
1.35943    0.874093 0.000814187
1.38508    0.818048 0.000804743
1.41073    0.772627 0.000780601
1.43638    0.737487 0.000743294
1.46203    0.710584 0.000742507
1.48768    0.690404 0.000683758
1.51333     0.67753  0.00072205
1.53898    0.670384 0.000825728
1.56463    0.670389  0.00072254
1.59028    0.676031 0.000726641
1.61593    0.686325  0.00073007
1.64158    0.701364 0.000670659
1.66723    0.721968 0.000668353
1.69288    0.748847 0.000658622
1.71853    0.779482 0.000717006
1.74418    0.814627 0.000713581
1.76983    0.852526 0.000738396
1.79547    0.893011 0.000777055
1.82112    0.936243 0.000927507
1.84677    0.977435 0.000828659
1.87242     1.01833 0.000819777
1.89807     1.05908 0.000798813
1.92372     1.09558 0.000798578
1.94937     1.13089 0.000741066
1.97502     1.16132 0.000686927
2.00067      1.1853 0.000700742
2.02632     1.20464 0.000673846
2.05197     1.21404 0.000662574
2.07762     1.21506 0.000661176
2.10327     1.20896  0.00064456
2.12892     1.19596  0.00066821
2.15457     1.17524 0.000624311
2.18022     1.15056  0.00069792
2.20587     1.12375  0.00076182
2.23152     1.09619  0.00078253
2.25717     1.06732 0.000758695
2.28282      1.0398 0.000674288
2.30847      1.0133 0.000682459
2.33412    0.989227  0.00062582
2.35977    0.965991 0.000577258
2.38542    0.947588 0.000512411
2.41107    0.932221 0.000565614
2.43672    0.918201 0.000487725
2.46237    0.908212 0.000528096
2.48802     0.89516 0.000495998
2.51366    0.885218 0.000482635
2.53931    0.885066 0.000529701
