#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.47327    -5.47327           0
           2    -5.46662    -5.46995  0.00235212
           3    -5.47445    -5.47145  0.00199051
           4    -5.45406     -5.4671   0.0040507
           5    -5.43607    -5.46089   0.0064269
           6    -5.45797    -5.46041  0.00537423
           7    -5.47774    -5.46288  0.00514532
           8    -5.45577    -5.46199  0.00457832
           9    -5.47181    -5.46308  0.00419758
          10    -5.46808    -5.46358  0.00380745
          11    -5.45682    -5.46297  0.00351067
          12    -5.45949    -5.46268  0.00323003
          13     -5.4658    -5.46292  0.00299046
          14    -5.48506     -5.4645  0.00316766
          15     -5.4763    -5.46529  0.00305266
          16    -5.46319    -5.46516  0.00286469
          17    -5.46471    -5.46513   0.0026963
          18    -5.46016    -5.46485  0.00256061
          19      -5.456    -5.46439  0.00246784
          20    -5.48189    -5.46526  0.00249475
          21    -5.47695    -5.46582  0.00243721
          22     -5.4501    -5.46511  0.00242894
          23    -5.46204    -5.46497  0.00232699
          24    -5.49713    -5.46631  0.00258716
          25    -5.46392    -5.46622  0.00248545
          26    -5.46271    -5.46608  0.00239351
          27    -5.47575    -5.46644  0.00233152
          28    -5.47272    -5.46666  0.00225903
          29    -5.47006    -5.46678  0.00218416
          30    -5.44617    -5.46609  0.00221677
          31    -5.47854     -5.4665  0.00218131
          32    -5.48403    -5.46704   0.0021809
          33    -5.45373    -5.46664  0.00215179
          34    -5.44423    -5.46598   0.0021871
          35    -5.45798    -5.46575  0.00213651
          36    -5.46449    -5.46572  0.00207745
          37    -5.48526    -5.46625  0.00208736
          38    -5.46495    -5.46621   0.0020327
          39    -5.48811    -5.46677  0.00205669
          40    -5.47315    -5.46693  0.00201144
          41    -5.48447    -5.46736  0.00200736
          42    -5.45839    -5.46715  0.00197091
          43    -5.43276    -5.46635    0.002081
          44    -5.46181    -5.46624  0.00203625
          45    -5.47833    -5.46651  0.00200865
          46    -5.47956     -5.4668   0.0019849
          47    -5.47269    -5.46692  0.00194662
          48     -5.4779    -5.46715  0.00191946
          49    -5.46253    -5.46706   0.0018826
          50    -5.46012    -5.46692  0.00185004
          51    -5.45293    -5.46664  0.00183398
          52    -5.46924    -5.46669  0.00179939
          53    -5.46163     -5.4666  0.00176798
          54     -5.4717    -5.46669  0.00173776
          55    -5.45184    -5.46642  0.00172702
          56    -5.46218    -5.46635  0.00169784
          57    -5.47214    -5.46645   0.0016711
          58    -5.45288    -5.46621  0.00165858
          59    -5.45306    -5.46599  0.00164537
          60    -5.45396    -5.46579  0.00163012
          61    -5.46172    -5.46572  0.00160476
          62     -5.4822    -5.46599  0.00160072
          63    -5.46611    -5.46599  0.00157531
          64     -5.4629    -5.46594  0.00155144
          65    -5.46089    -5.46587  0.00152952
          66    -5.46743    -5.46589  0.00150653
          67    -5.47175    -5.46598  0.00148658
          68    -5.46445    -5.46595  0.00146489
          69    -5.49116    -5.46632  0.00148852
          70    -5.45944    -5.46622  0.00147049
          71    -5.47005    -5.46628  0.00145077
          72    -5.46781     -5.4663  0.00143078
          73    -5.45377    -5.46612  0.00142143
          74    -5.47658    -5.46627  0.00140923
          75    -5.46111     -5.4662  0.00139211
          76    -5.46142    -5.46613  0.00137521
          77    -5.46232    -5.46608  0.00135825
          78    -5.45229    -5.46591   0.0013523
          79    -5.47514    -5.46602  0.00134022
          80      -5.465    -5.46601  0.00132352
          81    -5.45445    -5.46587  0.00131486
          82    -5.48988    -5.46616  0.00133103
          83     -5.4737    -5.46625  0.00131809
          84    -5.46326    -5.46622  0.00130288
          85    -5.46678    -5.46622  0.00128757
          86    -5.47174    -5.46629  0.00127419
          87    -5.46934    -5.46632  0.00126003
          88    -5.46226    -5.46628  0.00124656
          89    -5.45922     -5.4662  0.00123507
          90    -5.46366    -5.46617  0.00122167
          91    -5.47221    -5.46624  0.00121005
          92    -5.45463    -5.46611  0.00120346
          93    -5.43682    -5.46579  0.00123103
          94    -5.46769    -5.46581   0.0012181
          95    -5.46691    -5.46583  0.00120534
          96    -5.47023    -5.46587  0.00119365
          97    -5.48659    -5.46609   0.0012003
          98    -5.46941    -5.46612  0.00118853
          99    -5.46493    -5.46611  0.00117659
         100    -5.46765    -5.46612  0.00116492
