#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -1.42904    -1.42904           0
           2    -1.34668    -1.38786   0.0291183
           3    -1.40229    -1.39267   0.0198053
           4    -1.31991    -1.37448   0.0216523
           5    -1.23624    -1.34683   0.0301918
           6    -1.32001    -1.34236   0.0254885
           7    -1.43803    -1.35603   0.0252471
           8    -1.31252    -1.35059   0.0226696
           9    -1.41766    -1.35804   0.0213403
          10    -1.39334    -1.36157    0.019496
          11    -1.32851    -1.35857   0.0179539
          12    -1.35263    -1.35807   0.0164645
          13    -1.36487    -1.35859   0.0152063
          14    -1.47593    -1.36698   0.0162667
          15    -1.43557    -1.37155   0.0158119
          16    -1.35499    -1.37051   0.0148575
          17    -1.36803    -1.37037   0.0139842
          18    -1.31408    -1.36724   0.0135524
          19    -1.31941    -1.36472   0.0130708
          20    -1.41936    -1.36745   0.0126996
          21    -1.43584    -1.37071   0.0125054
          22    -1.32304    -1.36854   0.0121232
          23    -1.35302    -1.36787   0.0116149
          24     -1.5329    -1.37475    0.013008
          25    -1.38445    -1.37513   0.0124935
          26    -1.39756      -1.376   0.0120427
          27    -1.43599    -1.37822   0.0117999
          28     -1.4193    -1.37969   0.0114693
          29    -1.41192     -1.3808   0.0111276
          30     -1.2845    -1.37759   0.0112101
          31    -1.44292    -1.37969   0.0110448
          32    -1.46959     -1.3825   0.0110511
          33    -1.27954    -1.37938    0.011148
          34    -1.27348    -1.37627   0.0112469
          35    -1.32244    -1.37473   0.0110302
          36    -1.38042    -1.37489   0.0107249
          37    -1.42832    -1.37633   0.0105319
          38    -1.36314    -1.37599   0.0102604
          39    -1.49616    -1.37907   0.0104498
          40    -1.42082    -1.38011   0.0102406
          41    -1.46418    -1.38216    0.010194
          42    -1.32181    -1.38072    0.010052
          43    -1.22977    -1.37721   0.0104133
          44     -1.3571    -1.37676   0.0101866
          45     -1.4119    -1.37754  0.00999016
          46    -1.41635    -1.37838  0.00980855
          47    -1.37921     -1.3784  0.00959987
          48    -1.44919    -1.37987  0.00951249
          49    -1.30731    -1.37839  0.00943293
          50    -1.35577    -1.37794  0.00925511
          51    -1.33693    -1.37714   0.0091085
          52    -1.41861    -1.37793  0.00896819
          53    -1.35526    -1.37751  0.00880917
          54     -1.4007    -1.37794   0.0086565
          55    -1.31328    -1.37676  0.00857856
          56    -1.35752    -1.37642  0.00843225
          57    -1.41022    -1.37701  0.00830515
          58     -1.3037    -1.37575  0.00825758
          59    -1.28225    -1.37416  0.00826826
          60    -1.30629    -1.37303  0.00820747
          61    -1.36964    -1.37297  0.00807311
          62     -1.4538    -1.37428  0.00804748
          63    -1.39008    -1.37453  0.00792365
          64    -1.36659     -1.3744  0.00780081
          65    -1.36582    -1.37427  0.00768192
          66     -1.3922    -1.37454  0.00757033
          67     -1.3902    -1.37478  0.00746094
          68     -1.3775    -1.37482  0.00735133
          69    -1.46785    -1.37617  0.00736739
          70    -1.34287    -1.37569  0.00727749
          71    -1.40534    -1.37611  0.00718696
          72    -1.39326    -1.37635  0.00709109
          73    -1.31679    -1.37553  0.00704072
          74    -1.43294    -1.37631   0.0069882
          75     -1.3701    -1.37622  0.00689551
          76    -1.35299    -1.37592  0.00681156
          77    -1.37102    -1.37585  0.00672339
          78    -1.28529    -1.37469  0.00673671
          79    -1.44351    -1.37556  0.00670753
          80    -1.37609    -1.37557  0.00662368
          81    -1.32898      -1.375  0.00656683
          82    -1.47995    -1.37628  0.00661031
          83    -1.43352    -1.37697  0.00656654
          84    -1.34073    -1.37653  0.00650252
          85    -1.36844    -1.37644  0.00642672
          86    -1.43377    -1.37711  0.00638647
          87    -1.36994    -1.37702   0.0063136
          88    -1.33947     -1.3766  0.00625626
          89    -1.31728    -1.37593  0.00622137
          90    -1.37185    -1.37588   0.0061524
          91    -1.41462    -1.37631   0.0060995
          92    -1.29848    -1.37546  0.00609158
          93    -1.20471    -1.37363  0.00629672
          94    -1.39494    -1.37385  0.00623381
          95    -1.35971    -1.37371  0.00616997
          96    -1.39707    -1.37395   0.0061105
          97     -1.4771    -1.37501  0.00613935
          98    -1.39193    -1.37519  0.00607913
          99     -1.3303    -1.37473  0.00603461
         100    -1.39221    -1.37491  0.00597679
