#   N_BLOCK:  ACCEPTANCE:
           1    0.486125
           2    0.486597
           3    0.486224
           4    0.486701
           5    0.486633
           6    0.487026
           7    0.487046
           8    0.487158
           9    0.487245
          10    0.487189
          11    0.487147
          12    0.487178
          13    0.487047
          14     0.48693
          15    0.486855
          16    0.486965
          17    0.486964
          18    0.486963
          19    0.486907
          20    0.486919
          21    0.486828
          22    0.486774
          23    0.486707
          24     0.48662
          25    0.486636
          26    0.486589
          27    0.486656
          28    0.486648
          29     0.48667
          30    0.486615
          31    0.486586
          32    0.486651
          33    0.486631
          34     0.48661
          35    0.486621
          36    0.486618
          37    0.486618
          38    0.486618
          39    0.486592
          40    0.486606
          41    0.486627
          42    0.486648
          43    0.486677
          44    0.486646
          45    0.486616
          46    0.486628
          47    0.486596
          48    0.486596
          49    0.486586
          50    0.486585
          51    0.486567
          52     0.48661
          53    0.486607
          54    0.486634
          55    0.486641
          56    0.486664
          57    0.486673
          58     0.48666
          59    0.486673
          60    0.486656
          61    0.486644
          62    0.486639
          63    0.486597
          64    0.486624
          65    0.486644
          66    0.486613
          67    0.486587
          68    0.486585
          69    0.486589
          70    0.486603
          71    0.486606
          72    0.486609
          73    0.486626
          74    0.486665
          75    0.486673
          76    0.486709
          77    0.486722
          78    0.486725
          79    0.486724
          80    0.486721
          81    0.486718
          82    0.486713
          83    0.486727
          84    0.486733
          85      0.4867
          86    0.486715
          87    0.486724
          88    0.486716
          89    0.486718
          90    0.486713
          91    0.486735
          92    0.486718
          93    0.486709
          94    0.486715
          95    0.486712
          96    0.486716
          97    0.486689
          98    0.486696
          99    0.486686
         100    0.486692
