# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.0230664           0           0
0.0461329           0           0
0.0691993           0           0
0.0922657           0           0
0.115332           0           0
0.138399           0           0
0.161465           0           0
0.184531           0           0
0.207598           0           0
0.230664           0           0
0.253731           0           0
0.276797           0           0
0.299864           0           0
0.32293           0           0
0.345996           0           0
0.369063           0           0
0.392129           0           0
0.415196           0           0
0.438262           0           0
0.461329           0           0
0.484395           0           0
0.507461           0           0
0.530528           0           0
0.553594           0           0
0.576661           0           0
0.599727           0           0
0.622794           0           0
0.64586           0           0
0.668926           0           0
0.691993           0           0
0.715059           0           0
0.738126           0           0
0.761192           0           0
0.784259           0           0
0.807325           0           0
0.830391           0           0
0.853458           0           0
0.876524 8.94732e-05 8.81005e-06
0.899591  0.00331922 5.99753e-05
0.922657   0.0469205  0.00023435
0.945724     0.29314 0.000667695
0.96879     1.00728  0.00141407
0.991856     2.24138   0.0016667
1.01492     3.62563  0.00158173
1.03799     4.61799  0.00164726
1.06106     4.89609   0.0022443
1.08412      4.4913  0.00255875
1.10719     3.65868  0.00220144
1.13026     2.69447  0.00140871
1.15332     1.81539 0.000956374
1.17639     1.13047 0.000958052
1.19945    0.653444 0.000851427
1.22252    0.353046 0.000698308
1.24559     0.18025  0.00060321
1.26865   0.0891611 0.000388899
1.29172   0.0498993  0.00032405
1.31479   0.0428595 0.000296429
1.33785   0.0613017 0.000301719
1.36092    0.106704 0.000413276
1.38399    0.184546 0.000442542
1.40705    0.300741 0.000513793
1.43012    0.453222 0.000430257
1.45319    0.628537 0.000442527
1.47625    0.795899 0.000638209
1.49932    0.921121 0.000922787
1.52238    0.969699 0.000896688
1.54545     0.92809 0.000998499
1.56852    0.807667 0.000629828
1.59158    0.640759 0.000444466
1.61465    0.465732 0.000396708
1.63772     0.31692 0.000437195
1.66078    0.219896 0.000555902
1.68385    0.192375 0.000630576
1.70692    0.255384 0.000738297
1.72998    0.433976 0.000901282
1.75305    0.749763 0.000928836
1.77612     1.19912 0.000758133
1.79918     1.72869 0.000637283
1.82225     2.23513 0.000913817
1.84531     2.59733  0.00143174
1.86838     2.71254   0.0016635
1.89145     2.55564  0.00162598
1.91451     2.17913  0.00125178
1.93758     1.69002 0.000727683
1.96065     1.20116 0.000611624
1.98371    0.802729  0.00081221
2.00678    0.542594 0.000941451
2.02985    0.434236 0.000905816
2.05291    0.461742 0.000792018
2.07598    0.586982 0.000587248
2.09905     0.75839  0.00038814
2.12211    0.917713 0.000449327
2.14518     1.01452 0.000642886
2.16824     1.02175 0.000726367
2.19131    0.919382  0.00044308
2.21438    0.781227 0.000383621
2.23744    0.654154 0.000434798
2.26051    0.572256 0.000750159
2.28358    0.573498 0.000905603
