#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.54799    -7.54799           0
           2    -7.55492    -7.55145   0.0024527
           3    -7.54388    -7.54893   0.0026303
           4    -7.53854    -7.54633  0.00299236
           5    -7.53575    -7.54422  0.00305222
           6    -7.55072     -7.5453  0.00272916
           7    -7.54501    -7.54526  0.00233961
           8    -7.52496    -7.54272  0.00313404
           9     -7.5361    -7.54199  0.00287081
          10    -7.55285    -7.54307  0.00278179
          11    -7.54746    -7.54347  0.00255736
          12    -7.54425    -7.54354  0.00234507
          13    -7.53503    -7.54288  0.00225404
          14    -7.54473    -7.54301  0.00209692
          15    -7.55404    -7.54375  0.00208197
          16    -7.56219     -7.5449  0.00224843
          17    -7.55561    -7.54553  0.00220261
          18     -7.5327    -7.54482   0.0021925
          19    -7.54156    -7.54465   0.0020838
          20    -7.54317    -7.54457  0.00198093
          21    -7.54943    -7.54481  0.00190003
          22    -7.54774    -7.54494  0.00181834
          23    -7.54335    -7.54487   0.0017406
          24    -7.54253    -7.54477   0.0016708
          25    -7.54954    -7.54496   0.0016148
          26    -7.53832    -7.54471   0.0015728
          27    -7.54835    -7.54484  0.00152034
          28    -7.53747    -7.54458  0.00148868
          29    -7.54028    -7.54443  0.00144471
          30    -7.53662    -7.54417  0.00141984
          31    -7.55841    -7.54463  0.00144646
          32    -7.55439    -7.54493  0.00143303
          33    -7.54076    -7.54481  0.00139517
          34    -7.55614    -7.54514  0.00139339
          35    -7.51947    -7.54441  0.00153455
          36    -7.54494    -7.54442  0.00149199
          37    -7.55189    -7.54462  0.00146527
          38    -7.54416    -7.54461  0.00142676
          39    -7.55332    -7.54484  0.00140756
          40    -7.55207    -7.54502  0.00138394
          41    -7.55255     -7.5452  0.00136232
          42    -7.55062    -7.54533  0.00133599
          43      -7.547    -7.54537  0.00130549
          44    -7.55037    -7.54548  0.00128075
          45    -7.55008    -7.54558  0.00125635
          46    -7.54081    -7.54548  0.00123332
          47    -7.53663    -7.54529  0.00122136
          48    -7.56985     -7.5458  0.00129863
          49    -7.54509    -7.54579  0.00127221
          50    -7.53273    -7.54553  0.00127331
          51    -7.54075    -7.54543  0.00125178
          52    -7.54896     -7.5455  0.00122955
          53    -7.53812    -7.54536  0.00121421
          54    -7.55175    -7.54548  0.00119748
          55    -7.55492    -7.54565  0.00118793
          56     -7.5554    -7.54583  0.00117941
          57    -7.55135    -7.54592  0.00116268
          58    -7.54781    -7.54596  0.00114309
          59    -7.56279    -7.54624  0.00115878
          60    -7.53041    -7.54598  0.00116912
          61    -7.53494     -7.5458  0.00116388
          62    -7.54433    -7.54577  0.00114535
          63    -7.54542    -7.54577  0.00112718
          64    -7.55325    -7.54588  0.00111562
          65    -7.54189    -7.54582  0.00110015
          66    -7.54708    -7.54584  0.00108365
          67    -7.54356    -7.54581  0.00106801
          68     -7.5514    -7.54589  0.00105546
          69    -7.54209    -7.54583   0.0010416
          70    -7.55445    -7.54596  0.00103396
          71    -7.54363    -7.54592  0.00101992
          72     -7.5459    -7.54592  0.00100576
          73    -7.55098    -7.54599  0.00099436
          74     -7.5629    -7.54622  0.00100681
          75    -7.55242     -7.5463 0.000996772
          76    -7.55761    -7.54645 0.000994698
          77    -7.55109    -7.54651 0.000983603
          78    -7.55656    -7.54664 0.000979393
          79    -7.54979    -7.54668 0.000967807
          80    -7.53837    -7.54658 0.000961266
          81    -7.54948    -7.54661 0.000950067
          82     -7.5446    -7.54659 0.000938799
          83    -7.55183    -7.54665 0.000929607
          84    -7.55566    -7.54676 0.000924698
          85    -7.54934    -7.54679 0.000914319
          86    -7.56342    -7.54698   0.0009239
          87    -7.54831      -7.547 0.000913405
          88    -7.53314    -7.54684 0.000916494
          89    -7.54936    -7.54687 0.000906633
          90     -7.5452    -7.54685  0.00089675
          91    -7.54779    -7.54686 0.000886956
          92    -7.53526    -7.54674 0.000886238
          93    -7.53737    -7.54663 0.000882408
          94    -7.54568    -7.54662  0.00087308
          95    -7.54903    -7.54665 0.000864257
          96    -7.54363    -7.54662 0.000855828
          97    -7.55762    -7.54673 0.000854488
          98    -7.53547    -7.54662 0.000853459
          99    -7.55197    -7.54667 0.000846547
         100    -7.55383    -7.54674   0.0008411
