#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     3.43864     3.43864           0
           2     3.40207     3.42035   0.0129276
           3     3.46097     3.43389   0.0140171
           4     3.49156     3.44831   0.0163223
           5     3.50564     3.45978   0.0166036
           6     3.42189     3.45346    0.014989
           7     3.45109     3.45312   0.0128516
           8     3.56508     3.46712   0.0172578
           9     3.50405     3.47122   0.0158207
          10     3.40758     3.46486   0.0154658
          11     3.43801     3.46242   0.0142511
          12     3.45748     3.46201   0.0130695
          13     3.50745      3.4655    0.012523
          14     3.45138     3.46449    0.011669
          15     3.40585     3.46058   0.0115275
          16      3.3601      3.4543   0.0124002
          17     3.39275     3.45068   0.0121879
          18     3.52014     3.45454   0.0121063
          19     3.47071     3.45539    0.011499
          20     3.46185     3.45572   0.0109286
          21     3.42756     3.45438   0.0104901
          22     3.43962      3.4537   0.0100347
          23     3.46057       3.454  0.00960281
          24     3.46522     3.45447  0.00921405
          25     3.42677     3.45336  0.00891187
          26     3.49121     3.45482  0.00868719
          27     3.43738     3.45417  0.00838941
          28     3.49887     3.45577  0.00824028
          29     3.48119     3.45665  0.00800263
          30      3.4988     3.45805  0.00785829
          31     3.37924     3.45551  0.00800545
          32     3.40211     3.45384  0.00792727
          33      3.4771     3.45454  0.00771834
          34     3.39351     3.45275  0.00769727
          35     3.59472     3.45681  0.00847903
          36     3.45519     3.45676  0.00824362
          37     3.41364      3.4556  0.00810279
          38      3.4566     3.45562   0.0078896
          39     3.40367     3.45429  0.00779895
          40     3.41335     3.45327  0.00767085
          41     3.41144     3.45225   0.0075513
          42     3.42198     3.45153  0.00740581
          43     3.44022     3.45126  0.00723825
          44      3.4263      3.4507  0.00709594
          45     3.42437     3.45011  0.00696232
          46     3.47198     3.45059  0.00682718
          47     3.49722     3.45158  0.00675362
          48     3.31733     3.44878  0.00716868
          49     3.45479      3.4489  0.00702343
          50      3.5154     3.45023  0.00700776
          51      3.4717     3.45065  0.00688298
          52     3.43359     3.45033  0.00675843
          53     3.48651     3.45101  0.00666532
          54     3.41795      3.4504  0.00656993
          55     3.39408     3.44937  0.00652979
          56     3.39558     3.44841  0.00648345
          57     3.41718     3.44786  0.00639282
          58     3.43719     3.44768  0.00628525
          59     3.35661     3.44614  0.00636545
          60     3.53113     3.44755  0.00641504
          61     3.50618     3.44851  0.00638147
          62     3.45356      3.4486  0.00627906
          63     3.45005     3.44862  0.00617944
          64     3.40966     3.44801   0.0061128
          65     3.47058     3.44836  0.00602861
          66     3.44262     3.44827   0.0059379
          67     3.46177     3.44847  0.00585269
          68     3.41827     3.44803  0.00578345
          69      3.4661     3.44829  0.00570556
          70     3.40198     3.44763  0.00566228
          71     3.46514     3.44787   0.0055879
          72     3.44809     3.44788  0.00551029
          73     3.41575     3.44744  0.00545236
          74     3.35241     3.44615  0.00552782
          75      3.4098     3.44567  0.00547533
          76     3.38237     3.44484  0.00546626
          77     3.42194     3.44454  0.00540335
          78     3.38795     3.44381  0.00538257
          79     3.42762     3.44361  0.00531834
          80     3.49052     3.44419  0.00528409
          81     3.42756     3.44399  0.00522285
          82     3.45718     3.44415  0.00516163
          83     3.42015     3.44386  0.00510753
          84     3.39404     3.44327  0.00508104
          85     3.42942      3.4431  0.00502388
          86     3.35108     3.44203  0.00507813
          87     3.43099     3.44191  0.00502135
          88     3.52034      3.4428  0.00504278
          89     3.43257     3.44268  0.00498743
          90     3.44983     3.44276  0.00493264
          91      3.4302     3.44263  0.00488037
          92     3.50202     3.44327  0.00486983
          93     3.49278      3.4438  0.00484647
          94     3.45088     3.44388   0.0047955
          95      3.4304     3.44374  0.00474712
          96     3.46119     3.44392  0.00470115
          97      3.3828     3.44329  0.00469473
          98     3.50385     3.44391  0.00468732
          99     3.41405      3.4436  0.00464966
         100     3.40374     3.44321  0.00462022
