SA_STEP        SA_TEMP      FINAL_AVE          ERROR     ACCEPTANCE
      1              3      -0.142016     0.00498211        0.49116
      2            1.5      -0.137635     0.00469689        0.49084
      3              1      -0.144701     0.00470567        0.49153
      4           0.75      -0.408394     0.00478144        0.71786
      5            0.6      -0.310925     0.00388021        0.69834
      6            0.5      0.0923764     0.00634108        0.56878
      7       0.428571      -0.197898     0.00470991        0.63163
      8          0.375      -0.192447     0.00503445        0.62956
      9       0.333333       -0.18328      0.0166265        0.69667
     10            0.3      -0.212595      0.0128613        0.68768
     11       0.272727      -0.230917      0.0110844        0.68378
     12           0.25     -0.0442839       0.021609        0.72533
     13       0.230769     -0.0538942      0.0253081        0.72319
     14       0.214286     -0.0987046      0.0179474        0.71819
     15            0.2      -0.247873      0.0103816         0.6845
     16         0.1875       -0.28171     0.00635812        0.68564
     17       0.176471      -0.245727     0.00971862        0.69045
     18       0.166667      -0.233894     0.00970371         0.7003
     19       0.157895      -0.275134     0.00496178        0.66251
     20           0.15      -0.248695     0.00597951        0.66266
     21       0.142857      -0.261368     0.00526731        0.66313
     22       0.136364      -0.205434     0.00482865        0.63278
     23       0.130435      -0.264497     0.00532663        0.65858
     24          0.125      -0.236235     0.00438657        0.64591
     25           0.12      -0.352401     0.00344591        0.71441
     26       0.115385      -0.356146     0.00419755        0.63387
     27       0.111111      -0.335328     0.00902964        0.73513
     28       0.107143      -0.345583     0.00789755        0.73559
     29       0.103448      -0.386387     0.00367228        0.66156
     30            0.1      -0.389673     0.00373377        0.66226
     31      0.0967742      -0.396574     0.00384501        0.73632
     32        0.09375      -0.394038     0.00384166        0.73294
     33      0.0909091      -0.336518     0.00767125        0.76898
     34      0.0882353      -0.366054     0.00672703        0.74382
     35      0.0857143      -0.240305      0.0112655        0.78045
     36      0.0833333      -0.425171     0.00407086        0.74312
     37      0.0810811      -0.425648     0.00426478        0.75221
     38      0.0789474      -0.438317     0.00310814        0.75674
     39      0.0769231      -0.422141      0.0045939        0.75051
     40          0.075      -0.432287     0.00375088        0.75407
     41      0.0731707      -0.429438     0.00420085        0.74976
     42      0.0714286      -0.376047     0.00496263         0.7206
     43      0.0697674      -0.310207      0.0043634        0.67927
     44      0.0681818      -0.303885     0.00450385        0.67806
     45      0.0666667      -0.303329     0.00418875        0.67843
     46      0.0652174      -0.326819     0.00420073        0.68491
     47      0.0638298      -0.410145     0.00412527        0.74877
     48         0.0625      -0.439961     0.00223321        0.71619
     49      0.0612245      -0.442014     0.00226733        0.71878
     50           0.06      -0.426866     0.00374456        0.75146
     51      0.0588235      -0.389797     0.00711386        0.76414
     52      0.0576923      -0.353581     0.00822274        0.76052
     53      0.0566038      -0.325207     0.00884055        0.75583
     54      0.0555556      -0.332293     0.00981472        0.75211
     55      0.0545455      -0.337507     0.00937372        0.75071
     56      0.0535714      -0.347002     0.00756371        0.72471
     57      0.0526316       -0.36622     0.00632297         0.7259
     58      0.0517241      -0.336903     0.00941361        0.72386
     59      0.0508475      -0.369831     0.00832828        0.72965
     60           0.05      -0.436521     0.00340734        0.71362
     61      0.0491803      -0.370988     0.00712372        0.76532
     62      0.0483871      -0.376595     0.00642483        0.76415
     63       0.047619       -0.38001     0.00604949        0.76256
     64       0.046875      -0.381798      0.0056249        0.76388
     65      0.0461538      -0.378065     0.00382772        0.72142
     66      0.0454545      -0.417024     0.00282731        0.73845
     67      0.0447761      -0.405772     0.00549723         0.7568
     68      0.0441176      -0.438321     0.00240735        0.74527
     69      0.0434783      -0.434106     0.00303991        0.74567
     70      0.0428571      -0.439838     0.00214206        0.74625
     71      0.0422535      -0.434884     0.00271697         0.7449
     72      0.0416667      -0.436939     0.00262261        0.74482
     73      0.0410959      -0.437713     0.00308319        0.74581
     74      0.0405405      -0.382217     0.00319884        0.71018
     75           0.04      -0.386061     0.00329197          0.714
     76      0.0394737      -0.389292     0.00323896        0.71033
     77       0.038961      -0.383369     0.00307263        0.71231
     78      0.0384615      -0.439562     0.00208153        0.72476
     79      0.0379747      -0.439836     0.00244094        0.71812
     80         0.0375      -0.440799     0.00224747        0.72172
     81       0.037037      -0.442029     0.00227886        0.71897
     82      0.0365854      -0.441962      0.0019771        0.72114
     83      0.0361446      -0.390852     0.00297955        0.63056
     84      0.0357143      -0.440393      0.0021417        0.71834
     85      0.0352941      -0.440293     0.00205382        0.71981
     86      0.0348837      -0.435971     0.00222175        0.71922
     87      0.0344828      -0.433974     0.00330882         0.7211
     88      0.0340909      -0.438352     0.00226748        0.74029
     89      0.0337079      -0.436735     0.00238351        0.74074
     90      0.0333333      -0.389772     0.00692478        0.76543
     91       0.032967      -0.398279     0.00589864        0.75213
     92      0.0326087      -0.414919     0.00462663        0.75545
     93      0.0322581      -0.424139     0.00388952        0.69956
     94      0.0319149      -0.429156     0.00313022        0.69791
     95      0.0315789      -0.432877      0.0029581        0.69816
     96        0.03125      -0.425901     0.00502846         0.7476
     97      0.0309278      -0.431216     0.00219075        0.72439
     98      0.0306122      -0.440698     0.00287707        0.74358
     99       0.030303      -0.436268     0.00414402        0.74272
    100           0.03      -0.432033     0.00211661        0.69952
    101       0.029703       -0.43036     0.00255661        0.69461
    102      0.0294118      -0.376231     0.00322916         0.6201
    103      0.0291262      -0.371484     0.00318798        0.61905
    104      0.0288462      -0.376369     0.00318835         0.6193
    105      0.0285714      -0.434164     0.00217011        0.69699
    106      0.0283019      -0.438489     0.00206632        0.70056
    107      0.0280374      -0.428508     0.00329626        0.68961
    108      0.0277778      -0.414529      0.0038063        0.75824
    109      0.0275229      -0.410111     0.00553689        0.76119
    110      0.0272727      -0.406822     0.00583229        0.76166
    111       0.027027      -0.409081      0.0044418        0.76288
    112      0.0267857      -0.403224     0.00547506        0.76192
    113      0.0265487      -0.445156     0.00285923        0.73487
    114      0.0263158      -0.440665     0.00332466        0.73321
    115       0.026087      -0.434612     0.00356827        0.75256
    116      0.0258621      -0.437288     0.00318031        0.75536
    117       0.025641      -0.435718     0.00358392        0.75101
    118      0.0254237      -0.431967     0.00356042        0.74962
    119      0.0252101       -0.43425     0.00395573        0.75236
    120          0.025      -0.436058     0.00213315        0.73068
    121      0.0247934       -0.43663     0.00215007        0.73219
    122      0.0245902      -0.439913     0.00203799        0.73101
    123      0.0243902      -0.434734     0.00222859        0.73206
    124      0.0241935      -0.429601     0.00249738        0.74304
    125          0.024      -0.441274     0.00307672        0.73138
    126      0.0238095       -0.42918     0.00613238        0.72886
    127       0.023622      -0.435578     0.00366261        0.73409
    128      0.0234375      -0.428435     0.00441469        0.73264
    129      0.0232558      -0.411283     0.00273284        0.66068
    130      0.0230769      -0.406826     0.00288224        0.65961
    131      0.0229008      -0.405331     0.00282974        0.66051
    132      0.0227273       -0.41229     0.00281114        0.65975
    133      0.0225564      -0.408887     0.00274508        0.66274
    134      0.0223881      -0.401508     0.00298776        0.66133
    135      0.0222222      -0.434837     0.00212648        0.69525
    136      0.0220588      -0.435582     0.00217915        0.69246
    137      0.0218978       -0.41913     0.00262183        0.73131
    138      0.0217391      -0.437084      0.0022454        0.70184
    139      0.0215827      -0.439015     0.00205521        0.70415
    140      0.0214286      -0.440699     0.00210402        0.70525
    141      0.0212766      -0.438621     0.00225204        0.70668
    142      0.0211268      -0.438969     0.00226689        0.70638
    143       0.020979      -0.439083     0.00225057        0.70206
    144      0.0208333      -0.393281     0.00663563        0.73899
    145      0.0206897      -0.394445     0.00560615        0.74054
    146      0.0205479      -0.414269     0.00403069        0.70887
    147      0.0204082      -0.414154     0.00435273        0.70692
    148      0.0202703      -0.417029     0.00272158        0.65946
    149      0.0201342      -0.416772      0.0026494        0.66186
    150           0.02      -0.428596     0.00253703        0.68895
    151      0.0198675      -0.410198     0.00268938        0.65435
    152      0.0197368       -0.41819     0.00258463        0.66172
    153      0.0196078      -0.415873     0.00247468        0.65898
    154      0.0194805      -0.421571     0.00454323        0.72775
    155      0.0193548      -0.445248     0.00228502        0.72954
    156      0.0192308      -0.429956     0.00361149        0.74332
    157      0.0191083      -0.430227      0.0036643        0.74441
    158      0.0189873        -0.4315     0.00360518         0.7433
    159      0.0188679      -0.428172     0.00270788        0.68891
    160        0.01875      -0.428558     0.00272507        0.68919
    161      0.0186335      -0.431249     0.00254166        0.68913
    162      0.0185185      -0.431271     0.00278947        0.68959
    163      0.0184049      -0.430901     0.00309965        0.68799
    164      0.0182927      -0.386631     0.00328141        0.63187
    165      0.0181818      -0.438412      0.0022179         0.7076
    166      0.0180723      -0.439618     0.00225941        0.70642
    167      0.0179641      -0.431444     0.00273661        0.70924
    168      0.0178571       -0.43682     0.00211387        0.70916
    169      0.0177515      -0.438583     0.00213575        0.70842
    170      0.0176471      -0.441971     0.00198382        0.73699
    171      0.0175439      -0.439725     0.00208986        0.73608
    172      0.0174419      -0.434464     0.00236524        0.69567
    173       0.017341      -0.431303     0.00293855        0.70053
    174      0.0172414      -0.438728     0.00279274        0.69973
    175      0.0171429      -0.419868     0.00253888        0.69121
    176      0.0170455      -0.426162     0.00253109        0.69177
    177      0.0169492      -0.427845     0.00248744        0.69044
    178      0.0168539      -0.413009     0.00263501        0.65325
    179      0.0167598      -0.438438     0.00226382        0.71695
    180      0.0166667      -0.445444     0.00208176        0.71327
    181      0.0165746      -0.437904     0.00353179        0.73876
    182      0.0164835      -0.441793     0.00257198        0.73518
    183      0.0163934      -0.442202     0.00277951        0.73955
    184      0.0163043      -0.434865     0.00392953        0.74072
    185      0.0162162      -0.425172     0.00323937        0.75532
    186       0.016129      -0.423625     0.00376687        0.75284
    187      0.0160428      -0.419076     0.00283341        0.74493
    188      0.0159574      -0.429731     0.00372251        0.75327
    189       0.015873      -0.429362     0.00402332         0.7389
    190      0.0157895      -0.434708     0.00391581        0.74102
    191      0.0157068      -0.409322     0.00543554        0.74273
    192       0.015625      -0.407909     0.00607837        0.74293
